Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
4,Benin,,2020-03-21,2,0,0,2,0,0,0.0,,,0,
5,Benin,,2020-04-05,22,0,5,22,0,5,0.22727272727272727,0.0,1.0,5,
6,Benin,,2020-04-20,54,1,27,49,1,22,0.46938775510204084,0.043478260869565216,0.9565217391304348,23,-0.04347826086956519
7,Benin,,2020-05-05,96,2,50,68,1,23,0.35294117647058826,0.041666666666666664,0.9583333333333334,24,0.0018115942028985588
8,Benin,,2020-05-20,130,2,57,78,0,7,0.08974358974358974,0.0,1.0,7,0.04166666666666663
9,Benin,,2020-06-04,261,3,151,202,1,94,0.47029702970297027,0.010526315789473684,0.9894736842105263,95,-0.010526315789473717
10,Benin,,2020-06-19,650,11,247,496,8,96,0.20967741935483872,0.07692307692307693,0.9230769230769231,104,-0.06639676113360315
11,Benin,,2020-07-04,1199,21,333,941,10,86,0.10201912858660998,0.10416666666666667,0.8958333333333334,96,-0.027243589743589758
12,Benin,,2020-07-19,1602,31,782,1248,10,449,0.36778846153846156,0.02178649237472767,0.9782135076252724,459,0.082380174291939
13,Benin,,2020-08-03,1805,36,1036,992,5,254,0.2610887096774194,0.019305019305019305,0.9806949806949807,259,0.002481473069708362
14,Benin,,2020-08-18,2063,39,1690,991,3,654,0.6629667003027245,0.0045662100456621,0.9954337899543378,657,0.01473880925935711
15,Benin,,2020-09-02,2194,40,1738,465,1,48,0.1053763440860215,0.02040816326530612,0.9795918367346939,49,-0.01584195321964399
16,Benin,,2020-09-17,2280,40,1950,502,0,212,0.42231075697211157,0.0,1.0,212,0.020408163265306145
17,Benin,,2020-10-02,2357,41,1973,367,1,23,0.0653950953678474,0.041666666666666664,0.9583333333333334,24,-0.04166666666666663
18,Benin,,2020-10-17,2496,41,2330,482,0,357,0.7406639004149378,0.0,1.0,357,0.04166666666666663
19,Benin,,2020-11-01,2683,41,2455,312,0,125,0.40064102564102566,0.0,1.0,125,0.0
20,Benin,,2020-11-16,2884,43,2579,388,2,124,0.3247422680412371,0.015873015873015872,0.9841269841269841,126,-0.015873015873015928
21,Benin,,2020-12-01,3015,43,2839,393,0,260,0.6615776081424937,0.0,1.0,260,0.015873015873015928
22,Benin,,2020-12-16,3152,44,2972,270,1,133,0.4962962962962963,0.007462686567164179,0.9925373134328358,134,-0.007462686567164201
23,Benin,,2020-12-31,3251,44,3061,235,0,89,0.37872340425531914,0.0,1.0,89,0.007462686567164201
24,Benin,,2021-01-15,3413,46,3245,308,2,184,0.6038961038961039,0.010752688172043012,0.989247311827957,186,-0.010752688172043001
25,Benin,,2021-01-30,3786,48,3398,495,2,153,0.31313131313131315,0.012903225806451613,0.9870967741935484,155,-0.0021505376344086446
26,Benin,,2021-02-14,4560,56,3772,1114,8,374,0.34290843806104127,0.020942408376963352,0.9790575916230366,382,-0.008039182570511727
27,Benin,,2021-03-01,5434,70,4248,1606,14,476,0.30510585305105853,0.02857142857142857,0.9714285714285714,490,-0.007629020194465208
28,Benin,,2021-03-16,6501,81,5552,2183,11,1304,0.6023820430600092,0.008365019011406844,0.9916349809885932,1315,0.020206409560021732
29,Benin,,2021-03-31,7100,90,6452,1467,9,900,0.6196319018404908,0.009900990099009901,0.9900990099009901,909,-0.0015359710876030608
30,Benin,,2021-04-15,7611,95,6728,1069,5,276,0.2628624883068288,0.017793594306049824,0.9822064056939501,281,-0.007892604207039966
31,Benin,,2021-04-30,7821,99,7580,998,4,852,0.8577154308617234,0.004672897196261682,0.9953271028037384,856,0.013120697109788249
32,Benin,,2021-05-15,7995,101,7652,316,2,72,0.23417721518987342,0.02702702702702703,0.972972972972973,74,-0.022354129830765346
33,Benin,,2021-05-30,8058,101,7893,305,0,241,0.7901639344262295,0.0,1.0,241,0.027027027027026973
34,Benin,,2021-06-14,8109,102,7979,115,1,86,0.7565217391304347,0.011494252873563218,0.9885057471264368,87,-0.011494252873563204
35,Benin,,2021-06-29,8199,104,8000,118,2,21,0.19491525423728814,0.08695652173913043,0.9130434782608695,23,-0.07546226886556728
36,Benin,,2021-07-14,8244,107,8081,140,3,81,0.6,0.03571428571428571,0.9642857142857143,84,0.05124223602484479
37,Benin,,2021-07-22,8324,107,8125,136,0,44,0.3235294117647059,0.0,1.0,44,0.0357142857142857
