Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
8,Brazil,Bahia,2020-05-20,11197,362,0,11197,362,0,0.03233008841654014,1.0,0.0,362,
9,Brazil,Bahia,2020-06-04,23463,790,0,23101,428,0,0.018527336478940306,1.0,0.0,428,0.0
10,Brazil,Bahia,2020-06-19,43922,1305,22028,43132,515,22028,0.522651395715478,0.0228452291176862,0.9771547708823138,22543,0.9771547708823138
11,Brazil,Bahia,2020-07-04,85485,2050,54987,62152,745,32959,0.5422834341614108,0.022104201281746973,0.977895798718253,33704,0.000741027835939212
12,Brazil,Bahia,2020-07-19,122169,2840,99704,65132,790,44717,0.6986888165571455,0.01735996659854528,0.9826400334014547,45507,0.00474423468320162
13,Brazil,Bahia,2020-08-03,171391,3624,155700,68847,784,55996,0.824727293854489,0.013807678760126806,0.9861923212398732,56780,0.003552287838418544
14,Brazil,Bahia,2020-08-18,221041,4542,202157,61717,918,46457,0.7676167020431972,0.01937730870712401,0.9806226912928759,47375,-0.005569629946997279
15,Brazil,Bahia,2020-09-02,262299,5502,247249,55600,960,45092,0.8282733812949641,0.02084600017371667,0.9791539998262834,46052,-0.0014686914665925643
16,Brazil,Bahia,2020-09-17,289655,6132,276502,36904,630,29253,0.8097496206373292,0.02108222066057625,0.9789177793394237,29883,-0.0002362204868596729
17,Brazil,Bahia,2020-10-02,312050,6795,298001,29416,663,21499,0.7533995104704923,0.029916072556628464,0.9700839274433716,22162,-0.008833851896052125
18,Brazil,Bahia,2020-10-17,334697,7288,311054,29901,493,13053,0.4530283268118123,0.036394507603720656,0.9636054923962794,13546,-0.006478435047092224
19,Brazil,Bahia,2020-11-01,354043,7645,339926,35701,357,28872,0.8187165625612728,0.012213897156933183,0.9877861028430668,29229,0.02418061044678743
20,Brazil,Bahia,2020-11-16,374721,7967,359648,27150,322,19722,0.738268876611418,0.016064657752943523,0.9839353422470565,20044,-0.0038507605960103053
21,Brazil,Bahia,2020-12-01,406189,8293,386676,38574,326,27028,0.7091305024109504,0.011917818234993055,0.988082181765007,27354,0.0041468395179504736
22,Brazil,Bahia,2020-12-16,456106,8691,435556,61137,398,48880,0.8060258108837529,0.008076626486464547,0.9919233735135354,49278,0.003841191748528483
23,Brazil,Bahia,2020-12-31,493400,9129,478198,49153,438,42642,0.8764470123898846,0.010167130919220056,0.9898328690807799,43080,-0.002090504432755491
24,Brazil,Bahia,2021-01-15,528539,9575,508189,41212,446,29991,0.7385470251383093,0.014653218122679633,0.9853467818773204,30437,-0.0044860872034595545
25,Brazil,Bahia,2021-01-30,585958,10059,563176,68194,484,54987,0.8134293339589993,0.008725279875971229,0.9912747201240287,55471,0.005927938246708342
26,Brazil,Bahia,2021-02-14,629849,10735,603722,56614,676,40546,0.7281237856360617,0.016399010237251953,0.983600989762748,41222,-0.007673730361280717
27,Brazil,Bahia,2021-03-01,686057,11914,654292,71600,1179,50570,0.7227513966480447,0.022783048947805754,0.9772169510521942,51749,-0.006384038710553819
28,Brazil,Bahia,2021-03-16,748835,13459,718002,82629,1545,63710,0.7897348388580281,0.023676346640104207,0.9763236533598958,65255,-0.0008932976922984004
29,Brazil,Bahia,2021-03-31,803664,15330,769689,72203,1871,51687,0.7417697325595889,0.03493409014526308,0.965065909854737,53558,-0.011257743505158846
30,Brazil,Bahia,2021-04-15,852458,17000,819319,67439,1670,49630,0.7606874360533222,0.032553606237816765,0.9674463937621832,51300,0.0023804839074462736
31,Brazil,Bahia,2021-04-30,900841,18477,866640,64522,1477,47321,0.7563001766839218,0.03026763391942293,0.9697323660805771,48798,0.002285972318393892
32,Brazil,Bahia,2021-05-15,952796,19831,915258,67679,1354,48618,0.7383678836862246,0.027095173297046346,0.9729048267029536,49972,0.0031724606223765273
33,Brazil,Bahia,2021-05-30,1010166,21074,965804,75077,1243,50546,0.6898117932256217,0.024001235783660622,0.9759987642163394,51789,0.003093937513385714
34,Brazil,Bahia,2021-06-14,1066552,22601,1030977,79674,1527,65173,0.8371614328388182,0.022893553223388305,0.9771064467766117,66700,0.0011076825602723828
35,Brazil,Bahia,2021-06-21,1099499,23254,1059838,45921,653,28861,0.6427124844842229,0.022125093176119808,0.9778749068238802,29514,0.0007684600472684933
