Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Colombia,Cundinamarca,2020-06-04,1090,23,335,1090,23,335,0.3284403669724771,0.06424581005586592,0.9357541899441341,358,
10,Colombia,Cundinamarca,2020-06-19,1939,47,681,1581,24,346,0.23402909550917142,0.06486486486486487,0.9351351351351351,370,-0.0006190548089989312
11,Colombia,Cundinamarca,2020-07-04,3218,72,1590,2490,25,909,0.3751004016064257,0.02676659528907923,0.9732334047109208,934,0.03809826957578566
12,Colombia,Cundinamarca,2020-07-19,5835,130,2697,4173,58,1107,0.2791756530074287,0.04978540772532189,0.9502145922746781,1165,-0.023018812436242708
13,Colombia,Cundinamarca,2020-08-03,10032,267,5112,7205,137,2415,0.35419847328244275,0.05368338557993731,0.9463166144200627,2552,-0.003897977854615431
14,Colombia,Cundinamarca,2020-08-18,16290,451,9595,10911,184,4483,0.4277334799743378,0.03942575530319263,0.9605742446968074,4667,0.01425763027674476
15,Colombia,Cundinamarca,2020-09-02,24384,691,17474,14338,240,7879,0.5662574975589343,0.02956029067619165,0.9704397093238083,8119,0.009865464627000886
16,Colombia,Cundinamarca,2020-09-17,29851,879,24606,11686,188,7132,0.6263905527982201,0.025683060109289616,0.9743169398907103,7320,0.0038772305669020346
17,Colombia,Cundinamarca,2020-10-02,34043,1018,30996,8558,139,6390,0.7629118953026408,0.021289630877622912,0.9787103691223771,6529,0.004393429231666746
18,Colombia,Cundinamarca,2020-10-17,38162,1120,34293,6148,102,3297,0.5528627195836044,0.03000882612533098,0.969991173874669,3399,-0.008719195247708034
19,Colombia,Cundinamarca,2020-11-01,42794,1226,39124,7381,106,4831,0.6688795556157702,0.02147052866113024,0.9785294713388698,4937,0.008538297464200761
20,Colombia,Cundinamarca,2020-11-16,47639,1322,44012,7289,96,4888,0.6837700644807244,0.019261637239165328,0.9807383627608347,4984,0.002208891421964898
21,Colombia,Cundinamarca,2020-12-01,52927,1420,48781,7593,98,4769,0.640985117871724,0.020135607150195193,0.9798643928498048,4867,-0.0008739699110299481
22,Colombia,Cundinamarca,2020-12-03,53678,1425,49591,3477,5,810,0.23439746908254241,0.006134969325153374,0.9938650306748467,815,0.014000637825041906
