Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
8,Germany,Mecklenburg-Vorpommern,2020-05-20,763,20,700,763,20,700,0.9436435124508519,0.027777777777777776,0.9722222222222222,720,
9,Germany,Mecklenburg-Vorpommern,2020-06-04,763,20,722,43,0,22,0.5116279069767442,0.0,1.0,22,0.02777777777777779
10,Germany,Mecklenburg-Vorpommern,2020-06-19,791,20,750,49,0,28,0.5714285714285714,0.0,1.0,28,0.0
11,Germany,Mecklenburg-Vorpommern,2020-07-04,804,20,772,34,0,22,0.6470588235294118,0.0,1.0,22,0.0
12,Germany,Mecklenburg-Vorpommern,2020-07-19,806,20,784,14,0,12,0.8571428571428571,0.0,1.0,12,0.0
13,Germany,Mecklenburg-Vorpommern,2020-08-03,880,20,793,76,0,9,0.11842105263157894,0.0,1.0,9,0.0
14,Germany,Mecklenburg-Vorpommern,2020-08-18,978,20,884,165,0,91,0.5515151515151515,0.0,1.0,91,0.0
15,Germany,Mecklenburg-Vorpommern,2020-09-02,1015,20,960,111,0,76,0.6846846846846847,0.0,1.0,76,0.0
16,Germany,Mecklenburg-Vorpommern,2020-09-17,1095,20,1010,115,0,50,0.43478260869565216,0.0,1.0,50,0.0
17,Germany,Mecklenburg-Vorpommern,2020-10-02,1247,20,1085,217,0,75,0.3456221198156682,0.0,1.0,75,0.0
18,Germany,Mecklenburg-Vorpommern,2020-10-17,1686,21,1303,581,1,218,0.3769363166953528,0.0045662100456621,0.9954337899543378,219,-0.004566210045662156
19,Germany,Mecklenburg-Vorpommern,2020-11-01,2928,23,1811,1604,2,508,0.3179551122194514,0.00392156862745098,0.996078431372549,510,0.0006446414182111893
20,Germany,Mecklenburg-Vorpommern,2020-11-16,4464,40,3043,2630,17,1232,0.47490494296577945,0.013610888710968775,0.9863891112890312,1249,-0.00968932008351786
21,Germany,Mecklenburg-Vorpommern,2020-12-01,6118,65,4629,3035,25,1586,0.5308072487644152,0.015518311607697082,0.9844816883923029,1611,-0.0019074228967282947
22,Germany,Mecklenburg-Vorpommern,2020-12-16,8954,109,6393,4260,44,1764,0.4244131455399061,0.024336283185840708,0.9756637168141593,1808,-0.008817971578143569
23,Germany,Mecklenburg-Vorpommern,2020-12-31,12171,172,9130,5669,63,2737,0.4939142705944611,0.0225,0.9775,2800,0.0018362831858407258
24,Germany,Mecklenburg-Vorpommern,2021-01-15,16373,296,12370,7071,124,3240,0.4757460048083722,0.036860879904875146,0.9631391200951248,3364,-0.014360879904875223
25,Germany,Mecklenburg-Vorpommern,2021-01-30,19848,448,16124,7182,152,3754,0.543859649122807,0.03891449052739376,0.9610855094726063,3906,-0.0020536106225185202
26,Germany,Mecklenburg-Vorpommern,2021-02-14,22340,634,19341,5768,186,3217,0.5899791955617198,0.05465765501028504,0.9453423449897149,3403,-0.01574316448289137
27,Germany,Mecklenburg-Vorpommern,2021-03-01,24613,745,21663,4638,111,2322,0.5245795601552393,0.04562268803945746,0.9543773119605425,2433,0.009034966970827618
28,Germany,Mecklenburg-Vorpommern,2021-03-16,27099,816,24329,4691,71,2666,0.5834576849285866,0.025940811107051515,0.9740591888929485,2737,0.019681876932405973
29,Germany,Mecklenburg-Vorpommern,2021-03-31,30658,867,26910,5513,51,2581,0.477417014329766,0.01937689969604863,0.9806231003039514,2632,0.006563911411002876
30,Germany,Mecklenburg-Vorpommern,2021-04-15,35431,921,30510,7654,54,3600,0.4773974392474523,0.014778325123152709,0.9852216748768473,3654,0.004598574572895919
31,Germany,Mecklenburg-Vorpommern,2021-04-30,40285,998,35200,8854,77,4690,0.5384007228371358,0.016152716593245228,0.9838472834067548,4767,-0.0013743914700925508
32,Germany,Mecklenburg-Vorpommern,2021-05-15,42905,1078,39600,6707,80,4400,0.6679588489637692,0.017857142857142856,0.9821428571428571,4480,-0.0017044262638976626
33,Germany,Mecklenburg-Vorpommern,2021-05-30,43842,1121,41900,3164,43,2300,0.7405183312262958,0.01835253947930004,0.9816474605207,2343,-0.0004953966221571404
34,Germany,Mecklenburg-Vorpommern,2021-06-14,44079,1146,42740,1058,25,840,0.8175803402646503,0.028901734104046242,0.9710982658959537,865,-0.010549194624746239
35,Germany,Mecklenburg-Vorpommern,2021-06-29,44149,1154,42920,263,8,180,0.714828897338403,0.0425531914893617,0.9574468085106383,188,-0.013651457385315369
36,Germany,Mecklenburg-Vorpommern,2021-07-14,44218,1164,42950,144,10,30,0.2777777777777778,0.25,0.75,40,-0.20744680851063835
37,Germany,Mecklenburg-Vorpommern,2021-07-29,44394,1177,42990,280,13,40,0.18928571428571428,0.24528301886792453,0.7547169811320755,53,0.004716981132075526
38,Germany,Mecklenburg-Vorpommern,2021-08-04,44588,1182,43000,421,5,10,0.035629453681710214,0.3333333333333333,0.6666666666666666,15,-0.0880503144654089
