Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
8,Germany,Rheinland-Pfalz,2020-05-20,6539,222,5914,6539,222,5914,0.9383697813121272,0.03617992177314211,0.9638200782268579,6136,
9,Germany,Rheinland-Pfalz,2020-06-04,6726,230,6289,590,8,375,0.6491525423728813,0.020887728459530026,0.97911227154047,383,0.01529219331361209
10,Germany,Rheinland-Pfalz,2020-06-19,6889,234,6497,370,4,208,0.572972972972973,0.018867924528301886,0.9811320754716981,212,0.002019803931228137
11,Germany,Rheinland-Pfalz,2020-07-04,7080,235,6635,349,1,138,0.3982808022922636,0.007194244604316547,0.9928057553956835,139,0.01167367992398538
12,Germany,Rheinland-Pfalz,2020-07-19,7306,238,6806,436,3,171,0.39908256880733944,0.017241379310344827,0.9827586206896551,174,-0.01004713470602836
13,Germany,Rheinland-Pfalz,2020-08-03,7543,239,7027,499,1,221,0.44488977955911824,0.0045045045045045045,0.9954954954954955,222,0.012736874805840404
14,Germany,Rheinland-Pfalz,2020-08-18,8264,242,7396,998,3,369,0.3727454909819639,0.008064516129032258,0.9919354838709677,372,-0.0035600116245277924
15,Germany,Rheinland-Pfalz,2020-09-02,9181,243,8154,1543,1,758,0.49189889825016203,0.0013175230566534915,0.9986824769433466,759,0.006746993072378804
16,Germany,Rheinland-Pfalz,2020-09-17,9953,247,8959,1556,4,805,0.5199228791773779,0.004944375772558714,0.9950556242274413,809,-0.0036268527159052377
17,Germany,Rheinland-Pfalz,2020-10-02,10938,255,9809,1732,8,850,0.4953810623556582,0.009324009324009324,0.9906759906759907,858,-0.004379633551450657
18,Germany,Rheinland-Pfalz,2020-10-17,13404,263,10893,3340,8,1084,0.3269461077844311,0.007326007326007326,0.9926739926739927,1092,0.0019980019980020414
19,Germany,Rheinland-Pfalz,2020-11-01,20962,287,13627,9806,24,2734,0.2812563736487865,0.00870195794053662,0.9912980420594634,2758,-0.001375950614529331
20,Germany,Rheinland-Pfalz,2020-11-16,33459,370,19042,19545,83,5415,0.2812995651061653,0.015096398690432885,0.9849036013095671,5498,-0.0063944407498962574
21,Germany,Rheinland-Pfalz,2020-12-01,45169,572,28138,25757,202,9096,0.3609892456419614,0.021725102172510218,0.9782748978274898,9298,-0.006628703482077336
22,Germany,Rheinland-Pfalz,2020-12-16,59649,979,40756,30939,407,12618,0.42098968938879733,0.03124760076775432,0.9687523992322457,13025,-0.009522498595244122
23,Germany,Rheinland-Pfalz,2020-12-31,72822,1441,52400,31087,462,11644,0.3894232315758999,0.038162894432512806,0.9618371055674872,12106,-0.006915293664758404
24,Germany,Rheinland-Pfalz,2021-01-15,84196,2035,66441,30355,594,14041,0.48212815022236866,0.040587632388110695,0.9594123676118893,14635,-0.0024247379555979443
25,Germany,Rheinland-Pfalz,2021-01-30,92638,2515,78280,24162,480,11839,0.5098501779654002,0.038964201639743484,0.9610357983602565,12319,0.0016234307483672383
26,Germany,Rheinland-Pfalz,2021-02-14,97872,2879,88578,17077,364,10298,0.6243485389705452,0.03413993622209717,0.9658600637779028,10662,0.004824265417646245
27,Germany,Rheinland-Pfalz,2021-03-01,102444,3111,94608,10987,232,6030,0.5699463001729317,0.037048866176940275,0.9629511338230597,6262,-0.0029089299548430425
28,Germany,Rheinland-Pfalz,2021-03-16,107433,3224,99451,9714,113,4843,0.5101914762198888,0.022800645682001613,0.9771993543179984,4956,0.01424822049493868
29,Germany,Rheinland-Pfalz,2021-03-31,116799,3328,104800,14124,104,5349,0.3860804304729538,0.01907207041995232,0.9809279295800477,5453,0.003728575262049283
30,Germany,Rheinland-Pfalz,2021-04-05,119753,3343,106800,11625,15,2000,0.17333333333333334,0.007444168734491315,0.9925558312655087,2015,0.011627901685461017
