Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Hungary,,2020-03-06,2,0,0,2,0,0,0.0,,,0,
4,Hungary,,2020-03-21,103,4,7,103,4,7,0.10679611650485436,0.36363636363636365,0.6363636363636364,11,
5,Hungary,,2020-04-05,733,34,66,722,30,59,0.12326869806094183,0.33707865168539325,0.6629213483146067,89,0.026557711950970342
6,Hungary,,2020-04-20,1984,199,267,1884,165,201,0.1942675159235669,0.45081967213114754,0.5491803278688525,366,-0.11374102044575418
7,Hungary,,2020-05-05,3065,363,709,2599,164,442,0.23316660253943824,0.2706270627062706,0.7293729372937293,606,0.1801926094248768
8,Hungary,,2020-05-20,3598,470,1454,2526,107,745,0.33729216152019004,0.1255868544600939,0.8744131455399061,852,0.1450402082461768
9,Hungary,,2020-06-04,3954,539,2205,2030,69,751,0.4039408866995074,0.08414634146341464,0.9158536585365854,820,0.04144051299667928
10,Hungary,,2020-06-19,4081,568,2581,1337,29,376,0.3029169783096485,0.07160493827160494,0.928395061728395,405,0.01254140319180963
11,Hungary,,2020-07-04,4174,589,2784,1025,21,203,0.21853658536585366,0.09375,0.90625,224,-0.022145061728395032
12,Hungary,,2020-07-19,4333,596,3223,960,7,439,0.46458333333333335,0.01569506726457399,0.984304932735426,446,0.07805493273542596
13,Hungary,,2020-08-03,4544,597,3413,725,1,190,0.263448275862069,0.005235602094240838,0.9947643979057592,191,0.010459465170333249
14,Hungary,,2020-08-18,4970,609,3631,960,12,218,0.23958333333333334,0.05217391304347826,0.9478260869565217,230,-0.046938310949237505
15,Hungary,,2020-09-02,6622,619,3903,2382,10,272,0.11838790931989925,0.03546099290780142,0.9645390070921985,282,0.016712920135676823
16,Hungary,,2020-09-17,15170,663,4227,10648,44,324,0.03456048084147258,0.11956521739130435,0.8804347826086957,368,-0.08410422448350285
17,Hungary,,2020-10-02,28631,798,6349,23741,135,2122,0.09506760456594078,0.05981391227292867,0.9401860877270714,2257,0.059751305118375675
18,Hungary,,2020-10-17,44816,1109,13580,37669,311,7231,0.2002176856300937,0.04123574648634314,0.9587642535136569,7542,0.018578165786585554
19,Hungary,,2020-11-01,79199,1819,20078,64510,710,6498,0.11173461478840489,0.09850166481687014,0.9014983351831298,7208,-0.05726591833052708
20,Hungary,,2020-11-16,147456,3190,34010,125559,1371,13932,0.12187895730294125,0.08959027641638895,0.910409723583611,15303,0.008911388400481224
21,Hungary,,2020-12-01,221073,4977,64802,183873,1787,30792,0.17718207675950248,0.05485128456981491,0.9451487154301851,32579,0.03473899184657403
22,Hungary,,2020-12-16,288567,7381,83940,218788,2404,19138,0.09846061027113004,0.11159595209358462,0.8884040479064154,21542,-0.05674466752376972
23,Hungary,,2020-12-31,322514,9537,150102,231193,2156,66162,0.2955020264454374,0.03155830088702831,0.9684416991129717,68318,0.08003765120655637
24,Hungary,,2021-01-15,349149,11177,225021,189510,1640,74919,0.40398395863015146,0.021421387426690527,0.9785786125733095,76559,0.010136913460337738
25,Hungary,,2021-01-30,366279,12463,259555,130081,1286,34534,0.2753668867859257,0.035901730876605246,0.9640982691233948,35820,-0.014480343449914668
26,Hungary,,2021-02-14,387462,13706,296173,115444,1243,36618,0.32795987665015075,0.03283061725786429,0.9671693827421357,37861,0.003071113618740906
27,Hungary,,2021-03-01,432925,15058,322956,123046,1352,26783,0.22865432439900524,0.04805402523547183,0.9519459747645281,28135,-0.015223407977607573
28,Hungary,,2021-03-16,529122,17226,356679,191108,2168,33723,0.18780480147351236,0.060405115488562595,0.9395948845114374,35891,-0.01235109025309078
29,Hungary,,2021-03-31,652433,20737,406935,278528,3511,50256,0.19303983800551472,0.06530027712165455,0.9346997228783455,53767,-0.0048951616330918934
30,Hungary,,2021-04-15,736982,24521,440498,309310,3784,33563,0.12074294397206686,0.10132005248078828,0.8986799475192118,37347,-0.0360197753591337
31,Hungary,,2021-04-30,779348,27540,510379,314329,3019,69881,0.23192260338689716,0.04141289437585734,0.9585871056241426,72900,0.05990715810493086
32,Hungary,,2021-05-15,797429,29114,618608,259510,1574,108229,0.42311664290393436,0.014334763166762292,0.9856652368332377,109803,0.02707813120909508
33,Hungary,,2021-05-30,804382,29728,696029,156660,614,77421,0.49811694114643174,0.007868264240404946,0.992131735759595,78035,0.006466498926357311
34,Hungary,,2021-06-14,807045,29925,730588,81288,197,34559,0.4275661844306663,0.0056680860858556795,0.9943319139141443,34756,0.002200178154549315
35,Hungary,,2021-06-21,807630,29959,735574,47117,34,4986,0.10654328586285206,0.006772908366533864,0.9932270916334661,5020,-0.0011048222806782082
