Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
8,Italy,Campania,2020-05-20,4714,401,2871,4714,401,2871,0.694102672889266,0.12255501222493888,0.8774449877750611,3272,
9,Italy,Campania,2020-06-04,4822,420,3572,1550,19,701,0.4645161290322581,0.02638888888888889,0.9736111111111111,720,0.09616612333605001
10,Italy,Campania,2020-06-19,4615,431,4059,623,11,487,0.7993579454253612,0.02208835341365462,0.9779116465863453,498,0.004300535475234235
11,Italy,Campania,2020-07-04,4714,432,4084,224,1,25,0.11607142857142858,0.038461538461538464,0.9615384615384616,26,-0.016373185047883765
12,Italy,Campania,2020-07-19,4827,433,4100,311,1,16,0.05466237942122187,0.058823529411764705,0.9411764705882353,17,-0.020361990950226283
13,Italy,Campania,2020-08-03,5020,436,4187,487,3,87,0.18480492813141683,0.03333333333333333,0.9666666666666667,90,0.025490196078431393
14,Italy,Campania,2020-08-18,5347,440,4311,724,4,124,0.17679558011049723,0.03125,0.96875,128,0.002083333333333326
15,Italy,Campania,2020-09-02,7285,446,4437,2534,6,126,0.05209155485398579,0.045454545454545456,0.9545454545454546,132,-0.014204545454545414
16,Italy,Campania,2020-09-17,9732,455,4970,4849,9,533,0.111775623839967,0.016605166051660517,0.9833948339483395,542,0.0288493794028849
17,Italy,Campania,2020-10-02,13524,464,6315,8099,9,1345,0.1671811334732683,0.0066469719350073855,0.9933530280649926,1354,0.009958194116653107
18,Italy,Campania,2020-10-17,24443,499,8254,17664,35,1939,0.11175271739130435,0.01773049645390071,0.9822695035460993,1974,-0.011083524518893273
19,Italy,Campania,2020-11-01,59600,676,11746,50847,177,3492,0.07215764941884477,0.0482420278004906,0.9517579721995094,3669,-0.030511531346589904
20,Italy,Campania,2020-11-16,115266,1066,22686,102844,390,10940,0.11016685465365018,0.03442188879082083,0.9655781112091791,11330,0.013820139009669719
21,Italy,Campania,2020-12-01,156432,1721,51832,132680,655,29146,0.22460807958999096,0.021979128217173922,0.978020871782826,29801,0.012442760573646905
22,Italy,Campania,2020-12-16,176600,2424,85972,123047,703,34140,0.283168220273554,0.020176219039692335,0.9798237809603076,34843,0.0018029091774816042
23,Italy,Campania,2020-12-31,189673,2844,109574,101277,420,23602,0.23719107003564482,0.017483973024727335,0.9825160269752726,24022,0.002692246014964983
24,Italy,Campania,2021-01-15,204996,3335,128728,92578,491,19154,0.21219944263215884,0.024993637057775516,0.9750063629422245,19645,-0.007509664033048091
25,Italy,Campania,2021-01-30,220784,3747,155381,88721,412,26653,0.30505742721565354,0.015222612229817106,0.9847773877701829,27065,0.00977102482795833
26,Italy,Campania,2021-02-14,242916,4006,169916,83788,259,14535,0.17656466319759392,0.017507097471948087,0.9824929025280519,14794,-0.0022844852421309847
27,Italy,Campania,2021-03-01,269515,4298,187264,95593,292,17348,0.18453234023411755,0.01655328798185941,0.9834467120181406,17640,0.0009538094900887195
28,Italy,Campania,2021-03-16,308101,4784,205244,116539,486,17980,0.1584533932846515,0.026318639662081665,0.9736813603379183,18466,-0.0097653516802223
29,Italy,Campania,2021-03-31,337289,5363,238809,127261,579,33565,0.2682990075514101,0.01695759137769447,0.9830424086223055,34144,0.009361048284387219
30,Italy,Campania,2021-04-15,364489,5891,267074,120317,528,28265,0.23930949076190397,0.018337790435175215,0.9816622095648248,28793,-0.0013801990574807688
31,Italy,Campania,2021-04-30,391792,6393,294011,118827,502,26937,0.23091553266513504,0.018295127373446553,0.9817048726265535,27439,4.266306172873158e-05
32,Italy,Campania,2021-05-15,410717,6805,323754,110313,412,29743,0.2733585343522522,0.013662742497098325,0.9863372575029017,30155,0.004632384876348206
33,Italy,Campania,2021-05-30,418985,7191,344440,88426,386,20686,0.23830095220862643,0.01831814730447988,0.9816818526955201,21072,-0.00465540480738158
34,Italy,Campania,2021-06-12,422392,7334,354673,70761,143,10233,0.14663444552790378,0.013781804163454125,0.9862181958365459,10376,0.0045363431410258
