Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
8,Italy,Friuli Venezia Giulia,2020-05-20,3209,322,2291,3209,322,2291,0.8142723589903397,0.12323000382701875,0.8767699961729812,2613,
9,Italy,Friuli Venezia Giulia,2020-06-04,3279,336,2730,666,14,439,0.6801801801801802,0.03090507726269316,0.9690949227373068,453,0.09232492656432556
10,Italy,Friuli Venezia Giulia,2020-06-19,3303,343,2875,237,7,145,0.6413502109704642,0.046052631578947366,0.9539473684210527,152,-0.015147554316254142
11,Italy,Friuli Venezia Giulia,2020-07-04,3326,345,2908,108,2,33,0.32407407407407407,0.05714285714285714,0.9428571428571428,35,-0.011090225563909817
12,Italy,Friuli Venezia Giulia,2020-07-19,3352,345,2911,99,0,3,0.030303030303030304,0.0,1.0,3,0.05714285714285716
13,Italy,Friuli Venezia Giulia,2020-08-03,3411,346,2929,155,1,18,0.12258064516129032,0.05263157894736842,0.9473684210526315,19,-0.052631578947368474
14,Italy,Friuli Venezia Giulia,2020-08-18,3522,348,2970,247,2,41,0.17408906882591094,0.046511627906976744,0.9534883720930233,43,0.006119951040391758
15,Italy,Friuli Venezia Giulia,2020-09-02,3806,349,3070,488,1,100,0.2069672131147541,0.009900990099009901,0.9900990099009901,101,0.036610637807966806
16,Italy,Friuli Venezia Giulia,2020-09-17,4273,349,3268,854,0,198,0.23185011709601874,0.0,1.0,198,0.00990099009900991
17,Italy,Friuli Venezia Giulia,2020-10-02,4789,353,3643,1172,4,375,0.32337883959044367,0.010554089709762533,0.9894459102902374,379,-0.01055408970976257
18,Italy,Friuli Venezia Giulia,2020-10-17,6260,359,3962,2264,6,319,0.1435512367491166,0.018461538461538463,0.9815384615384616,325,-0.007907448751775847
19,Italy,Friuli Venezia Giulia,2020-11-01,11244,398,5470,6923,39,1508,0.22345803842264914,0.025210084033613446,0.9747899159663865,1547,-0.006748545572075049
20,Italy,Friuli Venezia Giulia,2020-11-16,19393,546,8792,13525,148,3322,0.2565619223659889,0.04265129682997118,0.9573487031700288,3470,-0.017441212796357686
21,Italy,Friuli Venezia Giulia,2020-11-30,30650,838,15297,21312,292,6505,0.3189283033033033,0.04296012946888333,0.9570398705311167,6797,-0.00030883263891212653
