Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Japan,Wakayama,2020-06-04,63,3,60,63,3,60,1.0,0.047619047619047616,0.9523809523809523,63,
10,Japan,Wakayama,2020-06-19,63,3,60,0,0,0,,,,0,
11,Japan,Wakayama,2020-07-04,64,3,61,1,0,1,1.0,0.0,1.0,1,
12,Japan,Wakayama,2020-07-19,89,3,70,25,0,9,0.36,0.0,1.0,9,0.0
13,Japan,Wakayama,2020-08-03,169,3,112,96,0,42,0.4375,0.0,1.0,42,0.0
14,Japan,Wakayama,2020-08-18,209,4,170,94,1,58,0.6276595744680851,0.01694915254237288,0.9830508474576272,59,-0.016949152542372836
15,Japan,Wakayama,2020-09-02,231,5,217,57,1,47,0.8421052631578947,0.020833333333333332,0.9791666666666666,48,-0.003884180790960534
16,Japan,Wakayama,2020-09-17,236,5,225,14,0,8,0.5714285714285714,0.0,1.0,8,0.02083333333333337
17,Japan,Wakayama,2020-10-02,242,4,229,12,-1,4,0.25,-0.3333333333333333,1.3333333333333333,3,0.33333333333333326
18,Japan,Wakayama,2020-10-17,255,4,236,22,0,7,0.3181818181818182,0.0,1.0,7,-0.33333333333333326
19,Japan,Wakayama,2020-11-01,275,4,256,35,0,20,0.5714285714285714,0.0,1.0,20,0.0
20,Japan,Wakayama,2020-11-16,333,4,274,73,0,18,0.2465753424657534,0.0,1.0,18,0.0
21,Japan,Wakayama,2020-12-01,462,6,363,184,2,89,0.4945652173913043,0.02197802197802198,0.978021978021978,91,-0.02197802197802201
22,Japan,Wakayama,2020-12-16,568,7,481,199,1,118,0.5979899497487438,0.008403361344537815,0.9915966386554622,119,0.013574660633484226
23,Japan,Wakayama,2020-12-31,616,7,562,128,0,81,0.6328125,0.0,1.0,81,0.008403361344537785
24,Japan,Wakayama,2021-01-15,836,10,679,267,3,117,0.449438202247191,0.025,0.975,120,-0.025000000000000022
25,Japan,Wakayama,2021-01-30,1054,13,902,365,3,223,0.6191780821917808,0.01327433628318584,0.9867256637168141,226,0.01172566371681416
26,Japan,Wakayama,2021-02-14,1147,16,1046,232,3,144,0.6336206896551724,0.02040816326530612,0.9795918367346939,147,-0.007133826982120284
27,Japan,Wakayama,2021-03-01,1164,18,1109,102,2,63,0.6372549019607843,0.03076923076923077,0.9692307692307692,65,-0.010361067503924626
28,Japan,Wakayama,2021-03-16,1182,18,1125,55,0,16,0.2909090909090909,0.0,1.0,16,0.03076923076923077
29,Japan,Wakayama,2021-03-31,1287,18,1151,144,0,26,0.18055555555555555,0.0,1.0,26,0.0
30,Japan,Wakayama,2021-04-15,1666,19,1329,497,1,178,0.36016096579476864,0.00558659217877095,0.994413407821229,179,-0.005586592178770999
31,Japan,Wakayama,2021-04-30,2158,26,1751,810,7,422,0.5296296296296297,0.016317016317016316,0.9836829836829837,429,-0.01073042413824532
32,Japan,Wakayama,2021-05-15,2471,33,2170,694,7,419,0.6138328530259366,0.01643192488262911,0.9835680751173709,426,-0.00011490856561280349
33,Japan,Wakayama,2021-05-19,2517,34,2250,314,1,80,0.25796178343949044,0.012345679012345678,0.9876543209876543,81,0.004086245870283389
