Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Japan,Yamagata,2020-06-04,69,0,66,69,0,66,0.9565217391304348,0.0,1.0,66,
10,Japan,Yamagata,2020-06-19,69,0,68,3,0,2,0.6666666666666666,0.0,1.0,2,0.0
11,Japan,Yamagata,2020-07-04,70,0,68,2,0,0,0.0,,,0,
12,Japan,Yamagata,2020-07-19,75,1,70,7,1,2,0.42857142857142855,0.3333333333333333,0.6666666666666666,3,
13,Japan,Yamagata,2020-08-03,76,1,75,5,0,5,1.0,0.0,1.0,5,0.33333333333333337
14,Japan,Yamagata,2020-08-18,76,1,76,0,0,1,,0.0,1.0,1,0.0
15,Japan,Yamagata,2020-09-02,78,1,76,1,0,0,0.0,,,0,
16,Japan,Yamagata,2020-09-17,78,1,76,1,0,0,0.0,,,0,
17,Japan,Yamagata,2020-10-02,78,1,76,1,0,0,0.0,,,0,
18,Japan,Yamagata,2020-10-17,81,1,78,4,0,2,0.5,0.0,1.0,2,
19,Japan,Yamagata,2020-11-01,86,1,80,7,0,2,0.2857142857142857,0.0,1.0,2,0.0
20,Japan,Yamagata,2020-11-16,98,1,84,17,0,4,0.23529411764705882,0.0,1.0,4,0.0
21,Japan,Yamagata,2020-11-30,138,1,100,53,0,16,0.3018867924528302,0.0,1.0,16,0.0
