Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Liechtenstein,,2020-03-06,1,0,0,1,0,0,0.0,,,0,
4,Liechtenstein,,2020-03-21,37,0,0,37,0,0,0.0,,,0,
5,Liechtenstein,,2020-04-05,77,1,0,77,1,0,0.012987012987012988,1.0,0.0,1,
6,Liechtenstein,,2020-04-20,81,1,55,80,0,55,0.6875,0.0,1.0,55,1.0
7,Liechtenstein,,2020-05-05,82,1,55,26,0,0,0.0,,,0,
8,Liechtenstein,,2020-05-20,82,1,55,26,0,0,0.0,,,0,
9,Liechtenstein,,2020-06-04,82,1,55,26,0,0,0.0,,,0,
10,Liechtenstein,,2020-06-19,82,1,55,26,0,0,0.0,,,0,
11,Liechtenstein,,2020-07-04,83,1,81,27,0,26,0.9629629629629629,0.0,1.0,26,
12,Liechtenstein,,2020-07-19,86,1,81,4,0,0,0.0,,,0,
13,Liechtenstein,,2020-08-03,89,1,85,7,0,4,0.5714285714285714,0.0,1.0,4,
14,Liechtenstein,,2020-08-18,97,1,88,11,0,3,0.2727272727272727,0.0,1.0,3,0.0
15,Liechtenstein,,2020-09-02,107,1,97,18,0,9,0.5,0.0,1.0,9,0.0
16,Liechtenstein,,2020-09-17,112,1,108,14,0,11,0.7857142857142857,0.0,1.0,11,0.0
17,Liechtenstein,,2020-10-02,120,1,116,11,0,8,0.7272727272727273,0.0,1.0,8,0.0
18,Liechtenstein,,2020-10-17,217,1,132,100,0,16,0.16,0.0,1.0,16,0.0
19,Liechtenstein,,2020-11-01,551,3,347,418,2,215,0.5191387559808612,0.009216589861751152,0.9907834101382489,217,-0.009216589861751112
20,Liechtenstein,,2020-11-16,989,7,763,639,4,416,0.6572769953051644,0.009523809523809525,0.9904761904761905,420,-0.0003072196620583778
21,Liechtenstein,,2020-12-01,1286,16,1110,516,9,347,0.689922480620155,0.025280898876404494,0.9747191011235955,356,-0.01575708935259501
22,Liechtenstein,,2020-12-16,1600,21,1377,474,5,267,0.5738396624472574,0.01838235294117647,0.9816176470588235,272,0.006898545935227984
23,Liechtenstein,,2020-12-31,2136,39,1810,738,18,433,0.6111111111111112,0.03991130820399113,0.9600886917960089,451,-0.02152895526281462
24,Liechtenstein,,2021-01-15,2378,49,2264,529,10,454,0.8771266540642723,0.021551724137931036,0.978448275862069,464,0.018359584066060086
25,Liechtenstein,,2021-01-25,2454,52,2322,141,3,58,0.4326241134751773,0.04918032786885246,0.9508196721311475,61,-0.027628603730921464
