Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,Mali,,2020-04-05,45,5,1,45,5,1,0.13333333333333333,0.8333333333333334,0.16666666666666666,6,
6,Mali,,2020-04-20,246,14,56,240,9,55,0.26666666666666666,0.140625,0.859375,64,0.6927083333333334
7,Mali,,2020-05-05,612,32,228,542,18,172,0.3505535055350554,0.09473684210526316,0.9052631578947369,190,0.04588815789473688
8,Mali,,2020-05-20,931,55,543,671,23,315,0.503725782414307,0.06804733727810651,0.9319526627218935,338,0.026689504827156596
9,Mali,,2020-06-04,1461,85,806,863,30,263,0.33951332560834296,0.10238907849829351,0.8976109215017065,293,-0.03434174122018696
10,Mali,,2020-06-19,1923,108,1217,1032,23,411,0.42054263565891475,0.052995391705069124,0.9470046082949308,434,0.04939368679322431
11,Mali,,2020-07-04,2303,118,1516,978,10,299,0.3159509202453988,0.032362459546925564,0.9676375404530745,309,0.020632932158143658
12,Mali,,2020-07-19,2475,121,1828,841,3,312,0.3745541022592152,0.009523809523809525,0.9904761904761905,315,0.022838650023116025
13,Mali,,2020-08-03,2543,124,1943,594,3,115,0.19865319865319866,0.025423728813559324,0.9745762711864406,118,-0.015899919289749875
14,Mali,,2020-08-18,2666,125,1990,599,1,47,0.08013355592654424,0.020833333333333332,0.9791666666666666,48,0.004590395480225995
15,Mali,,2020-09-02,2802,126,2185,687,1,195,0.2852983988355167,0.00510204081632653,0.9948979591836735,196,0.01573129251700689
16,Mali,,2020-09-17,2966,128,2311,655,2,126,0.19541984732824427,0.015625,0.984375,128,-0.01052295918367352
17,Mali,,2020-10-02,3156,131,2467,717,3,156,0.2217573221757322,0.018867924528301886,0.9811320754716981,159,-0.0032429245283018826
18,Mali,,2020-10-17,3379,132,2570,781,1,103,0.13316261203585147,0.009615384615384616,0.9903846153846154,104,0.009252539912917301
19,Mali,,2020-11-01,3565,136,2758,863,4,188,0.22247972190034762,0.020833333333333332,0.9791666666666666,192,-0.011217948717948789
20,Mali,,2020-11-16,3948,141,2965,1054,5,207,0.20113851992409867,0.02358490566037736,0.9764150943396226,212,-0.0027515723270440384
21,Mali,,2020-12-01,4762,160,3241,1656,19,276,0.17814009661835747,0.06440677966101695,0.9355932203389831,295,-0.040821874000639524
22,Mali,,2020-12-16,5969,209,3702,2568,49,461,0.1985981308411215,0.09607843137254903,0.903921568627451,510,-0.03167165171153208
23,Mali,,2020-12-31,7090,269,4650,3179,60,948,0.31708084303240014,0.05952380952380952,0.9404761904761905,1008,0.03655462184873948
24,Mali,,2021-01-15,7800,308,5478,2881,39,828,0.3009371745921555,0.04498269896193772,0.9550173010380623,867,0.014541110561871795
25,Mali,,2021-01-30,8069,330,5937,2283,22,459,0.21068769163381515,0.04573804573804574,0.9542619542619543,481,-0.0007553467761080013
26,Mali,,2021-02-05,8145,336,6037,1878,6,100,0.05644302449414271,0.05660377358490566,0.9433962264150944,106,-0.010865727846859907
