Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Morocco,,2020-03-06,2,0,0,2,0,0,0.0,,,0,
4,Morocco,,2020-03-21,96,3,3,96,3,3,0.0625,0.5,0.5,6,
5,Morocco,,2020-04-05,1021,70,76,1015,67,73,0.13793103448275862,0.4785714285714286,0.5214285714285715,140,0.021428571428571463
6,Morocco,,2020-04-20,3046,143,350,2900,73,274,0.1196551724137931,0.21037463976945245,0.7896253602305475,347,0.26819678880197606
7,Morocco,,2020-05-05,5219,181,1838,4726,38,1488,0.3228946254760897,0.02490170380078637,0.9750982961992136,1526,0.1854729359686661
8,Morocco,,2020-05-20,7133,194,4098,5114,13,2260,0.44446617129448573,0.005719313682358117,0.9942806863176419,2273,0.01918239011842826
9,Morocco,,2020-06-04,8003,208,7195,3711,14,3097,0.8383185125303153,0.004500160720025715,0.9954998392799743,3111,0.001219152962332437
10,Morocco,,2020-06-19,9613,213,8117,2210,5,922,0.41945701357466064,0.005393743257820928,0.9946062567421791,927,-0.0008935825377952566
11,Morocco,,2020-07-04,13822,232,9329,5492,19,1212,0.2241442097596504,0.015434606011372868,0.9845653939886271,1231,-0.010040862753551982
12,Morocco,,2020-07-19,17236,273,14921,7675,41,5592,0.7339413680781759,0.007278537191549796,0.9927214628084502,5633,0.008156068819823115
13,Morocco,,2020-08-03,26196,401,18968,11002,128,4047,0.37947645882566805,0.03065868263473054,0.9693413173652694,4175,-0.02338014544318079
14,Morocco,,2020-08-18,44803,714,31002,25434,313,12034,0.48545254383895575,0.025350287519235442,0.9746497124807646,12347,0.00530839511549519
15,Morocco,,2020-09-02,65453,1216,50357,33737,502,19355,0.5885822687257314,0.025280757415520976,0.9747192425844791,19857,6.953010371446577e-05
16,Morocco,,2020-09-17,94504,1714,74930,42931,498,24573,0.5839836015932542,0.01986358741175063,0.9801364125882494,25071,0.005417170003770289
17,Morocco,,2020-10-02,128565,2263,106044,51921,549,31114,0.6098303191386915,0.017338849761551336,0.9826611502384487,31663,0.002524737650199338
18,Morocco,,2020-10-17,170911,2878,141381,62604,615,35337,0.5742764040636381,0.017106141522029373,0.9828938584779706,35952,0.0002327082395219282
19,Morocco,,2020-11-01,222544,3762,184313,78285,884,42932,0.5596985373954142,0.020175278437100604,0.9798247215628993,43816,-0.003069136915071269
20,Morocco,,2020-11-16,296189,4850,243359,108114,1088,59046,0.5562091865993304,0.01809292579904879,0.9819070742009512,60134,0.0020823526380518986
21,Morocco,,2020-12-01,359844,5915,310193,111635,1065,66834,0.6082232274824204,0.015685061635664736,0.9843149383643353,67899,0.0024078641633840103
22,Morocco,,2020-12-16,406970,6749,366835,90862,834,56642,0.6325636679800136,0.014510404342682163,0.9854895956573179,57476,0.001174657292982606
23,Morocco,,2020-12-31,439193,7388,407504,65609,639,40669,0.6296087427029828,0.01546915851651012,0.9845308414834899,41308,-0.0009587541738279581
24,Morocco,,2021-01-15,457625,7888,432576,42733,500,25072,0.5984134041607189,0.019552635695291726,0.9804473643047082,25572,-0.004083477178781658
25,Morocco,,2021-01-30,470691,8259,448628,30227,371,16052,0.543322195388229,0.022590269743652195,0.9774097302563478,16423,-0.003037634048360438
26,Morocco,,2021-02-14,478474,8477,458852,21587,218,10224,0.48371705192940195,0.020877226584945414,0.9791227734150546,10442,0.0017130431587067951
27,Morocco,,2021-03-01,483766,8637,469345,16437,160,10493,0.6481109691549553,0.015019243405613442,0.9849807565943866,10653,0.005857983179331949
28,Morocco,,2021-03-16,489622,8737,476727,11640,100,7382,0.6427835051546392,0.013365410318096765,0.9866345896819032,7482,0.001653833087516654
29,Morocco,,2021-03-31,496097,8818,483363,10633,81,6636,0.6317125928712499,0.01205895489057615,0.9879410451094238,6717,0.0013064554275206142
30,Morocco,,2021-04-09,500948,8885,487414,8767,67,4051,0.4697159803809741,0.016270033997085966,0.9837299660029141,4118,-0.004211079106509752
