Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
12,Netherlands,Friesland,2020-07-19,643,69,0,643,69,0,0.10730948678071539,1.0,0.0,69,
13,Netherlands,Friesland,2020-08-03,657,69,0,588,0,0,0.0,,,0,
14,Netherlands,Friesland,2020-08-18,755,69,0,686,0,0,0.0,,,0,
15,Netherlands,Friesland,2020-09-02,827,69,0,758,0,0,0.0,,,0,
16,Netherlands,Friesland,2020-09-17,962,69,0,893,0,0,0.0,,,0,
17,Netherlands,Friesland,2020-10-02,1783,69,0,1714,0,0,0.0,,,0,
18,Netherlands,Friesland,2020-10-17,3812,71,0,3743,2,0,0.0005343307507347048,1.0,0.0,2,
19,Netherlands,Friesland,2020-11-01,5895,86,0,5824,15,0,0.0025755494505494505,1.0,0.0,15,0.0
20,Netherlands,Friesland,2020-11-16,7257,104,0,7171,18,0,0.002510110165946172,1.0,0.0,18,0.0
21,Netherlands,Friesland,2020-11-28,8468,130,0,8364,26,0,0.0031085604973696795,1.0,0.0,26,0.0
