Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Peru,Ancash,2020-06-04,5048,702,0,5048,702,0,0.13906497622820918,1.0,0.0,702,
10,Peru,Ancash,2020-06-19,6877,1016,0,6175,314,0,0.050850202429149796,1.0,0.0,314,0.0
11,Peru,Ancash,2020-07-04,8510,1286,0,7494,270,0,0.036028823058446756,1.0,0.0,270,0.0
12,Peru,Ancash,2020-07-19,9926,1576,0,8640,290,0,0.03356481481481482,1.0,0.0,290,0.0
13,Peru,Ancash,2020-08-03,12565,1868,0,10989,292,0,0.02657202657202657,1.0,0.0,292,0.0
14,Peru,Ancash,2020-08-18,15409,2104,0,13541,236,0,0.017428550328631564,1.0,0.0,236,0.0
15,Peru,Ancash,2020-09-02,18605,2298,0,16501,194,0,0.011756863220410883,1.0,0.0,194,0.0
16,Peru,Ancash,2020-09-17,20824,2428,0,18526,130,0,0.007017165065313614,1.0,0.0,130,0.0
17,Peru,Ancash,2020-10-02,22934,2533,0,20506,105,0,0.005120452550473032,1.0,0.0,105,0.0
18,Peru,Ancash,2020-10-17,24568,2595,0,22035,62,0,0.002813705468572725,1.0,0.0,62,0.0
19,Peru,Ancash,2020-11-01,26237,2647,0,23642,52,0,0.0021994755096861516,1.0,0.0,52,0.0
20,Peru,Ancash,2020-11-16,27762,2701,0,25115,54,0,0.0021501094963169423,1.0,0.0,54,0.0
21,Peru,Ancash,2020-12-01,28748,2744,0,26047,43,0,0.001650861903482167,1.0,0.0,43,0.0
22,Peru,Ancash,2020-12-16,29666,2799,0,26922,55,0,0.0020429388604115595,1.0,0.0,55,0.0
23,Peru,Ancash,2020-12-31,30909,2879,0,28110,80,0,0.002845962290999644,1.0,0.0,80,0.0
24,Peru,Ancash,2021-01-15,33478,3010,0,30599,131,0,0.004281185659662081,1.0,0.0,131,0.0
25,Peru,Ancash,2021-01-30,36634,3245,0,33624,235,0,0.0069890554365929095,1.0,0.0,235,0.0
26,Peru,Ancash,2021-02-14,40348,3494,0,37103,249,0,0.006711047624181333,1.0,0.0,249,0.0
27,Peru,Ancash,2021-03-01,42507,3704,0,39013,210,0,0.005382821110911747,1.0,0.0,210,0.0
28,Peru,Ancash,2021-03-16,45226,3964,0,41522,260,0,0.006261740763932373,1.0,0.0,260,0.0
29,Peru,Ancash,2021-03-31,50871,4301,0,46907,337,0,0.007184428763297589,1.0,0.0,337,0.0
30,Peru,Ancash,2021-04-15,56276,4778,0,51975,477,0,0.009177489177489178,1.0,0.0,477,0.0
31,Peru,Ancash,2021-04-30,62806,5377,0,58028,599,0,0.010322602881367616,1.0,0.0,599,0.0
32,Peru,Ancash,2021-05-15,66090,5815,0,60713,438,0,0.007214270419844185,1.0,0.0,438,0.0
33,Peru,Ancash,2021-05-30,69291,6157,0,63476,342,0,0.005387863129371731,1.0,0.0,342,0.0
34,Peru,Ancash,2021-06-14,71388,6342,0,65231,185,0,0.0028360748723766306,1.0,0.0,185,0.0
35,Peru,Ancash,2021-06-29,72252,6394,0,65910,52,0,0.0007889546351084812,1.0,0.0,52,0.0
36,Peru,Ancash,2021-07-14,73902,6501,0,67508,107,0,0.0015849973336493452,1.0,0.0,107,0.0
37,Peru,Ancash,2021-07-26,74582,6536,0,68081,35,0,0.0005140935062645966,1.0,0.0,35,0.0
