Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Russia,Amur Oblast,2020-06-04,588,5,216,588,5,216,0.3758503401360544,0.02262443438914027,0.9773755656108597,221,
10,Russia,Amur Oblast,2020-06-19,1230,7,491,1009,2,275,0.2745292368681863,0.007220216606498195,0.9927797833935018,277,0.015404217782642116
11,Russia,Amur Oblast,2020-07-04,1826,13,920,1328,6,429,0.32756024096385544,0.013793103448275862,0.9862068965517241,435,-0.006572886841777703
12,Russia,Amur Oblast,2020-07-19,2393,33,1456,1460,20,536,0.38082191780821917,0.03597122302158273,0.9640287769784173,556,-0.022178119573306843
13,Russia,Amur Oblast,2020-08-03,2824,47,2054,1335,14,598,0.4584269662921348,0.02287581699346405,0.9771241830065359,612,0.01309540602811865
14,Russia,Amur Oblast,2020-08-18,3098,47,2678,997,0,624,0.6258776328986961,0.0,1.0,624,0.022875816993464082
15,Russia,Amur Oblast,2020-09-02,3449,47,3068,724,0,390,0.5386740331491713,0.0,1.0,390,0.0
16,Russia,Amur Oblast,2020-09-17,3895,50,3455,780,3,387,0.5,0.007692307692307693,0.9923076923076923,390,-0.007692307692307665
17,Russia,Amur Oblast,2020-10-02,4362,52,3900,857,2,445,0.5215869311551925,0.0044742729306487695,0.9955257270693513,447,0.003218034761658939
18,Russia,Amur Oblast,2020-10-17,5133,60,4596,1181,8,696,0.5961049957662997,0.011363636363636364,0.9886363636363636,704,-0.006889363432987627
19,Russia,Amur Oblast,2020-11-01,6747,63,5701,2091,3,1105,0.5298900047824008,0.002707581227436823,0.9972924187725631,1108,0.008656055136199492
20,Russia,Amur Oblast,2020-11-16,9198,74,6714,3434,11,1013,0.29819452533488644,0.0107421875,0.9892578125,1024,-0.008034606272563138
21,Russia,Amur Oblast,2020-12-01,11536,98,8720,4748,24,2006,0.42754844144903115,0.011822660098522168,0.9881773399014778,2030,-0.0010804725985221753
22,Russia,Amur Oblast,2020-12-16,13763,105,12238,4945,7,3518,0.7128412537917088,0.0019858156028368795,0.9980141843971632,3525,0.009836844495685337
23,Russia,Amur Oblast,2020-12-31,15866,105,14263,3523,0,2025,0.5747942094805564,0.0,1.0,2025,0.001985815602836838
24,Russia,Amur Oblast,2021-01-15,17736,106,15818,3368,1,1555,0.46199524940617576,0.0006426735218508997,0.9993573264781491,1556,-0.0006426735218508783
25,Russia,Amur Oblast,2021-01-30,19396,140,17696,3472,34,1878,0.5506912442396313,0.01778242677824268,0.9822175732217573,1912,-0.017139753256391832
26,Russia,Amur Oblast,2021-02-06,19986,142,18327,2150,2,631,0.29441860465116276,0.00315955766192733,0.9968404423380727,633,0.014622869116315385
