Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Russia,Bashkortostan Republic,2020-06-04,3608,18,1249,3608,18,1249,0.3511640798226164,0.014206787687450671,0.9857932123125493,1267,
10,Russia,Bashkortostan Republic,2020-06-19,4792,18,2267,3525,0,1018,0.28879432624113477,0.0,1.0,1018,0.01420678768745065
11,Russia,Bashkortostan Republic,2020-07-04,5543,19,3261,3258,1,994,0.30540208717004297,0.0010050251256281408,0.9989949748743718,995,-0.0010050251256281673
12,Russia,Bashkortostan Republic,2020-07-19,6307,20,4630,3027,1,1369,0.4525933267261315,0.00072992700729927,0.9992700729927008,1370,0.0002750981183289314
13,Russia,Bashkortostan Republic,2020-08-03,6851,23,5209,2201,3,579,0.2644252612448887,0.005154639175257732,0.9948453608247423,582,-0.004424712167958478
14,Russia,Bashkortostan Republic,2020-08-18,7367,26,6491,2135,3,1282,0.6018735362997658,0.0023346303501945525,0.9976653696498055,1285,0.0028200088250631694
15,Russia,Bashkortostan Republic,2020-09-02,7856,29,6918,1339,3,427,0.32113517550410753,0.0069767441860465115,0.9930232558139535,430,-0.004642113835852002
16,Russia,Bashkortostan Republic,2020-09-17,8317,31,8010,1370,2,1092,0.7985401459854015,0.0018281535648994515,0.9981718464351006,1094,0.005148590621147142
17,Russia,Bashkortostan Republic,2020-10-02,8873,41,8551,832,10,541,0.6622596153846154,0.018148820326678767,0.9818511796733213,551,-0.016320666761779345
18,Russia,Bashkortostan Republic,2020-10-17,9670,47,8647,1078,6,96,0.09461966604823747,0.058823529411764705,0.9411764705882353,102,-0.04067470908508597
19,Russia,Bashkortostan Republic,2020-11-01,10863,54,9876,2169,7,1229,0.5698478561549101,0.0056634304207119745,0.9943365695792881,1236,0.053160098991052784
20,Russia,Bashkortostan Republic,2020-11-16,12444,68,11151,2514,14,1275,0.5127287191726333,0.010861132660977503,0.9891388673390225,1289,-0.0051977022402656115
21,Russia,Bashkortostan Republic,2020-12-01,14406,83,12009,3187,15,858,0.2739253216190775,0.01718213058419244,0.9828178694158075,873,-0.006320997923214944
22,Russia,Bashkortostan Republic,2020-12-16,16629,111,13372,4537,28,1363,0.30659025787965616,0.020129403306973402,0.9798705966930266,1391,-0.002947272722780947
23,Russia,Bashkortostan Republic,2020-12-31,19064,142,14958,5581,31,1586,0.28973302275577856,0.0191713048855906,0.9808286951144094,1617,0.0009580984213828359
24,Russia,Bashkortostan Republic,2021-01-15,21569,162,16188,6469,20,1230,0.19322924717885298,0.016,0.984,1250,0.0031713048855905868
25,Russia,Bashkortostan Republic,2021-01-30,24080,184,18234,7730,22,2046,0.26752910737386804,0.010638297872340425,0.9893617021276596,2068,0.005361702127659629
26,Russia,Bashkortostan Republic,2021-02-14,26532,228,20552,8114,44,2318,0.2911017993591324,0.018628281117696866,0.9813717188823031,2362,-0.007989983245356491
27,Russia,Bashkortostan Republic,2021-03-01,28719,277,23007,7939,49,2455,0.3154049628416677,0.019568690095846646,0.9804313099041534,2504,-0.0009404089781497316
28,Russia,Bashkortostan Republic,2021-03-16,30679,319,24992,7395,42,1985,0.27410412440838405,0.020720276270350273,0.9792797237296498,2027,-0.001151586174503616
29,Russia,Bashkortostan Republic,2021-03-31,32358,361,27452,7047,42,2460,0.3550446998722861,0.016786570743405275,0.9832134292565947,2502,0.003933705526944942
30,Russia,Bashkortostan Republic,2021-04-15,33904,409,30280,6091,48,2828,0.4721720571334756,0.016689847009735744,0.9833101529902643,2876,9.67237336695348e-05
31,Russia,Bashkortostan Republic,2021-04-30,35375,448,32956,4686,39,2676,0.5793854033290653,0.014364640883977901,0.9856353591160221,2715,0.002325206125757817
32,Russia,Bashkortostan Republic,2021-05-15,36768,485,34417,3364,37,1461,0.44530321046373367,0.024699599465954607,0.9753004005340454,1498,-0.010334958581976639
33,Russia,Bashkortostan Republic,2021-05-30,38111,521,36059,3209,36,1642,0.5229043315674665,0.021454112038140644,0.9785458879618594,1678,0.0032454874278139423
34,Russia,Bashkortostan Republic,2021-06-14,39469,542,37353,2889,21,1294,0.4551748009691935,0.01596958174904943,0.9840304182509506,1315,0.005484530289091238
35,Russia,Bashkortostan Republic,2021-06-29,41196,591,38638,3301,49,1285,0.40411996364737957,0.03673163418290855,0.9632683658170914,1334,-0.0207620524338592
36,Russia,Bashkortostan Republic,2021-07-09,42936,640,40190,3707,49,1552,0.431885621796601,0.030605871330418487,0.9693941286695815,1601,0.006125762852490113
