Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Russia,Belgorod Oblast,2020-06-04,2624,22,1151,2624,22,1151,0.44702743902439024,0.01875532821824382,0.9812446717817562,1173,
10,Russia,Belgorod Oblast,2020-06-19,3747,38,2596,2574,16,1445,0.5675990675990676,0.010951403148528405,0.9890485968514716,1461,0.0078039250697153895
11,Russia,Belgorod Oblast,2020-07-04,4749,42,3942,2115,4,1346,0.6382978723404256,0.002962962962962963,0.997037037037037,1350,0.007988440185565437
12,Russia,Belgorod Oblast,2020-07-19,5441,43,5004,1457,1,1062,0.7295813315030886,0.0009407337723424271,0.9990592662276576,1063,0.0020222291906205614
13,Russia,Belgorod Oblast,2020-08-03,6083,47,5567,1036,4,563,0.5472972972972973,0.007054673721340388,0.9929453262786596,567,-0.006113939948998004
14,Russia,Belgorod Oblast,2020-08-18,6807,51,5927,1193,4,360,0.30511316010058676,0.01098901098901099,0.989010989010989,364,-0.003934337267670562
15,Russia,Belgorod Oblast,2020-09-02,7449,53,6776,1471,2,849,0.5785180149558123,0.0023501762632197414,0.9976498237367802,851,0.008638834725791189
16,Russia,Belgorod Oblast,2020-09-17,8103,57,7512,1274,4,736,0.5808477237048666,0.005405405405405406,0.9945945945945946,740,-0.0030552291421855893
17,Russia,Belgorod Oblast,2020-10-02,9000,58,8075,1431,1,563,0.3941299790356394,0.0017730496453900709,0.99822695035461,564,0.0036323557600153045
18,Russia,Belgorod Oblast,2020-10-17,10176,59,8845,2043,1,770,0.37738619676945667,0.0012970168612191958,0.9987029831387808,771,0.0004760327841708545
19,Russia,Belgorod Oblast,2020-11-01,11694,61,10255,2790,2,1410,0.5060931899641578,0.00141643059490085,0.9985835694050992,1412,-0.00011941373368162811
20,Russia,Belgorod Oblast,2020-11-16,13882,64,11979,3566,3,1724,0.484296130117779,0.0017371163867979154,0.998262883613202,1727,-0.0003206857918971462
21,Russia,Belgorod Oblast,2020-12-01,16377,89,14595,4334,25,2616,0.6093677895708353,0.00946611132146914,0.9905338886785309,2641,-0.007728994934671163
22,Russia,Belgorod Oblast,2020-12-16,19059,174,16952,4375,85,2357,0.5581714285714285,0.03480753480753481,0.9651924651924652,2442,-0.025341423486065717
23,Russia,Belgorod Oblast,2020-12-31,21817,258,19973,4691,84,3021,0.6619057770198252,0.02705314009661836,0.9729468599033816,3105,0.007754394710916435
24,Russia,Belgorod Oblast,2021-01-11,23867,282,21050,3636,24,1077,0.3028052805280528,0.021798365122615803,0.9782016348773842,1101,0.005254774974002618
