Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Russia,Krasnodar Krai,2020-06-04,4148,40,3006,4148,40,3006,0.7343297974927676,0.013131976362442548,0.9868680236375574,3046,
10,Russia,Krasnodar Krai,2020-06-19,5316,57,4041,2270,17,1035,0.46343612334801765,0.016159695817490494,0.9838403041825095,1052,-0.0030277194550479836
11,Russia,Krasnodar Krai,2020-07-04,6218,81,4978,2120,24,937,0.4533018867924528,0.02497398543184183,0.9750260145681582,961,-0.008814289614351267
12,Russia,Krasnodar Krai,2020-07-19,7190,96,6129,2131,15,1151,0.5471609572970436,0.012864493996569469,0.9871355060034306,1166,0.012109491435272401
13,Russia,Krasnodar Krai,2020-08-03,8585,117,7353,2360,21,1224,0.527542372881356,0.016867469879518072,0.983132530120482,1245,-0.004002975882948623
14,Russia,Krasnodar Krai,2020-08-18,10075,145,8488,2605,28,1135,0.44644913627639154,0.02407566638005159,0.9759243336199485,1163,-0.007208196500533504
15,Russia,Krasnodar Krai,2020-09-02,11382,187,9377,2749,42,889,0.3386686067660968,0.045112781954887216,0.9548872180451128,931,-0.021037115574835674
16,Russia,Krasnodar Krai,2020-09-17,12751,231,10069,3187,44,692,0.23093818638217758,0.059782608695652176,0.9402173913043478,736,-0.014669826740765002
17,Russia,Krasnodar Krai,2020-10-02,14184,287,10590,3884,56,521,0.14855818743563337,0.09705372616984402,0.902946273830156,577,-0.03727111747419176
18,Russia,Krasnodar Krai,2020-10-17,15701,343,11098,4824,56,508,0.11691542288557213,0.09929078014184398,0.900709219858156,564,-0.002237053972000025
19,Russia,Krasnodar Krai,2020-11-01,17531,428,11710,6090,85,612,0.11444991789819375,0.12195121951219512,0.8780487804878049,697,-0.022660439370351115
20,Russia,Krasnodar Krai,2020-11-16,19708,511,12532,7570,83,822,0.11955085865257596,0.09171270718232044,0.9082872928176795,905,0.030238512329874623
21,Russia,Krasnodar Krai,2020-12-01,22252,606,15155,9209,95,2623,0.29514605277445977,0.03495217071376012,0.9650478292862399,2718,0.056760536468560385
22,Russia,Krasnodar Krai,2020-12-16,24922,737,16845,9161,131,1690,0.19877742604519158,0.07193849533223504,0.9280615046677649,1821,-0.03698632461847495
23,Russia,Krasnodar Krai,2020-12-31,27729,930,18667,10147,193,1822,0.1985808613383266,0.09578163771712159,0.9042183622828784,2015,-0.023843142384886495
24,Russia,Krasnodar Krai,2021-01-01,27922,946,18783,8325,16,116,0.015855855855855857,0.12121212121212122,0.8787878787878788,132,-0.025430483494999656
