Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Russia,Kursk Oblast,2020-06-04,3272,15,1596,3272,15,1596,0.49235941320293397,0.00931098696461825,0.9906890130353817,1611,
10,Russia,Kursk Oblast,2020-06-19,4333,25,2510,2722,10,914,0.33945628214548124,0.010822510822510822,0.9891774891774892,924,-0.0015115238578925494
11,Russia,Kursk Oblast,2020-07-04,5294,39,3405,2759,14,895,0.32946719826023924,0.015401540154015401,0.9845984598459846,909,-0.004579029331504558
12,Russia,Kursk Oblast,2020-07-19,5861,49,4132,2417,10,727,0.3049234588332644,0.013568521031207599,0.9864314789687924,737,0.0018330191228077553
13,Russia,Kursk Oblast,2020-08-03,6294,50,4809,2113,1,677,0.3208707998106957,0.0014749262536873156,0.9985250737463127,678,0.012093594777520367
14,Russia,Kursk Oblast,2020-08-18,6711,51,5570,1852,1,761,0.4114470842332613,0.0013123359580052493,0.9986876640419947,762,0.0001625902956819969
15,Russia,Kursk Oblast,2020-09-02,7177,53,6099,1556,2,529,0.3412596401028278,0.003766478342749529,0.9962335216572504,531,-0.0024541423847442845
16,Russia,Kursk Oblast,2020-09-17,7618,56,6454,1466,3,355,0.24420190995907232,0.008379888268156424,0.9916201117318436,358,-0.0046134099254068195
17,Russia,Kursk Oblast,2020-10-02,8209,57,6802,1699,1,348,0.20541494997057091,0.0028653295128939827,0.997134670487106,349,0.005514558755262411
18,Russia,Kursk Oblast,2020-10-17,9369,65,7240,2510,8,438,0.17768924302788844,0.017937219730941704,0.9820627802690582,446,-0.015071890218047779
19,Russia,Kursk Oblast,2020-11-01,11025,100,8193,3720,35,953,0.26559139784946234,0.0354251012145749,0.9645748987854251,988,-0.017487881483633116
20,Russia,Kursk Oblast,2020-11-16,13123,149,9809,4830,49,1616,0.3447204968944099,0.02942942942942943,0.9705705705705706,1665,0.005995671785145484
21,Russia,Kursk Oblast,2020-12-01,15445,199,13053,5487,50,3244,0.6003280481137233,0.015179113539769277,0.9848208864602307,3294,0.014250315889660081
22,Russia,Kursk Oblast,2020-12-16,18046,250,16281,4794,51,3228,0.6839799749687109,0.01555352241537054,0.9844464775846294,3279,-0.0003744088756012509
23,Russia,Kursk Oblast,2020-12-24,19514,280,17689,2983,30,1408,0.48206503519946364,0.02086230876216968,0.9791376912378303,1438,-0.005308786346799099
