Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Russia,Saratov Oblast,2020-06-04,3457,35,1361,3457,35,1361,0.40381833960080993,0.025071633237822348,0.9749283667621776,1396,
10,Russia,Saratov Oblast,2020-06-19,5217,40,2507,3821,5,1146,0.30123004449097096,0.004344048653344918,0.9956559513466551,1151,0.020727584584477432
11,Russia,Saratov Oblast,2020-07-04,6844,45,3748,4297,5,1241,0.28996974633465206,0.0040128410914927765,0.9959871589085072,1246,0.0003312075618521204
12,Russia,Saratov Oblast,2020-07-19,8256,51,4721,4463,6,973,0.21935917544252745,0.006128702757916241,0.9938712972420838,979,-0.002115861666423413
13,Russia,Saratov Oblast,2020-08-03,9691,60,5848,4919,9,1127,0.23094124822118317,0.007922535211267605,0.9920774647887324,1136,-0.0017938324533514072
14,Russia,Saratov Oblast,2020-08-18,11116,67,6949,5208,7,1101,0.21274961597542244,0.00631768953068592,0.9936823104693141,1108,0.0016048456805817235
15,Russia,Saratov Oblast,2020-09-02,12550,76,8116,5534,9,1167,0.21250451752800867,0.007653061224489796,0.9923469387755102,1176,-0.0013353716938039328
16,Russia,Saratov Oblast,2020-09-17,14115,89,9269,5923,13,1153,0.19685969947661658,0.011149228130360206,0.9888507718696398,1166,-0.0034961669058704015
17,Russia,Saratov Oblast,2020-10-02,15742,107,10630,6384,18,1361,0.21600877192982457,0.01305293691080493,0.9869470630891951,1379,-0.0019037087804446573
18,Russia,Saratov Oblast,2020-10-17,17919,134,12110,7182,27,1480,0.20983013088276245,0.017916390179163903,0.9820836098208361,1507,-0.004863453268359019
19,Russia,Saratov Oblast,2020-11-01,20706,156,13980,8462,22,1870,0.22358780430158354,0.011627906976744186,0.9883720930232558,1892,0.0062884832024197035
20,Russia,Saratov Oblast,2020-11-16,23785,191,16762,9649,35,2782,0.291947352057208,0.012424565140220093,0.9875754348597799,2817,-0.0007966581634758496
21,Russia,Saratov Oblast,2020-12-01,27412,244,23264,10459,53,6502,0.6267329572616885,0.008085430968726163,0.9919145690312738,6555,0.004339134171493897
22,Russia,Saratov Oblast,2020-12-16,31300,328,26533,7792,84,3269,0.4303131416837782,0.025052192066805846,0.9749478079331941,3353,-0.016966761098079708
23,Russia,Saratov Oblast,2020-12-31,35328,416,30253,8467,88,3720,0.4497460729892524,0.023109243697478993,0.976890756302521,3808,0.0019429483693268468
24,Russia,Saratov Oblast,2021-01-15,39195,465,33639,8526,49,3386,0.4028852920478536,0.014264919941775837,0.9857350800582242,3435,0.00884432375570321
25,Russia,Saratov Oblast,2021-01-30,42951,537,37560,8847,72,3921,0.4513394370973211,0.018031555221637866,0.9819684447783621,3993,-0.003766635279862096
26,Russia,Saratov Oblast,2021-02-14,46530,601,41384,8433,64,3824,0.4610458911419424,0.01646090534979424,0.9835390946502057,3888,0.0015706498718436324
27,Russia,Saratov Oblast,2021-03-01,49705,644,44877,7720,43,3493,0.45803108808290155,0.012160633484162896,0.9878393665158371,3536,0.004300271865631422
28,Russia,Saratov Oblast,2021-03-16,52370,729,47149,6849,85,2272,0.3441378303401956,0.03606279168434451,0.9639372083156555,2357,-0.0239021582001816
29,Russia,Saratov Oblast,2021-03-31,54784,815,49483,6906,86,2334,0.3504199247031567,0.03553719008264463,0.9644628099173553,2420,0.0005256016016997878
30,Russia,Saratov Oblast,2021-04-15,56982,883,51556,6684,68,2073,0.3203171753441053,0.031760859411489956,0.96823914058851,2141,0.003776330671154682
31,Russia,Saratov Oblast,2021-04-30,59010,936,53535,6571,53,1979,0.3092375589712373,0.02608267716535433,0.9739173228346457,2032,0.005678182246135699
32,Russia,Saratov Oblast,2021-05-15,60869,999,56017,6398,63,2482,0.39778055642388244,0.02475442043222004,0.9752455795677799,2545,0.0013282567331341921
33,Russia,Saratov Oblast,2021-05-30,62614,1080,59362,5598,81,3345,0.6120042872454448,0.023642732049036778,0.9763572679509632,3426,0.001111688383183318
34,Russia,Saratov Oblast,2021-06-14,64261,1182,61320,3819,102,1958,0.5394082220476565,0.04951456310679612,0.9504854368932039,2060,-0.025871831057759365
35,Russia,Saratov Oblast,2021-06-29,66108,1314,62858,3606,132,1538,0.4631170271769273,0.07904191616766468,0.9209580838323354,1670,-0.02952735306086851
