Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,US,Arkansas,2020-04-20,1973,41,749,1973,41,749,0.4004054738976178,0.05189873417721519,0.9481012658227848,790,
7,US,Arkansas,2020-05-05,3525,83,2041,2735,42,1292,0.4877513711151737,0.031484257871064465,0.9685157421289355,1334,0.020414476306150786
8,US,Arkansas,2020-05-20,5003,107,3852,2879,24,1811,0.6373740882250781,0.013079019073569483,0.9869209809264305,1835,0.018405238797495005
9,US,Arkansas,2020-06-04,8425,151,5717,4466,44,1865,0.42745185848634126,0.023048716605552647,0.9769512833944474,1909,-0.00996969753198318
10,US,Arkansas,2020-06-19,14631,214,9712,8763,63,3995,0.463083418920461,0.015524889107934944,0.9844751108920651,4058,0.007523827497617708
11,US,Arkansas,2020-07-04,23209,286,16726,13283,72,7014,0.5334638259429346,0.010160880609652836,0.9898391193903472,7086,0.0053640084982821135
12,US,Arkansas,2020-07-19,33228,357,25292,16216,71,8566,0.5326221016280217,0.008220446914437884,0.9917795530855621,8637,0.0019404336952149048
13,US,Arkansas,2020-08-03,44597,475,37240,18948,118,11948,0.636795440151995,0.009779545831261395,0.9902204541687386,12066,-0.001559098916823487
14,US,Arkansas,2020-08-18,53487,619,46970,15772,144,9730,0.6260461577479077,0.014583755316994126,0.9854162446830059,9874,-0.00480420948573268
15,US,Arkansas,2020-09-02,62112,841,56261,14523,222,9291,0.6550299524891552,0.023336486912645855,0.9766635130873541,9513,-0.00875273159565182
16,US,Arkansas,2020-09-17,73211,1166,64145,16109,325,7884,0.5095909119125954,0.03959069314167377,0.9604093068583263,8209,-0.016254206229027846
17,US,Arkansas,2020-10-02,85779,1391,76186,20468,225,12041,0.5992769200703537,0.018343388227621066,0.981656611772379,12266,0.02124730491405269
18,US,Arkansas,2020-10-17,98422,1684,87920,20845,293,11734,0.5769728951786999,0.02436185249854494,0.975638147501455,12027,-0.006018464270923896
19,US,Arkansas,2020-11-01,113057,1958,100067,23453,274,12147,0.5296124163220057,0.022059415505997906,0.9779405844940021,12421,0.0023024369925470634
20,US,Arkansas,2020-11-16,134348,2225,115625,32323,267,15558,0.48958945642421803,0.016872037914691943,0.9831279620853081,15825,0.005187377591305942
21,US,Arkansas,2020-12-01,159309,2512,140682,41459,287,25057,0.6113027328203767,0.011324179292929292,0.9886758207070707,25344,0.005547858621762658
22,US,Arkansas,2020-12-16,191504,3074,167631,48310,562,26949,0.5694680190436763,0.02042819235941987,0.9795718076405802,27511,-0.009104013066490557
23,US,Arkansas,2020-12-25,213267,3438,186425,42562,364,18794,0.4501198251961844,0.018999895604969202,0.9810001043950308,19158,0.0014282967544506642
