Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,US,Puerto Rico,2020-04-20,1252,63,,1252,63,,,,,,
7,US,Puerto Rico,2020-05-05,1924,99,,,36,,,,,,
8,US,Puerto Rico,2020-05-20,2866,125,,,26,,,,,,
9,US,Puerto Rico,2020-06-04,4508,140,,,15,,,,,,
10,US,Puerto Rico,2020-06-19,6195,147,,,7,,,,,,
11,US,Puerto Rico,2020-07-04,7787,155,,,8,,,,,,
12,US,Puerto Rico,2020-07-19,12063,178,,,23,,,,,,
13,US,Puerto Rico,2020-08-03,18791,230,,,52,,,,,,
14,US,Puerto Rico,2020-08-18,27713,346,,,116,,,,,,
15,US,Puerto Rico,2020-09-02,34003,443,,,97,,,,,,
16,US,Puerto Rico,2020-09-17,38867,588,,,145,,,,,,
17,US,Puerto Rico,2020-10-02,49747,673,,,85,,,,,,
18,US,Puerto Rico,2020-10-17,56650,761,25645,,88,,,,,,
19,US,Puerto Rico,2020-11-01,66661,832,29903,40255,71,4258,0.10753943609489504,0.0164010164010164,0.9835989835989836,4329,
20,US,Puerto Rico,2020-11-16,43016,942,35461,12281,110,5558,0.4615259343701653,0.019407198306280876,0.9805928016937191,5668,-0.003006181905264471
21,US,Puerto Rico,2020-11-30,52545,1106,43123,16142,164,7662,0.48482220294882916,0.02095578839764886,0.9790442116023511,7826,-0.001548590091367985
