Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,US,Washington,2020-04-20,12114,709,,12114,709,,,,,,
7,US,Washington,2020-05-05,15594,898,,,189,,,,,,
8,US,Washington,2020-05-20,18971,1052,,,154,,,,,,
9,US,Washington,2020-06-04,23024,1150,,,98,,,,,,
10,US,Washington,2020-06-19,28225,1239,,,89,,,,,,
11,US,Washington,2020-07-04,35902,1335,,,96,,,,,,
12,US,Washington,2020-07-19,47751,1457,,,122,,,,,,
13,US,Washington,2020-08-03,59447,1638,,,181,,,,,,
14,US,Washington,2020-08-18,68922,1816,,,178,,,,,,
15,US,Washington,2020-09-02,76537,1924,,,108,,,,,,
16,US,Washington,2020-09-17,82610,2013,,,89,,,,,,
17,US,Washington,2020-10-02,90821,2117,,,104,,,,,,
18,US,Washington,2020-10-17,100105,2211,,,94,,,,,,
19,US,Washington,2020-11-01,111848,2353,,,142,,,,,,
20,US,Washington,2020-11-16,137561,2520,,,167,,,,,,
21,US,Washington,2020-12-01,175033,2783,,,263,,,,,,
22,US,Washington,2020-12-16,214265,3042,,,259,,,,,,
23,US,Washington,2020-12-31,246752,3461,,,419,,,,,,
24,US,Washington,2021-01-15,285970,3903,,,442,,,,,,
25,US,Washington,2021-01-30,311597,4285,,,382,,,,,,
26,US,Washington,2021-02-14,328047,4675,,,390,,,,,,
27,US,Washington,2021-02-19,332904,4822,,,147,,,,,,
