Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,Ukraine,Sumy Oblast,2020-06-04,177,4,147,177,4,147,0.8531073446327684,0.026490066225165563,0.9735099337748344,151,
10,Ukraine,Sumy Oblast,2020-06-19,246,5,178,95,1,31,0.3368421052631579,0.03125,0.96875,32,-0.004759933774834413
11,Ukraine,Sumy Oblast,2020-07-04,308,5,247,125,0,69,0.552,0.0,1.0,69,0.03125
12,Ukraine,Sumy Oblast,2020-07-19,370,6,307,118,1,60,0.5169491525423728,0.01639344262295082,0.9836065573770492,61,-0.016393442622950838
13,Ukraine,Sumy Oblast,2020-08-03,541,8,351,228,2,44,0.20175438596491227,0.043478260869565216,0.9565217391304348,46,-0.02708481824661435
14,Ukraine,Sumy Oblast,2020-08-18,966,15,494,607,7,143,0.2471169686985173,0.04666666666666667,0.9533333333333334,150,-0.0031884057971014457
15,Ukraine,Sumy Oblast,2020-09-02,1571,25,734,1062,10,240,0.23540489642184556,0.04,0.96,250,0.006666666666666599
16,Ukraine,Sumy Oblast,2020-09-17,2724,42,1209,1965,17,475,0.250381679389313,0.034552845528455285,0.9654471544715447,492,0.005447154471544757
17,Ukraine,Sumy Oblast,2020-10-02,4677,77,1848,3426,35,639,0.19673088149445417,0.05192878338278932,0.9480712166172107,674,-0.017375937854334
18,Ukraine,Sumy Oblast,2020-10-17,8524,122,2656,6599,45,808,0.12926200939536292,0.05275498241500586,0.9472450175849941,853,-0.0008261990322165902
19,Ukraine,Sumy Oblast,2020-11-01,11924,190,4186,9146,68,1530,0.17472118959107807,0.0425531914893617,0.9574468085106383,1598,0.010201790925644216
20,Ukraine,Sumy Oblast,2020-11-16,18324,262,6816,13948,72,2630,0.1937195296816748,0.026646928201332347,0.9733530717986677,2702,0.015906263288029354
21,Ukraine,Sumy Oblast,2020-12-01,29627,371,11120,22549,109,4304,0.1957071267018493,0.024699750736460458,0.9753002492635395,4413,0.0019471774648718299
22,Ukraine,Sumy Oblast,2020-12-16,36251,465,26219,24760,94,15099,0.6136106623586429,0.006187059830184954,0.993812940169815,15193,0.018512690906275497
23,Ukraine,Sumy Oblast,2020-12-31,40642,527,34186,13958,62,7967,0.5752256770310933,0.007722007722007722,0.9922779922779923,8029,-0.0015349478918227355
24,Ukraine,Sumy Oblast,2021-01-15,43839,572,38664,9126,45,4478,0.4956169186938418,0.009949148795047534,0.9900508512049525,4523,-0.0022271410730397845
25,Ukraine,Sumy Oblast,2021-01-30,45737,617,42340,6501,45,3676,0.5723734810029226,0.01209352324643913,0.9879064767535609,3721,-0.002144374451391595
26,Ukraine,Sumy Oblast,2021-02-14,47008,641,44325,4051,24,1985,0.4959269316218218,0.011946241911398706,0.9880537580886013,2009,0.00014728133504038343
27,Ukraine,Sumy Oblast,2021-02-23,47806,660,45226,2840,19,901,0.323943661971831,0.020652173913043477,0.9793478260869565,920,-0.008705932001644823
