Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
1,United Arab Emirates,,2020-02-05,5,0,0,5,0,0,0.0,,,0,
2,United Arab Emirates,,2020-02-20,9,0,4,9,0,4,0.4444444444444444,0.0,1.0,4,
3,United Arab Emirates,,2020-03-06,29,0,5,25,0,1,0.04,0.0,1.0,1,0.0
4,United Arab Emirates,,2020-03-21,153,2,38,148,2,33,0.23648648648648649,0.05714285714285714,0.9428571428571428,35,-0.05714285714285716
5,United Arab Emirates,,2020-04-05,1799,10,144,1759,8,106,0.0648095508811825,0.07017543859649122,0.9298245614035088,114,-0.013032581453634062
6,United Arab Emirates,,2020-04-20,7265,43,1360,7111,33,1216,0.1756433694276473,0.02642113690952762,0.9735788630904724,1249,0.04375430168696359
7,United Arab Emirates,,2020-05-05,15192,146,3153,13789,103,1793,0.1375009065196896,0.054324894514767935,0.945675105485232,1896,-0.02790375760524033
8,United Arab Emirates,,2020-05-20,26004,233,11809,22705,87,8656,0.385069367980621,0.009950817797094818,0.9900491822029052,8743,0.04437407671767313
9,United Arab Emirates,,2020-06-04,37018,273,19572,24976,40,7763,0.31241992312620115,0.005126233499935922,0.9948737665000641,7803,0.004824584297158929
10,United Arab Emirates,,2020-06-19,44145,300,30996,24300,27,11424,0.4712345679012346,0.002357872674875557,0.9976421273251245,11451,0.0027683608250603786
11,United Arab Emirates,,2020-07-04,50857,321,39857,19561,21,8861,0.45406676550278613,0.0023643323575771222,0.9976356676424228,8882,-6.459682701631664e-06
12,United Arab Emirates,,2020-07-19,56922,339,49269,16744,18,9412,0.5631868131868132,0.0019088016967126194,0.9980911983032874,9430,0.00045553066086456706
13,United Arab Emirates,,2020-08-03,61163,351,54863,11555,12,5594,0.48515794028559067,0.0021405636817695326,0.9978594363182305,5606,-0.00023176198505692192
14,United Arab Emirates,,2020-08-18,64906,366,57909,9692,15,3046,0.31582748658687576,0.004900359359686377,0.9950996406403136,3061,-0.002759795677916843
15,United Arab Emirates,,2020-09-02,71540,387,62029,13265,21,4120,0.3121748963437618,0.005071238831200193,0.9949287611687998,4141,-0.00017087947151384064
16,United Arab Emirates,,2020-09-17,82568,402,72117,20152,15,10088,0.5013398173878523,0.0014847075126200138,0.99851529248738,10103,0.0035865313185802217
17,United Arab Emirates,,2020-10-02,96529,424,86071,24010,22,13954,0.5820907955018743,0.0015741270749856898,0.9984258729250143,13976,-8.941956236574455e-05
18,United Arab Emirates,,2020-10-17,114387,459,106354,27892,35,20283,0.728452602896888,0.0017226104931587754,0.9982773895068412,20318,-0.0001484834181730843
19,United Arab Emirates,,2020-11-01,133907,496,130508,27094,37,24154,0.8928545065328117,0.001529494440081022,0.998470505559919,24191,0.0001931160530778131
20,United Arab Emirates,,2020-11-16,151554,534,143932,20550,38,13424,0.6550851581508516,0.002822760362501857,0.9971772396374982,13462,-0.0012932659224208498
21,United Arab Emirates,,2020-12-01,170149,576,155667,25683,42,11735,0.4585523498033719,0.00356627324445954,0.9964337267555404,11777,-0.0007435128819577308
22,United Arab Emirates,,2020-12-16,188545,626,165749,32302,50,10082,0.313664788557984,0.00493485984998026,0.9950651401500198,10132,-0.0013685866055206386
23,United Arab Emirates,,2020-12-31,207822,669,184442,41447,43,18693,0.4520471928004439,0.002295046968403074,0.9977049530315969,18736,0.0026398128815771083
24,United Arab Emirates,,2021-01-15,246376,733,218988,61265,64,34546,0.56492287603036,0.0018491765385726668,0.9981508234614274,34610,0.0004458704298304639
25,United Arab Emirates,,2021-01-30,300661,838,272769,80940,105,53781,0.6657524091919941,0.0019485580670303975,0.9980514419329696,53886,-9.938152845778703e-05
26,United Arab Emirates,,2021-02-14,348772,1014,331839,75165,176,59070,0.7882125989489789,0.0029706646862235424,0.9970293353137765,59246,-0.0010221066191931083
27,United Arab Emirates,,2021-03-01,394050,1238,382332,61197,224,50493,0.8287497753157834,0.0044166650235621194,0.9955833349764379,50717,-0.0014460003373385488
28,United Arab Emirates,,2021-03-16,430313,1406,410736,46743,168,28404,0.6112573005583724,0.005879882402351953,0.9941201175976481,28572,-0.0014632173787898495
29,United Arab Emirates,,2021-03-31,461444,1497,445355,49302,91,34619,0.7040282341487161,0.0026217228464419477,0.9973782771535581,34710,0.003258159555910023
30,United Arab Emirates,,2021-04-15,491423,1545,475012,44571,48,29657,0.6664647416481568,0.00161588958087864,0.9983841104191213,29705,0.0010058332655632496
31,United Arab Emirates,,2021-04-30,520236,1587,500779,43679,42,25767,0.5908789120630051,0.0016273393002441008,0.9983726606997559,25809,-1.1449719365397293e-05
32,United Arab Emirates,,2021-05-03,525567,1596,506020,23201,9,5241,0.22628334985560966,0.0017142857142857142,0.9982857142857143,5250,-8.694641404161096e-05
