Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
2,Afghanistan,,2020-03-01,1,0,0,1,0,0,0.0,,,0,
3,Afghanistan,,2020-03-21,24,0,1,24,0,1,0.041666666666666664,0.0,1.0,1,
4,Afghanistan,,2020-04-10,521,15,32,520,15,31,0.08846153846153847,0.32608695652173914,0.6739130434782609,46,-0.32608695652173914
5,Afghanistan,,2020-04-30,2171,64,260,2124,49,228,0.13041431261770245,0.17689530685920576,0.8231046931407943,277,0.1491916496625334
6,Afghanistan,,2020-05-20,8145,187,930,7821,123,670,0.10139368367216468,0.15510718789407313,0.8448928121059268,793,0.021788118965132552
7,Afghanistan,,2020-06-09,21459,384,2651,20342,197,1721,0.09428768066070199,0.102711157455683,0.897288842544317,1918,0.05239603043839014
8,Afghanistan,,2020-06-29,31238,733,13934,28203,349,11283,0.41243839307875046,0.030003438789546078,0.969996561210454,11632,0.07270771866613701
9,Afghanistan,,2020-07-19,35475,1181,23634,20808,448,9700,0.4876970396001538,0.04414662987780844,0.9558533701221915,10148,-0.014143191088262452
10,Afghanistan,,2020-08-08,37054,1312,25960,12239,131,2326,0.20075169539995097,0.05331705331705332,0.9466829466829467,2457,-0.00917042343924479
11,Afghanistan,,2020-08-28,38140,1402,29059,10868,90,3099,0.29343025395656974,0.028222013170272814,0.9717779868297272,3189,0.025095040146780434
12,Afghanistan,,2020-09-17,38872,1436,32505,8411,34,3446,0.413743906788729,0.009770114942528735,0.9902298850574712,3480,0.018451898227744068
13,Afghanistan,,2020-10-07,39548,1469,33045,5607,33,540,0.10219368646334938,0.05759162303664921,0.9424083769633508,573,-0.047821508094120446
14,Afghanistan,,2020-10-27,41032,1523,34217,6518,54,1172,0.18809450751764345,0.04404567699836868,0.9559543230016313,1226,0.01354594603828052
15,Afghanistan,,2020-11-16,43403,1626,35137,7663,103,920,0.13349862977945975,0.10068426197458455,0.8993157380254154,1023,-0.05663858497621588
16,Afghanistan,,2020-11-29,46215,1763,36731,9452,137,1594,0.18313584426576385,0.07914500288850375,0.9208549971114962,1731,0.021539259086080786
