Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Argentina,,2020-03-21,158,4,3,158,4,3,0.04430379746835443,0.5714285714285714,0.42857142857142855,7,
4,Argentina,,2020-04-10,1975,82,375,1968,78,372,0.22865853658536586,0.17333333333333334,0.8266666666666667,450,0.3980952380952381
5,Argentina,,2020-04-30,4428,218,1256,3971,136,881,0.2561067741123143,0.13372664700098327,0.8662733529990168,1017,0.039606686332350094
6,Argentina,,2020-05-20,9283,403,2933,7809,185,1677,0.2384428223844282,0.09935553168635876,0.9006444683136412,1862,0.034371115314624445
7,Argentina,,2020-06-09,24761,717,7568,21425,314,4635,0.23099183197199533,0.06344716104263487,0.9365528389573651,4949,0.035908370643723875
8,Argentina,,2020-06-29,62268,1280,21138,53983,563,13570,0.26180464220217475,0.039835845185027946,0.9601641548149721,14133,0.023611315857607007
9,Argentina,,2020-07-19,126755,2260,54105,104337,980,32967,0.3253591726808323,0.0288685303561434,0.9711314696438565,33947,0.010967314828884467
10,Argentina,,2020-08-08,241811,4523,108242,185446,2263,54137,0.3041316609686917,0.0401241134751773,0.9598758865248227,56400,-0.011255583119033852
11,Argentina,,2020-08-28,392009,8271,280165,279244,3748,171923,0.6290949850310124,0.021335337078971485,0.9786646629210285,175671,0.018788776396205797
12,Argentina,,2020-09-17,601713,12460,456347,313277,4189,176182,0.5757556411737855,0.023224354247634044,0.976775645752366,180371,-0.0018890171686625212
13,Argentina,,2020-10-07,840915,22226,670725,372108,9766,214378,0.6023627548991153,0.04357020486829895,0.956429795131701,224144,-0.020345850620664963
14,Argentina,,2020-10-27,1116609,29730,921344,423658,7504,250619,0.6092721015536117,0.029071411691325454,0.9709285883086746,258123,0.014498793176973557
15,Argentina,,2020-11-16,1318384,35727,1140196,367310,5997,218852,0.6121504995780132,0.02667123269394127,0.9733287673060588,224849,0.002400178997384206
16,Argentina,,2020-12-06,1463110,39770,1294692,287187,4043,154496,0.552041004641575,0.025501611590838847,0.9744983884091611,158539,0.0011696211031023696
17,Argentina,,2020-12-21,1547138,41997,1374401,212676,2227,79709,0.3852620888111494,0.02717975004881859,0.9728202499511814,81936,-0.0016781384579797054
