Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
2,Armenia,,2020-03-01,1,0,0,1,0,0,0.0,,,0,
3,Armenia,,2020-03-21,160,0,1,160,0,1,0.00625,0.0,1.0,1,
4,Armenia,,2020-04-10,937,12,149,936,12,148,0.17094017094017094,0.075,0.925,160,-0.07499999999999996
5,Armenia,,2020-04-30,2066,32,929,1905,20,780,0.4199475065616798,0.025,0.975,800,0.04999999999999993
6,Armenia,,2020-05-20,5271,67,2419,4310,35,1490,0.3538283062645012,0.022950819672131147,0.9770491803278688,1525,0.002049180327868827
7,Armenia,,2020-06-09,13675,217,4451,11189,150,2032,0.19501295915631423,0.06874427131072411,0.9312557286892759,2182,-0.04579345163859294
8,Armenia,,2020-06-29,25127,433,13297,20459,216,8846,0.4429346497873796,0.023835797837122048,0.9761642021628779,9062,0.04490847347360205
9,Armenia,,2020-07-19,34877,641,23294,21147,208,9997,0.48257436042937535,0.02038216560509554,0.9796178343949045,10205,0.003453632232026549
10,Armenia,,2020-08-08,40185,785,32395,16250,144,9101,0.568923076923077,0.015575987020010817,0.9844240129799892,9245,0.004806178585084697
11,Armenia,,2020-08-28,43451,869,37264,10271,84,4869,0.48223152565475613,0.016959418534221685,0.9830405814657783,4953,-0.001383431514210831
12,Armenia,,2020-09-17,46671,925,42231,8538,56,4967,0.5883110798781916,0.011148715906828588,0.9888512840931714,5023,0.005810702627393027
13,Armenia,,2020-10-07,53755,995,45110,10599,70,2879,0.27823379564109824,0.02373685995252628,0.9762631400474737,2949,-0.012588144045697636
14,Armenia,,2020-10-27,80410,1222,51814,34305,227,6704,0.2020405188747996,0.03275140672341653,0.9672485932765834,6931,-0.009014546770890308
15,Armenia,,2020-11-16,117886,1788,75865,64850,566,24051,0.3795990747879722,0.02299224113417557,0.9770077588658245,24617,0.009759165589241059
16,Armenia,,2020-12-06,141937,2326,116796,64284,538,40931,0.64509053574762,0.012973546504617907,0.9870264534953821,41469,0.010018694629557623
17,Armenia,,2020-12-26,157349,2752,138669,38227,426,21873,0.5833311533732702,0.01910399569487421,0.9808960043051258,22299,-0.006130449190256293
18,Armenia,,2021-01-15,163972,2974,152320,22551,222,13651,0.6151833621568888,0.016002306638794782,0.9839976933612052,13873,0.0031016890560794375
19,Armenia,,2021-02-04,167568,3107,159045,12274,133,6725,0.5587420563793385,0.019393409157188686,0.9806065908428113,6858,-0.003391102518393918
20,Armenia,,2021-02-24,170945,3175,162517,8793,68,3472,0.4025929716820198,0.0192090395480226,0.9807909604519774,3540,0.000184369609166124
21,Armenia,,2021-03-16,179287,3277,166702,13595,102,4185,0.3153365207796984,0.023792862141357594,0.9762071378586424,4287,-0.004583822593335007
22,Armenia,,2021-04-05,197113,3614,176889,27134,337,10187,0.3878528783076583,0.03202204484986697,0.9679779551501331,10524,-0.008229182708509364
23,Armenia,,2021-04-25,213288,4018,194080,32785,404,17191,0.5366783590056429,0.02296106848536516,0.9770389315146348,17595,0.00906097636450176
24,Armenia,,2021-05-15,220729,4314,208100,22631,296,14020,0.6325836242322478,0.020676166526962837,0.9793238334730372,14316,0.0022849019584023633
25,Armenia,,2021-05-29,222555,4428,212752,10141,114,4652,0.4699733754067646,0.023919429290809903,0.9760805707091901,4766,-0.003243262763847121
