Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,Brazil,Roraima,2020-05-20,2067,64,0,2067,64,0,0.030962747943880018,1.0,0.0,64,
7,Brazil,Roraima,2020-06-09,6056,168,1569,5992,104,1569,0.27920560747663553,0.062163777644949195,0.9378362223550508,1673,0.9378362223550508
8,Brazil,Roraima,2020-06-29,14459,281,4370,12722,113,2801,0.22905203584342085,0.03877831159917639,0.9612216884008236,2914,0.02338546604577274
9,Brazil,Roraima,2020-07-19,25467,429,8455,20816,148,4085,0.2033531898539585,0.03496338294353886,0.9650366170564612,4233,0.003814928655637595
10,Brazil,Roraima,2020-08-08,35933,547,9110,27049,118,655,0.0285777662760176,0.15265200517464425,0.8473479948253557,773,-0.11768862223110543
11,Brazil,Roraima,2020-08-28,42997,587,10978,33340,40,1868,0.05722855428914217,0.020964360587002098,0.9790356394129979,1908,0.13168764458764215
12,Brazil,Roraima,2020-09-17,47398,611,15164,35833,24,4186,0.11748946501827924,0.005700712589073635,0.9942992874109263,4210,0.015263647997928453
13,Brazil,Roraima,2020-10-07,51635,666,46135,35860,55,30971,0.8651979921918572,0.0017727067620705215,0.9982272932379295,31026,0.003928005827003145
14,Brazil,Roraima,2020-10-27,56182,691,52283,9381,25,6148,0.6580321927299861,0.004049894702737729,0.9959501052972622,6173,-0.0022771879406672246
15,Brazil,Roraima,2020-11-16,60579,706,56808,7605,15,4525,0.5969756738987508,0.003303964757709251,0.9966960352422908,4540,0.0007459299450285339
16,Brazil,Roraima,2020-12-06,64905,744,61308,7391,38,4500,0.613989987823028,0.008373732921992068,0.9916262670780079,4538,-0.00506976816428284
17,Brazil,Roraima,2020-12-26,68237,773,64516,6185,29,3208,0.5233629749393695,0.008958912573370404,0.9910410874266296,3237,-0.0005851796513783869
18,Brazil,Roraima,2021-01-15,70475,805,67408,5186,32,2892,0.5638256845352874,0.01094391244870041,0.9890560875512996,2924,-0.0019849998753299625
19,Brazil,Roraima,2021-02-04,74960,880,69826,6747,75,2418,0.36949755446865273,0.030084235860409144,0.9699157641395909,2493,-0.019140323411708682
20,Brazil,Roraima,2021-02-24,80472,1074,74830,9766,194,5004,0.5322547614171615,0.037322046941131205,0.9626779530588688,5198,-0.007237811080722079
21,Brazil,Roraima,2021-02-26,81281,1092,76102,5377,18,1272,0.23991073089083131,0.013953488372093023,0.986046511627907,1290,0.02336855856903819
