Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Colombia,Guainia,2020-06-09,6,0,0,6,0,0,0.0,,,0,
8,Colombia,Guainia,2020-06-29,14,1,2,14,1,2,0.21428571428571427,0.3333333333333333,0.6666666666666666,3,
9,Colombia,Guainia,2020-07-19,14,1,13,11,0,11,1.0,0.0,1.0,11,0.33333333333333337
10,Colombia,Guainia,2020-08-08,14,1,13,0,0,0,,,,0,
11,Colombia,Guainia,2020-08-28,92,2,17,78,1,4,0.0641025641025641,0.2,0.8,5,
12,Colombia,Guainia,2020-09-17,500,10,228,481,8,211,0.4553014553014553,0.0365296803652968,0.9634703196347032,219,0.16347031963470315
13,Colombia,Guainia,2020-10-07,992,16,860,754,6,632,0.8461538461538461,0.009404388714733543,0.9905956112852664,638,0.02712529165056321
14,Colombia,Guainia,2020-10-27,1116,18,1083,240,2,223,0.9375,0.008888888888888889,0.9911111111111112,225,0.0005154998258447563
15,Colombia,Guainia,2020-11-16,1168,19,1142,67,1,59,0.8955223880597015,0.016666666666666666,0.9833333333333333,60,-0.007777777777777883
16,Colombia,Guainia,2020-12-06,1213,19,1183,52,0,41,0.7884615384615384,0.0,1.0,41,0.01666666666666672
17,Colombia,Guainia,2020-12-26,1229,19,1204,27,0,21,0.7777777777777778,0.0,1.0,21,0.0
18,Colombia,Guainia,2021-01-15,1244,20,1215,21,1,11,0.5714285714285714,0.08333333333333333,0.9166666666666666,12,-0.08333333333333337
19,Colombia,Guainia,2021-02-04,1285,22,1252,50,2,37,0.78,0.05128205128205128,0.9487179487179487,39,0.03205128205128205
20,Colombia,Guainia,2021-02-24,1301,22,1272,27,0,20,0.7407407407407407,0.0,1.0,20,0.05128205128205132
21,Colombia,Guainia,2021-03-16,1331,22,1293,37,0,21,0.5675675675675675,0.0,1.0,21,0.0
22,Colombia,Guainia,2021-04-05,1338,22,1311,23,0,18,0.782608695652174,0.0,1.0,18,0.0
23,Colombia,Guainia,2021-04-25,1413,22,1374,80,0,63,0.7875,0.0,1.0,63,0.0
24,Colombia,Guainia,2021-05-15,1539,22,1457,143,0,83,0.5804195804195804,0.0,1.0,83,0.0
25,Colombia,Guainia,2021-06-04,1832,22,1750,353,0,293,0.830028328611898,0.0,1.0,293,0.0
26,Colombia,Guainia,2021-06-19,1991,23,1933,219,1,183,0.8401826484018264,0.005434782608695652,0.9945652173913043,184,-0.005434782608695676
