Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Colombia,Guaviare,2020-06-09,1,0,0,1,0,0,0.0,,,0,
8,Colombia,Guaviare,2020-06-29,37,0,6,37,0,6,0.16216216216216217,0.0,1.0,6,
9,Colombia,Guaviare,2020-07-19,50,0,39,44,0,33,0.75,0.0,1.0,33,0.0
10,Colombia,Guaviare,2020-08-08,128,0,62,89,0,23,0.25842696629213485,0.0,1.0,23,0.0
11,Colombia,Guaviare,2020-08-28,239,1,201,177,1,139,0.7909604519774012,0.007142857142857143,0.9928571428571429,140,-0.0071428571428571175
12,Colombia,Guaviare,2020-09-17,588,10,382,386,9,181,0.49222797927461137,0.04736842105263158,0.9526315789473684,190,-0.0402255639097745
13,Colombia,Guaviare,2020-10-07,1038,19,802,646,9,420,0.6640866873065016,0.02097902097902098,0.9790209790209791,429,0.02638940007361068
14,Colombia,Guaviare,2020-10-27,1380,22,1246,559,3,444,0.7996422182468694,0.006711409395973154,0.9932885906040269,447,0.01426761158304779
15,Colombia,Guaviare,2020-11-16,1721,26,1619,453,4,373,0.8322295805739515,0.010610079575596816,0.9893899204244032,377,-0.0038986701796236423
16,Colombia,Guaviare,2020-12-06,1868,33,1807,223,7,188,0.874439461883408,0.035897435897435895,0.9641025641025641,195,-0.025287356321839094
17,Colombia,Guaviare,2020-12-26,1940,36,1882,100,3,75,0.78,0.038461538461538464,0.9615384615384616,78,-0.002564102564102555
18,Colombia,Guaviare,2021-01-15,2073,37,1998,155,1,116,0.7548387096774194,0.008547008547008548,0.9914529914529915,117,0.02991452991452992
19,Colombia,Guaviare,2021-02-04,2172,39,2110,137,2,112,0.8321167883211679,0.017543859649122806,0.9824561403508771,114,-0.008996851102114345
20,Colombia,Guaviare,2021-02-24,2241,40,2182,92,1,72,0.7934782608695652,0.0136986301369863,0.9863013698630136,73,0.0038452295121365054
21,Colombia,Guaviare,2021-03-16,2285,40,2230,63,0,48,0.7619047619047619,0.0,1.0,48,0.013698630136986356
22,Colombia,Guaviare,2021-04-05,2301,40,2252,31,0,22,0.7096774193548387,0.0,1.0,22,0.0
23,Colombia,Guaviare,2021-04-23,2325,40,2272,33,0,20,0.6060606060606061,0.0,1.0,20,0.0
