Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Colombia,Huila,2020-06-09,259,13,222,259,13,222,0.9073359073359073,0.05531914893617021,0.9446808510638298,235,
8,Colombia,Huila,2020-06-29,325,14,244,90,1,22,0.25555555555555554,0.043478260869565216,0.9565217391304348,23,0.011840888066604993
9,Colombia,Huila,2020-07-19,535,15,358,277,1,114,0.4151624548736462,0.008695652173913044,0.991304347826087,115,0.034782608695652195
10,Colombia,Huila,2020-08-08,1470,34,585,1097,19,227,0.22424794895168643,0.07723577235772358,0.9227642276422764,246,-0.06854012018381062
11,Colombia,Huila,2020-08-28,4529,111,2557,3910,77,1972,0.5240409207161125,0.037579306979014154,0.9624206930209859,2049,0.03965646537870948
12,Colombia,Huila,2020-09-17,8756,261,6018,6088,150,3461,0.5931340341655716,0.04153973968429798,0.958460260315702,3611,-0.003960432705283901
13,Colombia,Huila,2020-10-07,13564,428,10949,7285,167,4931,0.6997940974605353,0.03275794429187917,0.9672420557081208,5098,0.008781795392418856
14,Colombia,Huila,2020-10-27,20776,607,18239,9399,179,7290,0.7946590062772635,0.02396572499665283,0.9760342750033472,7469,0.008792219295226333
15,Colombia,Huila,2020-11-16,27524,838,25821,8678,231,7582,0.9003226549896289,0.029566107769102776,0.9704338922308973,7813,-0.005600382772449897
16,Colombia,Huila,2020-12-06,31044,990,29166,4385,152,3345,0.7974914481185861,0.04346582785244495,0.9565341721475551,3497,-0.01389972008334217
17,Colombia,Huila,2020-12-26,34063,1090,31854,3907,100,2688,0.7135909905298182,0.035868005738880916,0.9641319942611191,2788,0.007597822113563968
18,Colombia,Huila,2021-01-15,39372,1237,36420,6428,147,4566,0.7331985065339142,0.031190324633991087,0.9688096753660089,4713,0.004677681104889864
19,Colombia,Huila,2021-02-04,47200,1539,44525,9543,302,8105,0.8809598658702714,0.035922445581063396,0.9640775544189366,8407,-0.004732120947072316
20,Colombia,Huila,2021-02-24,49432,1711,47286,3368,172,2761,0.8708432304038005,0.05864302761677463,0.9413569723832254,2933,-0.022720582035711256
21,Colombia,Huila,2021-03-16,50347,1759,48273,1350,48,987,0.7666666666666667,0.0463768115942029,0.9536231884057971,1035,0.012266216022571719
22,Colombia,Huila,2021-04-05,51161,1798,48987,1129,39,714,0.66696191319752,0.05179282868525897,0.9482071713147411,753,-0.005416017091055991
23,Colombia,Huila,2021-04-25,53078,1850,50583,2293,52,1596,0.7187091146969036,0.03155339805825243,0.9684466019417476,1648,0.020239430627006505
24,Colombia,Huila,2021-05-15,55620,1928,52580,3187,78,1997,0.6510825227486664,0.037590361445783135,0.9624096385542169,2075,-0.0060369633875306805
25,Colombia,Huila,2021-05-18,55953,1945,52926,1445,17,346,0.2512110726643599,0.046831955922865015,0.953168044077135,363,-0.00924159447708195
