Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Colombia,Narino,2020-06-09,1700,66,585,1700,66,585,0.38294117647058823,0.10138248847926268,0.8986175115207373,651,
8,Colombia,Narino,2020-06-29,3184,111,1754,2533,45,1169,0.4792735886300829,0.03706754530477759,0.9629324546952224,1214,0.06431494317448505
9,Colombia,Narino,2020-07-19,5401,166,3148,3536,55,1394,0.40978506787330315,0.03795721187025535,0.9620427881297446,1449,-0.0008896665654777314
10,Colombia,Narino,2020-08-08,9365,323,5723,6051,157,2575,0.45149562055858533,0.05746705710102489,0.9425329428989752,2732,-0.019509845230769485
11,Colombia,Narino,2020-08-28,13709,477,10532,7663,154,4809,0.6476575753621298,0.031029619181946404,0.9689703808180536,4963,0.026437437919078488
12,Colombia,Narino,2020-09-17,16531,627,13989,5522,150,3457,0.6532053603766751,0.04158580537843083,0.9584141946215692,3607,-0.010556186196484463
13,Colombia,Narino,2020-10-07,19084,708,16881,4468,81,2892,0.6653983885407341,0.027245206861755803,0.9727547931382442,2973,0.014340598516675018
14,Colombia,Narino,2020-10-27,21323,757,19150,3734,49,2269,0.6207820032137118,0.02113891285591027,0.9788610871440897,2318,0.006106294005845503
15,Colombia,Narino,2020-11-16,23927,802,21929,4020,45,2779,0.7024875621890547,0.01593484419263456,0.9840651558073654,2824,0.005204068663275718
16,Colombia,Narino,2020-12-06,26400,862,23977,3669,60,2048,0.5745434723357863,0.028462998102466792,0.9715370018975332,2108,-0.012528153909832196
17,Colombia,Narino,2020-12-22,29049,924,26190,4210,62,2213,0.5403800475059383,0.027252747252747254,0.9727472527472527,2275,0.0012102508497194853
