Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,Germany,Nordrhein-Westfalen,2020-05-20,36766,1537,32700,36766,1537,32700,0.931213621280531,0.044892952069398605,0.9551070479306014,34237,
7,Germany,Nordrhein-Westfalen,2020-06-09,38743,1635,35700,4506,98,3000,0.6875277407900577,0.0316333118140736,0.9683666881859264,3098,0.013259640255325
8,Germany,Nordrhein-Westfalen,2020-06-29,42869,1678,37700,5534,43,2000,0.369172388868811,0.021047479197258932,0.9789525208027411,2043,0.010585832616814672
9,Germany,Nordrhein-Westfalen,2020-07-19,46024,1712,42300,6646,34,4600,0.6972615106831177,0.0073370738023306,0.9926629261976694,4634,0.013710405394928293
10,Germany,Nordrhein-Westfalen,2020-08-08,51330,1759,45740,7318,47,3440,0.4764963104673408,0.01347863492973903,0.986521365070261,3487,-0.006141561127408379
11,Germany,Nordrhein-Westfalen,2020-08-28,58189,1808,52620,10690,49,6880,0.6481758652946679,0.007071727522008948,0.9929282724779911,6929,0.006406907407730089
12,Germany,Nordrhein-Westfalen,2020-09-17,63565,1839,58460,9137,31,5840,0.6425522600415892,0.005280190768182593,0.9947198092318174,5871,0.0017915367538262617
13,Germany,Nordrhein-Westfalen,2020-10-07,75671,1894,65151,15372,55,6691,0.4388498568826438,0.008152979543433145,0.9918470204565668,6746,-0.0028727887752505454
14,Germany,Nordrhein-Westfalen,2020-10-27,114194,2031,80545,47149,137,15394,0.32940253239729367,0.008821067542334686,0.9911789324576653,15531,-0.0006680879989015009
15,Germany,Nordrhein-Westfalen,2020-11-16,207224,2700,131792,124648,669,51247,0.41650086643989476,0.01288620078588489,0.9871137992141151,51916,-0.004065133243550179
16,Germany,Nordrhein-Westfalen,2020-12-06,287178,3954,219774,152686,1254,87982,0.584441271629357,0.014052624501322336,0.9859473754986776,89236,-0.0011664237154375146
17,Germany,Nordrhein-Westfalen,2020-12-26,378105,5964,299683,154377,2010,79909,0.5306425179916697,0.02453643232949621,0.9754635676705038,81919,-0.010483807828173819
18,Germany,Nordrhein-Westfalen,2021-01-15,444159,8838,376568,138512,2874,76885,0.5758273651380386,0.036033551072606224,0.9639664489273938,79759,-0.01149711874310999
19,Germany,Nordrhein-Westfalen,2021-02-01,487938,10973,433906,102532,2135,57338,0.5800433035540125,0.03589864308173457,0.9641013569182655,59473,0.00013490799087167993
