Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
8,India,Nagaland,2020-06-29,434,0,168,434,0,168,0.3870967741935484,0.0,1.0,168,
9,India,Nagaland,2020-07-19,988,0,445,820,0,277,0.3378048780487805,0.0,1.0,277,0.0
10,India,Nagaland,2020-08-08,2688,7,896,2243,7,451,0.20419081587160054,0.015283842794759825,0.9847161572052402,458,-0.015283842794759805
11,India,Nagaland,2020-08-28,3805,9,2850,2902,2,1954,0.6740179186767746,0.0010224948875255625,0.9989775051124744,1956,0.014261347907234212
12,India,Nagaland,2020-09-17,5306,15,4098,2447,6,1248,0.5124642419288925,0.004784688995215311,0.9952153110047847,1254,-0.0037621941076897425
13,India,Nagaland,2020-10-07,6715,17,5498,2602,2,1400,0.5388162951575711,0.0014265335235378032,0.9985734664764622,1402,0.003358155471677504
14,India,Nagaland,2020-10-27,8726,33,6828,3211,16,1330,0.41918405481158516,0.01188707280832095,0.9881129271916791,1346,-0.010460539284783077
15,India,Nagaland,2020-11-16,10025,53,8959,3164,20,2131,0.6798356510745891,0.009298000929800094,0.9907019990702,2151,0.0025890718785208655
16,India,Nagaland,2020-12-06,11379,66,10766,2367,13,1807,0.7689057879171948,0.007142857142857143,0.9928571428571429,1820,0.0021551437869429257
17,India,Nagaland,2020-12-13,11709,68,11007,877,2,241,0.27708095781071834,0.00823045267489712,0.9917695473251029,243,-0.0010875955320399644
