Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
8,India,Punjab,2020-06-29,5418,138,3764,5418,138,3764,0.7201919527500923,0.035366478728856995,0.964633521271143,3902,
9,India,Punjab,2020-07-19,10100,254,6535,6198,116,2771,0.46579541787673445,0.0401801177693107,0.9598198822306893,2887,-0.004813639040453732
10,India,Punjab,2020-08-08,22928,562,14880,16139,308,8345,0.536154656422331,0.035594591471166066,0.9644054085288339,8653,0.004585526298144682
11,India,Punjab,2020-08-28,49378,1307,33008,33936,745,18128,0.5561350777934936,0.03947438139140571,0.9605256186085943,18873,-0.003879789920239629
12,India,Punjab,2020-09-17,90032,2646,65818,55717,1339,32810,0.6129009099556688,0.03921051860962254,0.9607894813903775,34149,0.0002638627817831418
13,India,Punjab,2020-10-07,120860,3712,105585,52396,1066,39767,0.7793152149019009,0.026106335561922954,0.973893664438077,40833,0.013104183047699558
14,India,Punjab,2020-10-27,131737,4138,123510,22440,426,17925,0.8177807486631016,0.02321399378780448,0.9767860062121955,18351,0.0028923417741184565
15,India,Punjab,2020-11-16,142082,4480,132001,14434,342,8491,0.6119578772343078,0.038718442205366244,0.9612815577946338,8833,-0.015504448417561711
16,India,Punjab,2020-12-06,156226,4916,143414,19745,436,11413,0.600101291466194,0.036796354122710775,0.9632036458772892,11849,0.001922088082655482
17,India,Punjab,2020-12-26,165126,5281,155409,16796,365,11995,0.7358894974994046,0.02953074433656958,0.9704692556634305,12360,0.007265609786141214
18,India,Punjab,2020-12-31,166239,5331,157043,5549,50,1634,0.3034781041629122,0.029691211401425176,0.9703087885985748,1684,-0.00016046706485561835
