Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
8,India,Rajasthan,2020-06-29,17660,405,13618,17660,405,13618,0.7940543601359004,0.028881123867931256,0.9711188761320687,14023,
9,India,Rajasthan,2020-07-19,29434,559,21730,15411,154,8112,0.5363701252352215,0.01863053472054198,0.981369465279458,8266,0.0102505891473893
10,India,Rajasthan,2020-08-08,51328,778,37163,29039,219,15433,0.5389992768346017,0.013991822131357015,0.986008177868643,15652,0.004638712589185023
11,India,Rajasthan,2020-08-28,77370,1017,62033,39429,239,24870,0.6368155418600523,0.009518499342865108,0.9904815006571349,25109,0.004473322788491885
12,India,Rajasthan,2020-09-17,109473,1293,90685,46423,276,28652,0.6231393921116688,0.009540929203539822,0.9904590707964602,28928,-2.2429860674688662e-05
13,India,Rajasthan,2020-10-07,150467,1590,127526,58489,297,36841,0.6349570004616253,0.007997199633798266,0.9920028003662017,37138,0.00154372956974147
14,India,Rajasthan,2020-10-27,189844,1867,172028,60728,277,44502,0.7373699117375839,0.006185935371491101,0.9938140646285089,44779,0.001811264262307155
15,India,Rajasthan,2020-11-16,227986,2078,207224,54091,211,35196,0.6545820931393392,0.005959273589968085,0.9940407264100319,35407,0.00022666178152308536
16,India,Rajasthan,2020-12-06,280585,2429,255729,71283,351,48505,0.6853808060827967,0.007184378581955133,0.9928156214180449,48856,-0.001225104991987025
17,India,Rajasthan,2020-12-26,304517,2664,290365,46359,235,34636,0.7521948273258698,0.006739124200625161,0.9932608757993748,34871,0.0004452543813299181
18,India,Rajasthan,2021-01-15,314682,2744,306330,21653,80,15965,0.7410058652380732,0.004985976939856653,0.9950140230601433,16045,0.0017531472607684728
19,India,Rajasthan,2021-02-04,317905,2771,313496,8831,27,7166,0.8145170422375722,0.0037536493813429724,0.9962463506186571,7193,0.0012323275585137683
20,India,Rajasthan,2021-02-24,319801,2785,315812,3534,14,2316,0.6593095642331636,0.006008583690987125,0.9939914163090129,2330,-0.0022549343096441854
21,India,Rajasthan,2021-03-07,321532,2789,316988,2935,4,1176,0.4020442930153322,0.003389830508474576,0.9966101694915255,1180,0.00261875318251259
