Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Japan,Chiba,2020-06-09,922,45,846,922,45,846,0.9663774403470716,0.050505050505050504,0.9494949494949495,891,
8,Japan,Chiba,2020-06-29,961,45,868,70,0,22,0.3142857142857143,0.0,1.0,22,0.0505050505050505
9,Japan,Chiba,2020-07-19,1301,46,967,388,1,99,0.25773195876288657,0.01,0.99,100,-0.010000000000000009
10,Japan,Chiba,2020-08-08,2115,52,1439,1102,6,472,0.4337568058076225,0.012552301255230125,0.9874476987447699,478,-0.002552301255230094
11,Japan,Chiba,2020-08-28,2960,61,2419,1469,9,980,0.6732471068754254,0.00910010111223458,0.9908998988877654,989,0.0034522001429955207
12,Japan,Chiba,2020-09-17,3517,67,3120,1037,6,701,0.6817743490838959,0.008486562942008486,0.9915134370579916,707,0.0006135381702261355
13,Japan,Chiba,2020-10-07,4154,72,3714,967,5,594,0.6194415718717684,0.008347245409015025,0.991652754590985,599,0.00013931753299345484
14,Japan,Chiba,2020-10-27,4881,78,4363,1095,6,649,0.5981735159817352,0.00916030534351145,0.9908396946564886,655,-0.0008130599344964295
15,Japan,Chiba,2020-11-16,5859,84,5124,1418,6,761,0.5409026798307476,0.007822685788787484,0.9921773142112125,767,0.00133761955472389
16,Japan,Chiba,2020-12-06,7467,91,6471,2259,7,1347,0.5993802567507747,0.0051698670605613,0.9948301329394387,1354,0.002652818728226203
17,Japan,Chiba,2020-12-26,10119,109,8108,3557,18,1637,0.46527973010964296,0.010876132930513595,0.9891238670694864,1655,-0.005706265869952265
18,Japan,Chiba,2021-01-15,16396,156,10928,8179,47,2820,0.350531849859396,0.01639344262295082,0.9836065573770492,2867,-0.0055173096924372445
19,Japan,Chiba,2021-01-30,22114,243,16026,11030,87,5098,0.4700815956482321,0.01677917068466731,0.9832208293153327,5185,-0.00038572806171643936
