Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Japan,Hiroshima,2020-06-09,165,3,162,165,3,162,1.0,0.01818181818181818,0.9818181818181818,165,
8,Japan,Hiroshima,2020-06-29,165,3,162,0,0,0,,,,0,
9,Japan,Hiroshima,2020-07-19,209,3,167,44,0,5,0.11363636363636363,0.0,1.0,5,
10,Japan,Hiroshima,2020-08-08,402,3,273,232,0,106,0.45689655172413796,0.0,1.0,106,0.0
11,Japan,Hiroshima,2020-08-28,453,3,430,177,0,157,0.8870056497175142,0.0,1.0,157,0.0
12,Japan,Hiroshima,2020-09-17,471,3,459,38,0,29,0.7631578947368421,0.0,1.0,29,0.0
13,Japan,Hiroshima,2020-10-07,611,3,511,149,0,52,0.348993288590604,0.0,1.0,52,0.0
14,Japan,Hiroshima,2020-10-27,654,5,632,140,2,121,0.8785714285714286,0.016260162601626018,0.983739837398374,123,-0.016260162601625994
15,Japan,Hiroshima,2020-11-16,703,5,658,66,0,26,0.3939393939393939,0.0,1.0,26,0.016260162601625994
16,Japan,Hiroshima,2020-12-03,940,6,749,277,1,91,0.33212996389891697,0.010869565217391304,0.9891304347826086,92,-0.010869565217391353
