Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Jordan,,2020-03-21,85,0,1,85,0,1,0.011764705882352941,0.0,1.0,1,
4,Jordan,,2020-04-10,372,7,170,371,7,169,0.4743935309973046,0.03977272727272727,0.9602272727272727,176,-0.03977272727272729
5,Jordan,,2020-04-30,453,8,362,276,1,192,0.6992753623188406,0.0051813471502590676,0.9948186528497409,193,0.03459138012246821
6,Jordan,,2020-05-20,672,9,446,302,1,84,0.2814569536423841,0.011764705882352941,0.9882352941176471,85,-0.006583358732093814
7,Jordan,,2020-06-09,845,9,657,390,0,211,0.541025641025641,0.0,1.0,211,0.0117647058823529
8,Jordan,,2020-06-29,1128,9,867,462,0,210,0.45454545454545453,0.0,1.0,210,0.0
9,Jordan,,2020-07-19,1218,11,1024,342,2,157,0.4649122807017544,0.012578616352201259,0.9874213836477987,159,-0.012578616352201255
10,Jordan,,2020-08-08,1246,11,1178,211,0,154,0.7298578199052133,0.0,1.0,154,0.012578616352201255
11,Jordan,,2020-08-28,1869,15,1367,680,4,189,0.2838235294117647,0.02072538860103627,0.9792746113989638,193,-0.020725388601036232
12,Jordan,,2020-09-17,4131,26,2415,2749,11,1048,0.38523099308839576,0.010387157695939566,0.9896128423040604,1059,0.010338230905096668
13,Jordan,,2020-10-07,20200,131,5575,17759,105,3160,0.18385044202939355,0.03215926493108729,0.9678407350689127,3265,-0.021772107235147775
14,Jordan,,2020-10-27,58855,668,7508,53149,537,1933,0.04647312273043707,0.2174089068825911,0.7825910931174089,2470,-0.18524964195150373
15,Jordan,,2020-11-16,149539,1843,10311,141363,1175,2803,0.028140319602724898,0.29537456008044244,0.7046254399195576,3978,-0.07796565319785131
16,Jordan,,2020-12-06,240089,3056,187444,227935,1213,177133,0.782442362954351,0.0068013860697744835,0.9931986139302256,178346,0.28857317401066795
17,Jordan,,2020-12-10,253121,3250,206638,62621,194,19194,0.3096085977547468,0.010006189395502373,0.9899938106044976,19388,-0.003204803325727923
