Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Kazakhstan,,2020-03-21,53,0,0,53,0,0,0.0,,,0,
4,Kazakhstan,,2020-04-10,812,10,64,812,10,64,0.09113300492610837,0.13513513513513514,0.8648648648648649,74,
5,Kazakhstan,,2020-04-30,3402,25,866,3328,15,802,0.24549278846153846,0.01835985312117503,0.981640146878825,817,0.11677528201396004
6,Kazakhstan,,2020-05-20,6969,35,3734,6078,10,2868,0.4735110233629483,0.0034746351633078527,0.9965253648366922,2878,0.014885217957867236
7,Kazakhstan,,2020-06-09,13074,61,8015,9305,26,4281,0.46286942504030093,0.006036684467146506,0.9939633155328534,4307,-0.0025620493038387426
8,Kazakhstan,,2020-06-29,21819,188,13008,13743,127,4993,0.3725532998617478,0.0248046875,0.9751953125,5120,-0.01876800303285342
9,Kazakhstan,,2020-07-19,71838,375,43029,58642,187,30021,0.5151256778418198,0.00619041313559322,0.9938095868644068,30208,0.01861427436440677
10,Kazakhstan,,2020-08-08,98701,1058,72273,55297,683,29244,0.5412047669855508,0.02282220068834163,0.9771777993116584,29927,-0.01663178755274841
11,Kazakhstan,,2020-08-28,105558,1523,95888,32227,465,23615,0.7471995531697024,0.019310631229235882,0.9806893687707641,24080,0.00351156945910569
12,Kazakhstan,,2020-09-17,107134,1671,101610,9723,148,5722,0.603723130720971,0.025212947189097105,0.9747870528109029,5870,-0.005902315959861126
13,Kazakhstan,,2020-10-07,108454,1746,103604,5173,75,1994,0.399961337715059,0.03624939584340261,0.9637506041565974,2069,-0.01103644865430553
14,Kazakhstan,,2020-10-27,110832,1825,105883,5482,79,2279,0.4301349872309376,0.033502968617472435,0.9664970313825275,2358,0.0027464272259301037
15,Kazakhstan,,2020-11-16,121653,1899,110382,13945,74,4499,0.3279311581211904,0.016181937458998468,0.9838180625410016,4573,0.017321031158474054
16,Kazakhstan,,2020-11-30,132348,1990,116863,20067,91,6481,0.32750286540090695,0.013846622032866707,0.9861533779671333,6572,0.0023353154261317455
