Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Maldives,,2020-03-21,13,0,0,13,0,0,0.0,,,0,
4,Maldives,,2020-04-10,19,0,13,19,0,13,0.6842105263157895,0.0,1.0,13,
5,Maldives,,2020-04-30,468,1,17,455,1,4,0.01098901098901099,0.2,0.8,5,-0.19999999999999996
6,Maldives,,2020-05-20,1186,4,91,1168,3,74,0.06592465753424658,0.03896103896103896,0.961038961038961,77,0.16103896103896098
7,Maldives,,2020-06-09,1942,8,1010,1847,4,919,0.4997292907417434,0.004333694474539545,0.9956663055254604,923,0.0346273444864994
8,Maldives,,2020-06-29,2337,8,1927,1319,0,917,0.6952236542835482,0.0,1.0,917,0.004333694474539573
9,Maldives,,2020-07-19,2966,15,2362,1031,7,435,0.42870999030067897,0.01583710407239819,0.9841628959276018,442,-0.015837104072398245
10,Maldives,,2020-08-08,4898,19,2791,2521,4,429,0.1717572391907973,0.009237875288683603,0.9907621247113164,433,0.006599228783714661
11,Maldives,,2020-08-28,7469,28,4873,4659,9,2082,0.4488087572440438,0.00430416068866571,0.9956958393113343,2091,0.004933714600017902
12,Maldives,,2020-09-17,9494,33,8033,4593,5,3160,0.6890920966688439,0.001579778830963665,0.9984202211690363,3165,0.002724381857701963
13,Maldives,,2020-10-07,10656,34,9547,2590,1,1514,0.584942084942085,0.0006600660066006601,0.9993399339933994,1515,0.0009197128243630948
14,Maldives,,2020-10-27,11567,37,10652,1986,3,1105,0.5579053373615307,0.002707581227436823,0.9972924187725631,1108,-0.002047515220836238
15,Maldives,,2020-11-16,12314,44,11316,1625,7,664,0.41292307692307695,0.010432190760059613,0.9895678092399404,671,-0.007724609532622773
16,Maldives,,2020-12-06,13198,47,12321,1838,3,1005,0.5484221980413493,0.002976190476190476,0.9970238095238095,1008,0.007456000283869169
17,Maldives,,2020-12-26,13618,48,13050,1250,1,729,0.584,0.0013698630136986301,0.9986301369863013,730,0.0016063274624917856
18,Maldives,,2021-01-15,14375,49,13474,1277,1,424,0.3328112764291308,0.002352941176470588,0.9976470588235294,425,-0.0009830781627718777
19,Maldives,,2021-02-04,16410,54,14419,2887,5,945,0.3290613093176308,0.005263157894736842,0.9947368421052631,950,-0.002910216718266301
20,Maldives,,2021-02-24,19162,60,16646,4689,6,2227,0.4762209426316912,0.0026869682042095834,0.9973130317957905,2233,0.0025761896905273085
21,Maldives,,2021-03-16,21819,64,19342,5113,4,2696,0.528065714844514,0.0014814814814814814,0.9985185185185185,2700,0.001205486722728022
22,Maldives,,2021-04-05,24908,67,21773,5502,3,2431,0.4423845874227554,0.0012325390304026294,0.9987674609695973,2434,0.0002489424510788707
23,Maldives,,2021-04-25,27874,71,24309,6034,4,2536,0.42094796155120984,0.0015748031496062992,0.9984251968503937,2540,-0.0003422641192036835
24,Maldives,,2021-05-15,43782,94,28013,19402,23,3704,0.19209359859808267,0.006171183257311511,0.9938288167426885,3727,-0.004596380107705134
25,Maldives,,2021-06-04,66948,177,45730,38841,83,17717,0.4582786231044515,0.004662921348314607,0.9953370786516854,17800,0.0015082619089968885
26,Maldives,,2021-06-24,72678,207,68197,26771,30,22467,0.8403496320645475,0.0013335111348179757,0.9986664888651821,22497,0.003329410213496642
27,Maldives,,2021-07-14,75405,214,72678,7001,7,4481,0.6410512783888016,0.0015597147950089127,0.9984402852049911,4488,-0.00022620366019099336
28,Maldives,,2021-07-21,76332,218,73531,3440,4,853,0.2491279069767442,0.004667444574095682,0.9953325554259043,857,-0.0031077297790867986
