Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,Mexico,Sinaloa,2020-05-20,2161,326,1476,2161,326,1476,0.8338732068486812,0.18091009988901222,0.8190899001109878,1802,
7,Mexico,Sinaloa,2020-06-09,4866,774,3479,3064,448,2003,0.799934725848564,0.18278253773969808,0.8172174622603019,2451,-0.0018724378506859152
8,Mexico,Sinaloa,2020-06-29,8111,1257,6484,3858,483,3005,0.9040953862104717,0.13847477064220184,0.8615252293577982,3488,0.04430776709749629
9,Mexico,Sinaloa,2020-07-19,11314,1830,8545,3573,573,2061,0.7371956339210747,0.21753986332574032,0.7824601366742597,2634,-0.07906509268353845
10,Mexico,Sinaloa,2020-08-08,13729,2380,10510,3354,550,1965,0.7498509242695289,0.21868787276341947,0.7813121272365805,2515,-0.0011480094376792316
11,Mexico,Sinaloa,2020-08-28,15848,2733,12400,2958,353,1890,0.7582826233941853,0.15737851092287117,0.8426214890771289,2243,0.06130936184054836
12,Mexico,Sinaloa,2020-09-17,17513,3004,14074,2380,271,1674,0.8172268907563025,0.13933161953727508,0.860668380462725,1945,0.01804689138559612
13,Mexico,Sinaloa,2020-10-07,19665,3345,15638,2587,341,1564,0.7363741785852339,0.17900262467191602,0.820997375328084,1905,-0.039671005134640946
14,Mexico,Sinaloa,2020-10-27,21591,3556,17307,2608,211,1669,0.7208588957055214,0.11223404255319148,0.8877659574468085,1880,0.0667685821187245
15,Mexico,Sinaloa,2020-11-16,23091,3801,0,2228,245,-17307,-7.657989228007182,-0.014359395147110538,1.0143593951471106,-17062,0.12659343770030207
16,Mexico,Sinaloa,2020-12-06,24887,4023,0,21086,222,0,0.010528312624490183,1.0,0.0,222,-1.0143593951471106
17,Mexico,Sinaloa,2020-12-26,26360,4184,0,22337,161,0,0.007207771858351614,1.0,0.0,161,0.0
18,Mexico,Sinaloa,2021-01-15,28456,4385,0,24272,201,0,0.008281147000659196,1.0,0.0,201,0.0
19,Mexico,Sinaloa,2021-02-04,31521,4798,0,27136,413,0,0.015219634433962265,1.0,0.0,413,0.0
20,Mexico,Sinaloa,2021-02-24,33701,5167,0,28903,369,0,0.012766840812372417,1.0,0.0,369,0.0
21,Mexico,Sinaloa,2021-03-16,35020,5448,0,29853,281,0,0.009412789334405253,1.0,0.0,281,0.0
22,Mexico,Sinaloa,2021-04-05,36329,5744,0,30881,296,0,0.009585181827013374,1.0,0.0,296,0.0
23,Mexico,Sinaloa,2021-04-25,37541,5965,0,31797,221,0,0.006950341227159795,1.0,0.0,221,0.0
24,Mexico,Sinaloa,2021-05-15,38417,6091,0,32452,126,0,0.003882657463330457,1.0,0.0,126,0.0
25,Mexico,Sinaloa,2021-06-04,39533,6238,0,33442,147,0,0.004395670115423718,1.0,0.0,147,0.0
26,Mexico,Sinaloa,2021-06-24,41629,6387,0,35391,149,0,0.004210109914950129,1.0,0.0,149,0.0
27,Mexico,Sinaloa,2021-07-14,47598,6564,0,41211,177,0,0.004294969789619276,1.0,0.0,177,0.0
28,Mexico,Sinaloa,2021-07-31,57450,7021,0,50886,457,0,0.008980859175411705,1.0,0.0,457,0.0
