Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Peru,Ica,2020-06-09,4530,298,0,4530,298,0,0.06578366445916115,1.0,0.0,298,
8,Peru,Ica,2020-06-29,7407,470,0,7109,172,0,0.0241946827964552,1.0,0.0,172,0.0
9,Peru,Ica,2020-07-19,9674,644,0,9204,174,0,0.018904823989569754,1.0,0.0,174,0.0
10,Peru,Ica,2020-08-08,14406,951,0,13762,307,0,0.022307804098241533,1.0,0.0,307,0.0
11,Peru,Ica,2020-08-28,19628,1434,0,18677,483,0,0.025860684264068106,1.0,0.0,483,0.0
12,Peru,Ica,2020-09-17,24756,1535,0,23322,101,0,0.004330674899236772,1.0,0.0,101,0.0
13,Peru,Ica,2020-10-07,28188,1619,0,26653,84,0,0.0031516152027914308,1.0,0.0,84,0.0
14,Peru,Ica,2020-10-27,29463,1665,0,27844,46,0,0.0016520614854187616,1.0,0.0,46,0.0
15,Peru,Ica,2020-11-16,30488,1697,0,28823,32,0,0.001110224473510738,1.0,0.0,32,0.0
16,Peru,Ica,2020-12-06,31118,1734,0,29421,37,0,0.0012576051119948337,1.0,0.0,37,0.0
17,Peru,Ica,2020-12-26,31883,1783,0,30149,49,0,0.00162526120269329,1.0,0.0,49,0.0
18,Peru,Ica,2021-01-12,32598,1817,0,30815,34,0,0.0011033587538536427,1.0,0.0,34,0.0
