Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Peru,Puno,2020-06-09,476,23,0,476,23,0,0.04831932773109244,1.0,0.0,23,
8,Peru,Puno,2020-06-29,943,55,0,920,32,0,0.034782608695652174,1.0,0.0,32,0.0
9,Peru,Puno,2020-07-19,1197,118,0,1142,63,0,0.05516637478108581,1.0,0.0,63,0.0
10,Peru,Puno,2020-08-08,3211,439,0,3093,321,0,0.1037827352085354,1.0,0.0,321,0.0
11,Peru,Puno,2020-08-28,7925,989,0,7486,550,0,0.0734704782260219,1.0,0.0,550,0.0
12,Peru,Puno,2020-09-17,11216,1230,0,10227,241,0,0.023565072846387015,1.0,0.0,241,0.0
13,Peru,Puno,2020-10-07,15427,1324,0,14197,94,0,0.006621117137423399,1.0,0.0,94,0.0
14,Peru,Puno,2020-10-27,16875,1393,0,15551,69,0,0.004437013696868369,1.0,0.0,69,0.0
15,Peru,Puno,2020-11-16,17905,1443,0,16512,50,0,0.0030281007751937986,1.0,0.0,50,0.0
16,Peru,Puno,2020-12-06,18650,1467,0,17207,24,0,0.0013947811937002382,1.0,0.0,24,0.0
17,Peru,Puno,2020-12-26,19210,1515,0,17743,48,0,0.0027052922279208703,1.0,0.0,48,0.0
18,Peru,Puno,2021-01-15,19762,1580,0,18247,65,0,0.0035622294075738476,1.0,0.0,65,0.0
19,Peru,Puno,2021-02-04,21238,1796,0,19658,216,0,0.010987892969783294,1.0,0.0,216,0.0
20,Peru,Puno,2021-02-24,23501,2130,0,21705,334,0,0.01538815941027413,1.0,0.0,334,0.0
21,Peru,Puno,2021-03-16,24887,2371,0,22757,241,0,0.010590148086303116,1.0,0.0,241,0.0
22,Peru,Puno,2021-04-05,26335,2554,0,23964,183,0,0.007636454682023034,1.0,0.0,183,0.0
23,Peru,Puno,2021-04-25,28181,2769,0,25627,215,0,0.008389589105240567,1.0,0.0,215,0.0
24,Peru,Puno,2021-05-15,30335,3079,0,27566,310,0,0.011245737502720742,1.0,0.0,310,0.0
25,Peru,Puno,2021-06-04,32716,3370,0,29637,291,0,0.00981880757161656,1.0,0.0,291,0.0
26,Peru,Puno,2021-06-12,33469,3510,0,30099,140,0,0.004651317319512276,1.0,0.0,140,0.0
