Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Russia,Ivanovo Oblast,2020-06-09,2930,25,1196,2930,25,1196,0.4167235494880546,0.020475020475020474,0.9795249795249795,1221,
8,Russia,Ivanovo Oblast,2020-06-29,4621,43,2869,3400,18,1673,0.4973529411764706,0.010644589000591367,0.9893554109994086,1691,0.00983043147442908
9,Russia,Ivanovo Oblast,2020-07-19,5938,64,4241,3026,21,1372,0.46034368803701253,0.01507537688442211,0.9849246231155779,1393,-0.004430787883830667
10,Russia,Ivanovo Oblast,2020-08-08,6623,107,5350,2318,43,1109,0.4969801553062985,0.03732638888888889,0.9626736111111112,1152,-0.022251012004466775
11,Russia,Ivanovo Oblast,2020-08-28,7285,117,6060,1828,10,710,0.3938730853391685,0.013888888888888888,0.9861111111111112,720,0.0234375
12,Russia,Ivanovo Oblast,2020-09-17,8096,128,6650,1919,11,590,0.3131839499739448,0.018302828618968387,0.9816971713810316,601,-0.00441393973007953
13,Russia,Ivanovo Oblast,2020-10-07,9151,141,7181,2373,13,531,0.2292456805731142,0.02389705882352941,0.9761029411764706,544,-0.005594230204561068
14,Russia,Ivanovo Oblast,2020-10-27,11019,166,8122,3697,25,941,0.26129294022180144,0.025879917184265012,0.974120082815735,966,-0.001982858360735529
15,Russia,Ivanovo Oblast,2020-11-16,13646,203,9524,5358,37,1402,0.26857036207540125,0.02571230020847811,0.9742876997915219,1439,0.00016761697578682178
16,Russia,Ivanovo Oblast,2020-12-06,16796,281,12203,7069,78,2679,0.3900127316452115,0.028291621327529923,0.9717083786724701,2757,-0.0025793211190517917
17,Russia,Ivanovo Oblast,2020-12-26,20315,477,15457,7831,196,3254,0.4405567615885583,0.05681159420289855,0.9431884057971015,3450,-0.02851997287536856
18,Russia,Ivanovo Oblast,2021-01-15,23980,634,19191,8046,157,3734,0.4835943325876212,0.04034952454381907,0.959650475456181,3891,0.01646206965907948
19,Russia,Ivanovo Oblast,2021-02-04,27434,782,24182,7609,148,4991,0.6753844131949007,0.02879937731076085,0.9712006226892391,5139,0.011550147233058139
20,Russia,Ivanovo Oblast,2021-02-24,30204,901,27892,5240,119,3710,0.7307251908396947,0.031078610603290677,0.9689213893967094,3829,-0.00227923329252977
21,Russia,Ivanovo Oblast,2021-03-16,31578,986,29823,2785,85,1931,0.7238779174147217,0.042162698412698416,0.9578373015873016,2016,-0.011084087809407728
22,Russia,Ivanovo Oblast,2021-04-05,32877,1057,31443,2068,71,1620,0.8176982591876208,0.041986989946777055,0.9580130100532229,1691,0.00017570846592129818
23,Russia,Ivanovo Oblast,2021-04-25,34113,1136,32410,1613,79,967,0.6484810911345319,0.07552581261950286,0.9244741873804971,1046,-0.03353882267272579
24,Russia,Ivanovo Oblast,2021-05-15,35328,1175,33345,1782,39,935,0.5465768799102132,0.04004106776180698,0.9599589322381931,974,0.03548474485769593
25,Russia,Ivanovo Oblast,2021-06-04,36515,1223,34533,1995,48,1188,0.6195488721804512,0.038834951456310676,0.9611650485436893,1236,0.0012061163054962742
26,Russia,Ivanovo Oblast,2021-06-24,37759,1272,35577,2003,49,1044,0.545681477783325,0.04483074107959744,0.9551692589204026,1093,-0.005995789623286729
27,Russia,Ivanovo Oblast,2021-07-14,39519,1336,36818,2670,64,1241,0.4887640449438202,0.04904214559386973,0.9509578544061302,1305,-0.004211404514272377
28,Russia,Ivanovo Oblast,2021-07-24,40595,1367,37651,2441,31,833,0.35395329782875873,0.03587962962962963,0.9641203703703703,864,0.013162515964240118
