Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Russia,Kostroma Oblast,2020-06-09,953,12,506,953,12,506,0.5435466946484785,0.023166023166023165,0.9768339768339769,518,
8,Russia,Kostroma Oblast,2020-06-29,1565,17,879,1047,5,373,0.36103151862464183,0.013227513227513227,0.9867724867724867,378,0.009938509938509865
9,Russia,Kostroma Oblast,2020-07-19,1963,24,1322,1067,7,443,0.4217432052483599,0.015555555555555555,0.9844444444444445,450,-0.00232804232804229
10,Russia,Kostroma Oblast,2020-08-08,2511,27,1847,1165,3,525,0.4532188841201717,0.005681818181818182,0.9943181818181818,528,0.009873737373737312
11,Russia,Kostroma Oblast,2020-08-28,3429,40,2424,1555,13,577,0.37942122186495175,0.022033898305084745,0.9779661016949153,590,-0.0163520801232665
12,Russia,Kostroma Oblast,2020-09-17,4203,58,3089,1739,18,665,0.3927544565842438,0.02635431918008785,0.9736456808199122,683,-0.0043204208750030615
13,Russia,Kostroma Oblast,2020-10-07,5160,79,3620,2013,21,531,0.27421758569299554,0.03804347826086957,0.9619565217391305,552,-0.01168915908078172
14,Russia,Kostroma Oblast,2020-10-27,6885,96,4616,3186,17,996,0.3179535467671061,0.01678183613030602,0.983218163869694,1013,0.021261642130563474
15,Russia,Kostroma Oblast,2020-11-16,9464,165,5779,4752,69,1163,0.25925925925925924,0.056006493506493504,0.9439935064935064,1232,-0.03922465737618752
16,Russia,Kostroma Oblast,2020-12-06,12207,196,8788,6263,31,3009,0.4853903879929746,0.010197368421052632,0.9898026315789473,3040,0.04580912508544088
17,Russia,Kostroma Oblast,2020-12-26,14468,214,10860,5484,18,2072,0.3811086797957695,0.00861244019138756,0.9913875598086125,2090,0.0015849282296651612
18,Russia,Kostroma Oblast,2021-01-15,16093,258,12553,5019,44,1693,0.3460848774656306,0.025331030512377662,0.9746689694876224,1737,-0.0167185903209901
19,Russia,Kostroma Oblast,2021-02-04,17225,300,14082,4414,42,1529,0.35591300407793386,0.02673456397199236,0.9732654360280076,1571,-0.0014035334596147475
20,Russia,Kostroma Oblast,2021-02-07,17389,313,14267,3007,13,185,0.0658463584968407,0.06565656565656566,0.9343434343434344,198,-0.03892200168457327
