Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Russia,Tver Oblast,2020-06-09,2231,44,1478,2231,44,1478,0.6822052891080234,0.02890932982917214,0.9710906701708278,1522,
8,Russia,Tver Oblast,2020-06-29,3574,68,2343,2052,24,865,0.43323586744639375,0.02699662542182227,0.9730033745781778,889,0.0019127044073499189
9,Russia,Tver Oblast,2020-07-19,4263,116,3736,1852,48,1393,0.7780777537796977,0.033310201249132546,0.9666897987508675,1441,-0.0063135758273102915
10,Russia,Tver Oblast,2020-08-08,4818,156,3923,966,40,187,0.2349896480331263,0.1762114537444934,0.8237885462555066,227,-0.1429012524953609
11,Russia,Tver Oblast,2020-08-28,5333,187,4152,1254,31,229,0.20733652312599682,0.11923076923076924,0.8807692307692307,260,0.05698068451372418
12,Russia,Tver Oblast,2020-09-17,5804,221,4387,1465,34,235,0.18361774744027304,0.12639405204460966,0.8736059479553904,269,-0.007163282813840377
13,Russia,Tver Oblast,2020-10-07,6791,263,4640,2183,42,253,0.13513513513513514,0.1423728813559322,0.8576271186440678,295,-0.01597882931132255
14,Russia,Tver Oblast,2020-10-27,8997,304,5204,4094,41,564,0.14777723497801662,0.06776859504132231,0.9322314049586777,605,0.07460428631460991
15,Russia,Tver Oblast,2020-11-16,12387,353,7243,6879,49,2039,0.30353249018752726,0.02346743295019157,0.9765325670498084,2088,0.044301162091130664
16,Russia,Tver Oblast,2020-12-06,16446,400,11028,8850,47,3785,0.4329943502824859,0.012265135699373696,0.9877348643006263,3832,0.011202297250817894
17,Russia,Tver Oblast,2020-12-26,21082,444,16446,9654,44,5418,0.565775844209654,0.008055657268399853,0.9919443427316001,5462,0.004209478430973856
18,Russia,Tver Oblast,2021-01-15,25684,484,21071,8794,40,4625,0.5304753240846032,0.00857449088960343,0.9914255091103966,4665,-0.0005188336212035294
19,Russia,Tver Oblast,2021-01-19,26580,490,21974,5025,6,903,0.1808955223880597,0.006600660066006601,0.9933993399339934,909,0.0019738308235968116
