Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Russia,Tyumen Oblast,2020-06-09,1981,12,1084,1981,12,1084,0.5532559313478042,0.010948905109489052,0.9890510948905109,1096,
8,Russia,Tyumen Oblast,2020-06-29,3018,17,1756,1922,5,672,0.3522372528616025,0.007385524372230428,0.9926144756277696,677,0.0035633807372587034
9,Russia,Tyumen Oblast,2020-07-19,4667,22,3023,2894,5,1267,0.4395300621976503,0.003930817610062893,0.9960691823899371,1272,0.0034547067621675254
10,Russia,Tyumen Oblast,2020-08-08,6507,28,5703,3462,6,2680,0.7758521086077412,0.0022338049143708115,0.9977661950856291,2686,0.0016970126956920017
11,Russia,Tyumen Oblast,2020-08-28,7623,30,6939,1892,2,1236,0.6543340380549683,0.0016155088852988692,0.9983844911147012,1238,0.0006182960290720407
12,Russia,Tyumen Oblast,2020-09-17,8631,32,7352,1662,2,413,0.2496991576413959,0.004819277108433735,0.9951807228915662,415,-0.0032037682231349507
13,Russia,Tyumen Oblast,2020-10-07,10162,42,7786,2778,10,434,0.15982721382289417,0.02252252252252252,0.9774774774774775,444,-0.017703245414088742
14,Russia,Tyumen Oblast,2020-10-27,12830,62,8475,5002,20,689,0.14174330267892843,0.028208744710860368,0.9717912552891397,709,-0.005686222188337808
15,Russia,Tyumen Oblast,2020-11-16,15907,107,10436,7370,45,1961,0.27218453188602443,0.02243270189431705,0.977567298105683,2006,0.005776042816543314
16,Russia,Tyumen Oblast,2020-12-06,19241,142,16688,8698,35,6252,0.7228098413428374,0.005567043104819469,0.9944329568951805,6287,0.01686565878949753
17,Russia,Tyumen Oblast,2020-12-26,22579,192,21188,5749,50,4500,0.7914419899112889,0.01098901098901099,0.989010989010989,4550,-0.00542196788419147
18,Russia,Tyumen Oblast,2021-01-15,25735,226,24163,4355,34,2975,0.6909299655568313,0.011299435028248588,0.9887005649717514,3009,-0.0003104240392376445
19,Russia,Tyumen Oblast,2021-02-04,28779,253,26988,4390,27,2825,0.6496583143507972,0.009467040673211781,0.9905329593267882,2852,0.0018323943550367927
20,Russia,Tyumen Oblast,2021-02-24,30969,277,29107,3728,24,2119,0.5748390557939914,0.011199253383107793,0.9888007466168922,2143,-0.001732212709895986
21,Russia,Tyumen Oblast,2021-03-16,32577,339,30715,3193,62,1608,0.5230191042906358,0.037125748502994015,0.962874251497006,1670,-0.025926495119886206
22,Russia,Tyumen Oblast,2021-03-24,33167,358,31227,2113,19,512,0.2513014671083767,0.035781544256120526,0.9642184557438794,531,0.001344204246873426
