Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,US,Missouri,2020-04-30,7818,350,0,7818,350,0,0.04476848298797646,1.0,0.0,350,
6,US,Missouri,2020-05-20,11528,640,,11178,290,,,,,,
7,US,Missouri,2020-06-09,15352,845,,,205,,,,,,
8,US,Missouri,2020-06-29,20825,1004,,,159,,,,,,
9,US,Missouri,2020-07-19,33521,1136,,,132,,,,,,
10,US,Missouri,2020-08-08,58021,1327,,,191,,,,,,
11,US,Missouri,2020-08-28,81672,1500,,,173,,,,,,
12,US,Missouri,2020-09-17,109557,1782,,,282,,,,,,
13,US,Missouri,2020-10-07,137420,2238,,,456,,,,,,
14,US,Missouri,2020-10-27,175130,2855,,,617,,,,,,
15,US,Missouri,2020-11-16,248715,3402,,,547,,,,,,
16,US,Missouri,2020-12-06,329420,4284,,,882,,,,,,
17,US,Missouri,2020-12-16,361888,4900,,,616,,,,,,
