Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,US,West Virginia,2020-04-30,1125,41,545,1125,41,545,0.5208888888888888,0.06996587030716724,0.9300341296928327,586,
6,US,West Virginia,2020-05-20,1567,69,950,981,28,405,0.4413863404689093,0.06466512702078522,0.9353348729792148,433,0.005300743286382081
7,US,West Virginia,2020-06-09,2169,84,1477,1150,15,527,0.47130434782608693,0.027675276752767528,0.9723247232472325,542,0.03698985026801771
8,US,West Virginia,2020-06-29,2870,93,2196,1309,9,719,0.5561497326203209,0.012362637362637362,0.9876373626373627,728,0.015312639390130167
9,US,West Virginia,2020-07-19,4990,100,3373,2701,7,1177,0.4383561643835616,0.0059121621621621625,0.9940878378378378,1184,0.0064504752004751476
10,US,West Virginia,2020-08-08,7563,131,5609,4090,31,2236,0.554278728606357,0.013674459638288486,0.9863255403617115,2267,-0.007762297476126334
11,US,West Virginia,2020-08-28,9826,201,7859,4086,70,2250,0.5677924620655899,0.03017241379310345,0.9698275862068966,2320,-0.01649795415481492
12,US,West Virginia,2020-09-17,13434,297,9804,5374,96,1945,0.37979158913286193,0.04703576678098971,0.9529642332190102,2041,-0.016863352987886326
13,US,West Virginia,2020-10-07,17150,375,12443,7049,78,2639,0.38544474393531,0.028708133971291867,0.9712918660287081,2717,0.018327632809697847
14,US,West Virginia,2020-10-27,22710,434,17846,9892,59,5403,0.552163364334816,0.010801904064445257,0.9891980959355547,5462,0.01790622990684665
15,US,West Virginia,2020-11-16,34460,585,23498,16180,151,5652,0.35865265760197773,0.026021023608478373,0.9739789763915216,5803,-0.0152191195440331
16,US,West Virginia,2020-12-06,54997,838,35082,30914,253,11584,0.3829009510254254,0.02137365886626679,0.9786263411337333,11837,0.004647364742211613
17,US,West Virginia,2020-12-26,80177,1253,54295,44257,415,19213,0.443500463203561,0.021143264723863867,0.9788567352761361,19628,0.0002303941424028899
18,US,West Virginia,2021-01-15,106649,1733,77900,51101,480,23605,0.47132150055771904,0.019929416649366826,0.9800705833506331,24085,0.0012138480744969815
19,US,West Virginia,2021-02-04,123044,2080,102495,43411,347,24595,0.5745548363318053,0.013912276481436933,0.9860877235185631,24942,0.00601714016792998
20,US,West Virginia,2021-02-24,130382,2285,120030,25807,205,17535,0.6874103925291588,0.011555806087936866,0.9884441939120632,17740,0.0023564703935000653
21,US,West Virginia,2021-03-15,135678,2531,,13363,246,,,,,,
