Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Bahrain,,2020-02-25,23,0,0,23,0,0,0.0,,,0,
8,Bahrain,,2020-03-01,47,0,0,47,0,0,0.0,,,0,
9,Bahrain,,2020-03-06,60,0,4,60,0,4,0.06666666666666667,0.0,1.0,4,
10,Bahrain,,2020-03-11,195,0,35,191,0,31,0.16230366492146597,0.0,1.0,31,0.0
11,Bahrain,,2020-03-16,214,1,77,179,1,42,0.24022346368715083,0.023255813953488372,0.9767441860465116,43,-0.023255813953488413
12,Bahrain,,2020-03-21,305,1,125,227,0,48,0.21145374449339208,0.0,1.0,48,0.023255813953488413
13,Bahrain,,2020-03-26,458,4,204,332,3,79,0.2469879518072289,0.036585365853658534,0.9634146341463414,82,-0.03658536585365857
14,Bahrain,,2020-03-31,567,4,295,359,0,91,0.25348189415041783,0.0,1.0,91,0.03658536585365857
15,Bahrain,,2020-04-05,700,4,431,401,0,136,0.33915211970074816,0.0,1.0,136,0.0
16,Bahrain,,2020-04-10,925,6,539,490,2,108,0.22448979591836735,0.01818181818181818,0.9818181818181818,110,-0.018181818181818188
17,Bahrain,,2020-04-15,1671,7,663,1126,1,124,0.11101243339253997,0.008,0.992,125,0.01018181818181818
18,Bahrain,,2020-04-20,1907,7,769,1237,0,106,0.0856911883589329,0.0,1.0,106,0.008000000000000007
19,Bahrain,,2020-04-25,2588,8,1160,1812,1,391,0.2163355408388521,0.002551020408163265,0.9974489795918368,392,-0.0025510204081632404
20,Bahrain,,2020-04-30,3040,8,1500,1872,0,340,0.18162393162393162,0.0,1.0,340,0.0025510204081632404
21,Bahrain,,2020-05-05,3720,8,1762,2212,0,262,0.11844484629294756,0.0,1.0,262,0.0
22,Bahrain,,2020-05-10,4941,8,2070,3171,0,308,0.09713024282560706,0.0,1.0,308,0.0
23,Bahrain,,2020-05-15,6583,12,2640,4505,4,570,0.1274139844617092,0.006968641114982578,0.9930313588850174,574,-0.006968641114982632
24,Bahrain,,2020-05-20,7888,12,3568,5236,0,928,0.17723453017570664,0.0,1.0,928,0.006968641114982632
25,Bahrain,,2020-05-25,9171,14,4753,5591,2,1185,0.21230549096762655,0.0016849199663016006,0.9983150800336984,1187,-0.0016849199663016012
26,Bahrain,,2020-05-30,10793,17,5826,6026,3,1073,0.17855957517424495,0.0027881040892193307,0.9972118959107806,1076,-0.0011031841229177664
27,Bahrain,,2020-06-04,13296,21,7728,7453,4,1902,0.2557359452569435,0.002098635886673662,0.9979013641133263,1906,0.0006894682025456733
28,Bahrain,,2020-06-09,15731,29,10606,7982,8,2878,0.36156351791530944,0.002772002772002772,0.9972279972279973,2886,-0.0006733668853290409
29,Bahrain,,2020-06-14,18227,42,12818,7592,13,2212,0.29307165437302424,0.005842696629213483,0.9941573033707866,2225,-0.0030706938572107045
30,Bahrain,,2020-06-19,20916,57,15287,8056,15,2469,0.3083416087388282,0.006038647342995169,0.9939613526570048,2484,-0.00019595071378175621
31,Bahrain,,2020-06-24,23570,69,17977,8226,12,2690,0.32847070265013373,0.0044411547002220575,0.9955588452997779,2702,0.0015974926427730907
32,Bahrain,,2020-06-29,26239,84,20928,8193,15,2951,0.3620163554253631,0.0050573162508428865,0.9949426837491571,2966,-0.0006161615506208307
33,Bahrain,,2020-07-04,28857,96,23959,7845,12,3031,0.38789037603569154,0.003943476832073612,0.9960565231679264,3043,0.0011138394187693024
34,Bahrain,,2020-07-09,31528,103,26520,7473,7,2561,0.3436370935367322,0.0027258566978193145,0.9972741433021807,2568,0.0012176201342543047
35,Bahrain,,2020-07-14,34078,111,29753,7455,8,3233,0.4347417840375587,0.002468373958654736,0.9975316260413453,3241,0.00025748273916459397
36,Bahrain,,2020-07-19,36422,126,32372,6558,15,2619,0.40164684354986274,0.0056947608200455585,0.9943052391799544,2634,-0.003226386861390873
37,Bahrain,,2020-07-24,38458,136,34826,5960,10,2454,0.4134228187919463,0.004058441558441558,0.9959415584415584,2464,0.0016363192616040134
38,Bahrain,,2020-07-29,40311,144,36920,5349,8,2094,0.3929706487193868,0.003805899143672693,0.9961941008563273,2102,0.00025254241476890815
39,Bahrain,,2020-08-03,41835,150,39007,4771,6,2087,0.43869209809264303,0.002866698518872432,0.9971333014811276,2093,0.0009392006248002405
40,Bahrain,,2020-08-08,43629,161,40549,4472,11,1542,0.34727191413237923,0.0070830650354153256,0.9929169349645847,1553,-0.004216366516542891
41,Bahrain,,2020-08-13,45726,167,42180,5016,6,1631,0.3263556618819777,0.0036652412950519244,0.996334758704948,1637,0.0034178237403633682
42,Bahrain,,2020-08-18,47581,175,43921,5234,8,1741,0.33416125334352315,0.004574042309891366,0.9954259576901087,1749,-0.0009088010148393666
43,Bahrain,,2020-08-23,49330,184,45981,5234,9,2060,0.39529996178830723,0.0043499275012083135,0.9956500724987917,2069,0.00022411480868300693
44,Bahrain,,2020-08-28,51113,189,47760,4948,5,1779,0.3605497170573969,0.002802690582959641,0.9971973094170403,1784,0.0015472369182486512
45,Bahrain,,2020-09-02,52807,190,49645,4858,1,1885,0.38822560724578015,0.0005302226935312832,0.9994697773064687,1886,0.0022724678894283645
46,Bahrain,,2020-09-07,56076,200,51240,6241,10,1595,0.25717032526838646,0.006230529595015576,0.9937694704049844,1605,-0.0057003069014842644
47,Bahrain,,2020-09-12,59586,211,53192,8146,11,1952,0.24097716670758654,0.0056036678553234845,0.9943963321446765,1963,0.0006268617396920639
48,Bahrain,,2020-09-17,63189,217,56087,9786,6,2895,0.2964438994481913,0.002068252326783868,0.9979317476732161,2901,0.0035354155285396427
49,Bahrain,,2020-09-22,66402,227,59367,10098,10,3280,0.32580709051297285,0.00303951367781155,0.9969604863221885,3290,-0.0009712613510276524
50,Bahrain,,2020-09-27,69361,242,62887,9767,15,3520,0.36193303982799224,0.004243281471004243,0.9957567185289957,3535,-0.001203767793192756
51,Bahrain,,2020-10-02,71803,255,66184,8674,13,3297,0.38160018445930366,0.00392749244712991,0.9960725075528701,3310,0.0003157890238744132
52,Bahrain,,2020-10-07,73932,262,69411,7493,7,3227,0.43160282930735355,0.0021645021645021645,0.9978354978354979,3234,0.0017629902826277188
53,Bahrain,,2020-10-12,75948,280,71687,6275,18,2276,0.3655776892430279,0.007846556233653008,0.992153443766347,2294,-0.005682054069150899
54,Bahrain,,2020-10-17,77571,293,73841,5604,13,2154,0.38668807994289794,0.005999077065066913,0.9940009229349331,2167,0.0018474791685861858
55,Bahrain,,2020-10-22,79211,308,75840,5077,15,1999,0.3966909592278905,0.007447864945382324,0.9925521350546177,2014,-0.0014487878803154386
56,Bahrain,,2020-10-27,80765,316,77421,4617,8,1581,0.344162876326619,0.005034612964128383,0.9949653870358716,1589,0.002413251981253861
57,Bahrain,,2020-11-01,81923,321,78997,4186,5,1576,0.3776875298614429,0.0031625553447185324,0.9968374446552815,1581,0.0018720576194098948
58,Bahrain,,2020-11-06,83023,328,80526,3705,7,1529,0.4145748987854251,0.004557291666666667,0.9954427083333334,1536,-0.0013947363219480868
59,Bahrain,,2020-11-11,84042,332,81658,3188,4,1132,0.35633626097867,0.0035211267605633804,0.9964788732394366,1136,0.001036164906103254
60,Bahrain,,2020-11-16,84882,337,82680,2892,5,1022,0.3551175656984786,0.004868549172346641,0.9951314508276533,1027,-0.0013474224117833167
61,Bahrain,,2020-11-21,85591,338,83617,2574,1,937,0.3644133644133644,0.0010660980810234541,0.9989339019189766,938,0.0038024510913232668
62,Bahrain,,2020-11-26,86347,341,84510,2392,3,893,0.3745819397993311,0.0033482142857142855,0.9966517857142857,896,-0.002282116204690876
63,Bahrain,,2020-12-01,87137,341,85357,2286,0,847,0.3705161854768154,0.0,1.0,847,0.0033482142857143016
64,Bahrain,,2020-12-06,87930,341,86030,2232,0,673,0.3015232974910394,0.0,1.0,673,0.0
65,Bahrain,,2020-12-11,88820,347,86867,2449,6,837,0.3442221314822376,0.0071174377224199285,0.9928825622775801,843,-0.007117437722419906
