Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
14,Burundi,,2020-03-31,2,0,0,2,0,0,0.0,,,0,
15,Burundi,,2020-04-05,3,0,0,3,0,0,0.0,,,0,
16,Burundi,,2020-04-10,3,0,0,3,0,0,0.0,,,0,
17,Burundi,,2020-04-15,5,1,0,5,1,0,0.2,1.0,0.0,1,
18,Burundi,,2020-04-20,5,1,4,4,0,4,1.0,0.0,1.0,4,1.0
19,Burundi,,2020-04-25,11,1,4,6,0,0,0.0,,,0,
20,Burundi,,2020-04-30,11,1,4,6,0,0,0.0,,,0,
21,Burundi,,2020-05-05,15,1,7,10,0,3,0.3,0.0,1.0,3,
22,Burundi,,2020-05-10,15,1,7,7,0,0,0.0,,,0,
23,Burundi,,2020-05-15,15,1,7,7,0,0,0.0,,,0,
24,Burundi,,2020-05-20,42,1,20,34,0,13,0.38235294117647056,0.0,1.0,13,
25,Burundi,,2020-05-25,42,1,20,21,0,0,0.0,,,0,
26,Burundi,,2020-05-30,63,1,33,42,0,13,0.30952380952380953,0.0,1.0,13,
27,Burundi,,2020-06-04,63,1,33,29,0,0,0.0,,,0,
28,Burundi,,2020-06-09,83,1,45,49,0,12,0.24489795918367346,0.0,1.0,12,
29,Burundi,,2020-06-14,85,1,45,39,0,0,0.0,,,0,
30,Burundi,,2020-06-19,104,1,75,58,0,30,0.5172413793103449,0.0,1.0,30,
31,Burundi,,2020-06-24,144,1,93,68,0,18,0.2647058823529412,0.0,1.0,18,0.0
32,Burundi,,2020-06-29,170,1,115,76,0,22,0.2894736842105263,0.0,1.0,22,0.0
33,Burundi,,2020-07-04,191,1,118,75,0,3,0.04,0.0,1.0,3,0.0
34,Burundi,,2020-07-09,191,1,118,72,0,0,0.0,,,0,
35,Burundi,,2020-07-14,269,1,207,150,0,89,0.5933333333333334,0.0,1.0,89,
36,Burundi,,2020-07-19,310,1,207,102,0,0,0.0,,,0,
37,Burundi,,2020-07-24,345,1,270,137,0,63,0.45985401459854014,0.0,1.0,63,
38,Burundi,,2020-07-29,387,1,304,116,0,34,0.29310344827586204,0.0,1.0,34,0.0
39,Burundi,,2020-08-03,395,1,304,90,0,0,0.0,,,0,
40,Burundi,,2020-08-08,405,1,312,100,0,8,0.08,0.0,1.0,8,
41,Burundi,,2020-08-13,410,1,315,97,0,3,0.030927835051546393,0.0,1.0,3,0.0
42,Burundi,,2020-08-18,416,1,336,100,0,21,0.21,0.0,1.0,21,0.0
43,Burundi,,2020-08-23,430,1,336,93,0,0,0.0,,,0,
