Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
1,China,Guizhou,2020-01-26,5,,,5,,,,,,,
2,China,Guizhou,2020-01-31,29,,2,,,,,,,,
3,China,Guizhou,2020-02-05,64,1,9,,,7,,,,,
4,China,Guizhou,2020-02-10,109,1,10,99,0,1,0.010101010101010102,0.0,1.0,1,
5,China,Guizhou,2020-02-15,143,1,41,132,0,31,0.23484848484848486,0.0,1.0,31,0.0
6,China,Guizhou,2020-02-20,146,2,72,104,1,31,0.3076923076923077,0.03125,0.96875,32,-0.03125
7,China,Guizhou,2020-02-25,146,2,104,72,0,32,0.4444444444444444,0.0,1.0,32,0.03125
8,China,Guizhou,2020-03-01,146,2,112,40,0,8,0.2,0.0,1.0,8,0.0
9,China,Guizhou,2020-03-06,146,2,114,32,0,2,0.0625,0.0,1.0,2,0.0
10,China,Guizhou,2020-03-11,146,2,133,30,0,19,0.6333333333333333,0.0,1.0,19,0.0
11,China,Guizhou,2020-03-16,146,2,144,11,0,11,1.0,0.0,1.0,11,0.0
12,China,Guizhou,2020-03-21,146,2,144,0,0,0,,,,0,
13,China,Guizhou,2020-03-26,146,2,144,0,0,0,,,,0,
14,China,Guizhou,2020-03-31,146,2,144,0,0,0,,,,0,
15,China,Guizhou,2020-04-05,146,2,144,0,0,0,,,,0,
16,China,Guizhou,2020-04-10,146,2,144,0,0,0,,,,0,
17,China,Guizhou,2020-04-15,146,2,144,0,0,0,,,,0,
18,China,Guizhou,2020-04-20,147,2,145,1,0,1,1.0,0.0,1.0,1,
19,China,Guizhou,2020-04-25,147,2,145,0,0,0,,,,0,
20,China,Guizhou,2020-04-30,147,2,145,0,0,0,,,,0,
21,China,Guizhou,2020-05-05,147,2,145,0,0,0,,,,0,
22,China,Guizhou,2020-05-10,147,2,145,0,0,0,,,,0,
23,China,Guizhou,2020-05-15,147,2,145,0,0,0,,,,0,
24,China,Guizhou,2020-05-20,147,2,145,0,0,0,,,,0,
25,China,Guizhou,2020-05-25,147,2,145,0,0,0,,,,0,
26,China,Guizhou,2020-05-30,147,2,145,0,0,0,,,,0,
27,China,Guizhou,2020-06-04,147,2,145,0,0,0,,,,0,
28,China,Guizhou,2020-06-09,147,2,145,0,0,0,,,,0,
29,China,Guizhou,2020-06-14,147,2,145,0,0,0,,,,0,
30,China,Guizhou,2020-06-19,147,2,145,0,0,0,,,,0,
31,China,Guizhou,2020-06-24,147,2,145,0,0,0,,,,0,
32,China,Guizhou,2020-06-29,147,2,145,0,0,0,,,,0,
33,China,Guizhou,2020-07-04,147,2,145,0,0,0,,,,0,
34,China,Guizhou,2020-07-09,147,2,145,0,0,0,,,,0,
35,China,Guizhou,2020-07-14,147,2,145,0,0,0,,,,0,
36,China,Guizhou,2020-07-19,147,2,145,0,0,0,,,,0,
37,China,Guizhou,2020-07-24,147,2,145,0,0,0,,,,0,
38,China,Guizhou,2020-07-29,147,2,145,0,0,0,,,,0,
39,China,Guizhou,2020-08-03,147,2,145,0,0,0,,,,0,
40,China,Guizhou,2020-08-08,147,2,145,0,0,0,,,,0,
41,China,Guizhou,2020-08-13,147,2,145,0,0,0,,,,0,
42,China,Guizhou,2020-08-18,147,2,145,0,0,0,,,,0,
43,China,Guizhou,2020-08-23,147,2,145,0,0,0,,,,0,
44,China,Guizhou,2020-08-28,147,2,145,0,0,0,,,,0,
45,China,Guizhou,2020-09-02,147,2,145,0,0,0,,,,0,
46,China,Guizhou,2020-09-07,147,2,145,0,0,0,,,,0,
47,China,Guizhou,2020-09-12,147,2,145,0,0,0,,,,0,
48,China,Guizhou,2020-09-17,147,2,145,0,0,0,,,,0,
49,China,Guizhou,2020-09-22,147,2,145,0,0,0,,,,0,
50,China,Guizhou,2020-09-27,147,2,145,0,0,0,,,,0,
51,China,Guizhou,2020-10-02,147,2,145,0,0,0,,,,0,
52,China,Guizhou,2020-10-07,147,2,145,0,0,0,,,,0,
53,China,Guizhou,2020-10-12,147,2,145,0,0,0,,,,0,
54,China,Guizhou,2020-10-17,147,2,145,0,0,0,,,,0,
55,China,Guizhou,2020-10-22,147,2,145,0,0,0,,,,0,
56,China,Guizhou,2020-10-27,147,2,145,0,0,0,,,,0,
57,China,Guizhou,2020-11-01,147,2,145,0,0,0,,,,0,
58,China,Guizhou,2020-11-06,147,2,145,0,0,0,,,,0,
59,China,Guizhou,2020-11-11,147,2,145,0,0,0,,,,0,
60,China,Guizhou,2020-11-16,147,2,145,0,0,0,,,,0,
61,China,Guizhou,2020-11-21,147,2,145,0,0,0,,,,0,
62,China,Guizhou,2020-11-26,147,2,145,0,0,0,,,,0,
63,China,Guizhou,2020-12-01,147,2,145,0,0,0,,,,0,
64,China,Guizhou,2020-12-06,147,2,145,0,0,0,,,,0,
65,China,Guizhou,2020-12-11,147,2,145,0,0,0,,,,0,
66,China,Guizhou,2020-12-16,147,2,145,0,0,0,,,,0,
67,China,Guizhou,2020-12-21,147,2,145,0,0,0,,,,0,
68,China,Guizhou,2020-12-26,147,2,145,0,0,0,,,,0,
69,China,Guizhou,2020-12-31,147,2,145,0,0,0,,,,0,
70,China,Guizhou,2021-01-05,147,2,145,0,0,0,,,,0,
71,China,Guizhou,2021-01-10,147,2,145,0,0,0,,,,0,
72,China,Guizhou,2021-01-15,147,2,145,0,0,0,,,,0,
73,China,Guizhou,2021-01-20,147,2,145,0,0,0,,,,0,
74,China,Guizhou,2021-01-25,147,2,145,0,0,0,,,,0,
75,China,Guizhou,2021-01-30,147,2,145,0,0,0,,,,0,
76,China,Guizhou,2021-02-04,147,2,145,0,0,0,,,,0,
77,China,Guizhou,2021-02-09,147,2,145,0,0,0,,,,0,
78,China,Guizhou,2021-02-14,147,2,145,0,0,0,,,,0,
79,China,Guizhou,2021-02-19,147,2,145,0,0,0,,,,0,
80,China,Guizhou,2021-02-24,147,2,145,0,0,0,,,,0,
81,China,Guizhou,2021-03-01,147,2,145,0,0,0,,,,0,
82,China,Guizhou,2021-03-06,147,2,145,0,0,0,,,,0,
83,China,Guizhou,2021-03-11,147,2,145,0,0,0,,,,0,
84,China,Guizhou,2021-03-16,147,2,145,0,0,0,,,,0,
85,China,Guizhou,2021-03-21,147,2,145,0,0,0,,,,0,
86,China,Guizhou,2021-03-26,147,2,145,0,0,0,,,,0,
87,China,Guizhou,2021-03-31,147,2,145,0,0,0,,,,0,
88,China,Guizhou,2021-04-05,147,2,145,0,0,0,,,,0,
