Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
26,Colombia,Caldas,2020-05-30,135,6,87,135,6,87,0.6888888888888889,0.06451612903225806,0.9354838709677419,93,
27,Colombia,Caldas,2020-06-04,156,6,105,63,0,18,0.2857142857142857,0.0,1.0,18,0.06451612903225812
28,Colombia,Caldas,2020-06-09,175,8,117,64,2,12,0.21875,0.14285714285714285,0.8571428571428571,14,-0.1428571428571429
29,Colombia,Caldas,2020-06-14,191,8,130,66,0,13,0.19696969696969696,0.0,1.0,13,0.1428571428571429
30,Colombia,Caldas,2020-06-19,207,8,132,69,0,2,0.028985507246376812,0.0,1.0,2,0.0
31,Colombia,Caldas,2020-06-24,237,8,147,97,0,15,0.15463917525773196,0.0,1.0,15,0.0
32,Colombia,Caldas,2020-06-29,254,8,165,99,0,18,0.18181818181818182,0.0,1.0,18,0.0
33,Colombia,Caldas,2020-07-04,267,8,183,94,0,18,0.19148936170212766,0.0,1.0,18,0.0
34,Colombia,Caldas,2020-07-09,279,8,205,88,0,22,0.25,0.0,1.0,22,0.0
35,Colombia,Caldas,2020-07-14,302,8,225,89,0,20,0.2247191011235955,0.0,1.0,20,0.0
36,Colombia,Caldas,2020-07-19,392,7,245,159,-1,20,0.11949685534591195,-0.05263157894736842,1.0526315789473684,19,0.05263157894736836
37,Colombia,Caldas,2020-07-24,583,7,258,331,0,13,0.03927492447129909,0.0,1.0,13,-0.05263157894736836
38,Colombia,Caldas,2020-07-29,793,10,283,528,3,25,0.05303030303030303,0.10714285714285714,0.8928571428571429,28,-0.1071428571428571
39,Colombia,Caldas,2020-08-03,1037,14,321,744,4,38,0.056451612903225805,0.09523809523809523,0.9047619047619048,42,0.011904761904761862
40,Colombia,Caldas,2020-08-08,1215,17,421,880,3,100,0.11704545454545455,0.02912621359223301,0.970873786407767,103,0.06611188164586224
41,Colombia,Caldas,2020-08-13,1485,22,570,1047,5,149,0.14708691499522444,0.032467532467532464,0.9675324675324676,154,-0.003341318875299426
42,Colombia,Caldas,2020-08-18,1737,27,921,1145,5,351,0.3109170305676856,0.014044943820224719,0.9859550561797753,356,0.018422588647307725
43,Colombia,Caldas,2020-08-23,2301,38,1165,1353,11,244,0.188470066518847,0.043137254901960784,0.9568627450980393,255,-0.029092311081736044
44,Colombia,Caldas,2020-08-28,2707,43,1504,1504,5,339,0.22872340425531915,0.014534883720930232,0.9854651162790697,344,0.028602371181030484
45,Colombia,Caldas,2020-09-02,3088,61,1906,1541,18,402,0.27255029201817,0.04285714285714286,0.9571428571428572,420,-0.028322259136212558
