Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
26,Colombia,Vichada,2020-05-30,1,0,0,1,0,0,0.0,,,0,
27,Colombia,Vichada,2020-06-04,1,0,0,1,0,0,0.0,,,0,
28,Colombia,Vichada,2020-06-09,1,0,0,1,0,0,0.0,,,0,
29,Colombia,Vichada,2020-06-14,1,0,1,1,0,1,1.0,0.0,1.0,1,
30,Colombia,Vichada,2020-06-19,1,0,1,0,0,0,,,,0,
31,Colombia,Vichada,2020-06-24,1,0,1,0,0,0,,,,0,
32,Colombia,Vichada,2020-06-29,1,0,1,0,0,0,,,,0,
33,Colombia,Vichada,2020-07-04,1,0,1,0,0,0,,,,0,
34,Colombia,Vichada,2020-07-09,1,0,1,0,0,0,,,,0,
35,Colombia,Vichada,2020-07-14,1,0,1,0,0,0,,,,0,
36,Colombia,Vichada,2020-07-19,2,0,1,1,0,0,0.0,,,0,
37,Colombia,Vichada,2020-07-24,2,0,1,1,0,0,0.0,,,0,
38,Colombia,Vichada,2020-07-29,2,0,1,1,0,0,0.0,,,0,
39,Colombia,Vichada,2020-08-03,7,0,1,6,0,0,0.0,,,0,
40,Colombia,Vichada,2020-08-08,5,0,1,4,0,0,0.0,,,0,
41,Colombia,Vichada,2020-08-13,6,0,2,5,0,1,0.2,0.0,1.0,1,
42,Colombia,Vichada,2020-08-18,14,0,5,12,0,3,0.25,0.0,1.0,3,0.0
43,Colombia,Vichada,2020-08-23,21,1,5,16,1,0,0.0625,1.0,0.0,1,-1.0
44,Colombia,Vichada,2020-08-28,21,1,5,15,0,0,0.0,,,0,
45,Colombia,Vichada,2020-09-02,121,3,23,115,2,18,0.17391304347826086,0.1,0.9,20,
46,Colombia,Vichada,2020-09-07,135,3,98,109,0,75,0.6880733944954128,0.0,1.0,75,0.09999999999999998
47,Colombia,Vichada,2020-09-12,223,4,193,122,1,95,0.7868852459016393,0.010416666666666666,0.9895833333333334,96,-0.01041666666666663
48,Colombia,Vichada,2020-09-17,339,4,213,142,0,20,0.14084507042253522,0.0,1.0,20,0.01041666666666663
49,Colombia,Vichada,2020-09-22,455,4,278,238,0,65,0.27310924369747897,0.0,1.0,65,0.0
50,Colombia,Vichada,2020-09-27,479,4,444,197,0,166,0.8426395939086294,0.0,1.0,166,0.0
51,Colombia,Vichada,2020-10-02,533,5,506,85,1,62,0.7411764705882353,0.015873015873015872,0.9841269841269841,63,-0.015873015873015928
52,Colombia,Vichada,2020-10-07,611,5,514,100,0,8,0.08,0.0,1.0,8,0.015873015873015928
53,Colombia,Vichada,2020-10-12,676,5,629,157,0,115,0.732484076433121,0.0,1.0,115,0.0
54,Colombia,Vichada,2020-10-17,728,7,682,94,2,53,0.5851063829787234,0.03636363636363636,0.9636363636363636,55,-0.036363636363636376
55,Colombia,Vichada,2020-10-22,750,9,727,61,2,45,0.7704918032786885,0.0425531914893617,0.9574468085106383,47,-0.006189555125725277
56,Colombia,Vichada,2020-10-27,778,9,757,42,0,30,0.7142857142857143,0.0,1.0,30,0.04255319148936165
57,Colombia,Vichada,2020-11-01,798,9,770,32,0,13,0.40625,0.0,1.0,13,0.0
58,Colombia,Vichada,2020-11-06,836,10,815,57,1,45,0.8070175438596491,0.021739130434782608,0.9782608695652174,46,-0.021739130434782594
59,Colombia,Vichada,2020-11-11,850,11,828,25,1,13,0.56,0.07142857142857142,0.9285714285714286,14,-0.0496894409937888
60,Colombia,Vichada,2020-11-16,873,11,845,34,0,17,0.5,0.0,1.0,17,0.0714285714285714
61,Colombia,Vichada,2020-11-21,883,11,863,27,0,18,0.6666666666666666,0.0,1.0,18,0.0
