Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
20,Comoros,,2020-04-30,1,0,0,1,0,0,0.0,,,0,
21,Comoros,,2020-05-05,3,0,0,3,0,0,0.0,,,0,
22,Comoros,,2020-05-10,11,1,0,11,1,0,0.09090909090909091,1.0,0.0,1,
23,Comoros,,2020-05-15,11,1,3,10,0,3,0.3,0.0,1.0,3,1.0
24,Comoros,,2020-05-20,34,1,8,30,0,5,0.16666666666666666,0.0,1.0,5,0.0
25,Comoros,,2020-05-25,87,1,21,78,0,13,0.16666666666666666,0.0,1.0,13,0.0
26,Comoros,,2020-05-30,106,2,26,84,1,5,0.07142857142857142,0.16666666666666666,0.8333333333333334,6,-0.16666666666666663
27,Comoros,,2020-06-04,132,2,55,104,0,29,0.27884615384615385,0.0,1.0,29,0.16666666666666663
28,Comoros,,2020-06-09,141,2,67,84,0,12,0.14285714285714285,0.0,1.0,12,0.0
29,Comoros,,2020-06-14,176,2,114,107,0,47,0.4392523364485981,0.0,1.0,47,0.0
30,Comoros,,2020-06-19,210,5,129,94,3,15,0.19148936170212766,0.16666666666666666,0.8333333333333334,18,-0.16666666666666663
31,Comoros,,2020-06-24,265,7,159,131,2,30,0.24427480916030533,0.0625,0.9375,32,0.10416666666666663
32,Comoros,,2020-06-29,272,7,161,106,0,2,0.018867924528301886,0.0,1.0,2,0.0625
33,Comoros,,2020-07-04,309,7,241,141,0,80,0.5673758865248227,0.0,1.0,80,0.0
34,Comoros,,2020-07-09,314,7,272,66,0,31,0.4696969696969697,0.0,1.0,31,0.0
35,Comoros,,2020-07-14,321,7,302,42,0,30,0.7142857142857143,0.0,1.0,30,0.0
36,Comoros,,2020-07-19,334,7,313,25,0,11,0.44,0.0,1.0,11,0.0
37,Comoros,,2020-07-24,340,7,324,20,0,11,0.55,0.0,1.0,11,0.0
38,Comoros,,2020-07-29,378,7,330,47,0,6,0.1276595744680851,0.0,1.0,6,0.0
39,Comoros,,2020-08-03,386,7,330,49,0,0,0.0,,,0,
40,Comoros,,2020-08-08,399,7,369,62,0,39,0.6290322580645161,0.0,1.0,39,
41,Comoros,,2020-08-13,399,7,379,23,0,10,0.43478260869565216,0.0,1.0,10,0.0
42,Comoros,,2020-08-18,406,7,393,20,0,14,0.7,0.0,1.0,14,0.0
43,Comoros,,2020-08-23,417,7,396,17,0,3,0.17647058823529413,0.0,1.0,3,0.0
44,Comoros,,2020-08-28,422,7,399,19,0,3,0.15789473684210525,0.0,1.0,3,0.0
45,Comoros,,2020-09-02,427,7,410,21,0,11,0.5238095238095238,0.0,1.0,11,0.0
46,Comoros,,2020-09-07,452,7,410,35,0,0,0.0,,,0,
47,Comoros,,2020-09-12,456,7,415,39,0,5,0.1282051282051282,0.0,1.0,5,
48,Comoros,,2020-09-17,470,7,449,48,0,34,0.7083333333333334,0.0,1.0,34,0.0
49,Comoros,,2020-09-22,470,7,453,14,0,4,0.2857142857142857,0.0,1.0,4,0.0
50,Comoros,,2020-09-27,478,7,458,18,0,5,0.2777777777777778,0.0,1.0,5,0.0
51,Comoros,,2020-10-02,484,7,466,19,0,8,0.42105263157894735,0.0,1.0,8,0.0
52,Comoros,,2020-10-07,491,7,468,18,0,2,0.1111111111111111,0.0,1.0,2,0.0
53,Comoros,,2020-10-12,495,7,475,20,0,7,0.35,0.0,1.0,7,0.0
54,Comoros,,2020-10-17,502,7,485,20,0,10,0.5,0.0,1.0,10,0.0
55,Comoros,,2020-10-22,517,7,494,25,0,9,0.36,0.0,1.0,9,0.0
56,Comoros,,2020-10-27,517,7,494,16,0,0,0.0,,,0,
57,Comoros,,2020-11-01,545,7,498,44,0,4,0.09090909090909091,0.0,1.0,4,
58,Comoros,,2020-11-06,557,7,525,52,0,27,0.5192307692307693,0.0,1.0,27,0.0
59,Comoros,,2020-11-11,569,7,541,37,0,16,0.43243243243243246,0.0,1.0,16,0.0
60,Comoros,,2020-11-16,579,7,549,31,0,8,0.25806451612903225,0.0,1.0,8,0.0
61,Comoros,,2020-11-21,596,7,572,40,0,23,0.575,0.0,1.0,23,0.0
62,Comoros,,2020-11-26,610,7,585,31,0,13,0.41935483870967744,0.0,1.0,13,0.0
63,Comoros,,2020-12-01,613,7,586,21,0,1,0.047619047619047616,0.0,1.0,1,0.0
64,Comoros,,2020-12-06,616,7,600,23,0,14,0.6086956521739131,0.0,1.0,14,0.0
65,Comoros,,2020-12-11,617,7,605,10,0,5,0.5,0.0,1.0,5,0.0
66,Comoros,,2020-12-16,633,7,606,21,0,1,0.047619047619047616,0.0,1.0,1,0.0
67,Comoros,,2020-12-21,666,7,611,53,0,5,0.09433962264150944,0.0,1.0,5,0.0
68,Comoros,,2020-12-26,715,7,626,97,0,15,0.15463917525773196,0.0,1.0,15,0.0
