Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
12,Haiti,,2020-03-21,2,0,0,2,0,0,0.0,,,0,
13,Haiti,,2020-03-26,8,0,0,8,0,0,0.0,,,0,
14,Haiti,,2020-03-31,15,0,1,15,0,1,0.06666666666666667,0.0,1.0,1,
15,Haiti,,2020-04-05,18,0,1,17,0,0,0.0,,,0,
16,Haiti,,2020-04-10,30,2,0,29,2,-1,0.034482758620689655,2.0,-1.0,1,
17,Haiti,,2020-04-15,40,3,0,38,1,0,0.02631578947368421,1.0,0.0,1,1.0
18,Haiti,,2020-04-20,44,3,0,41,0,0,0.0,,,0,
19,Haiti,,2020-04-25,72,5,6,69,2,6,0.11594202898550725,0.25,0.75,8,
20,Haiti,,2020-04-30,76,6,8,65,1,2,0.046153846153846156,0.3333333333333333,0.6666666666666666,3,-0.08333333333333337
21,Haiti,,2020-05-05,88,9,10,74,3,2,0.06756756756756757,0.6,0.4,5,-0.2666666666666666
22,Haiti,,2020-05-10,146,12,17,127,3,7,0.07874015748031496,0.3,0.7,10,0.29999999999999993
23,Haiti,,2020-05-15,234,18,29,205,6,12,0.08780487804878048,0.3333333333333333,0.6666666666666666,18,-0.033333333333333326
24,Haiti,,2020-05-20,533,21,21,486,3,-8,-0.0102880658436214,-0.6,1.6,-5,0.9333333333333335
25,Haiti,,2020-05-25,865,26,22,823,5,1,0.007290400972053463,0.8333333333333334,0.16666666666666666,6,-1.4333333333333333
26,Haiti,,2020-05-30,1443,35,24,1395,9,2,0.007885304659498209,0.8181818181818182,0.18181818181818182,11,0.015151515151515166
27,Haiti,,2020-06-04,2507,48,24,2448,13,0,0.0053104575163398695,1.0,0.0,13,-0.18181818181818182
28,Haiti,,2020-06-09,3334,51,24,3262,3,0,0.0009196811771919068,1.0,0.0,3,0.0
29,Haiti,,2020-06-14,3941,64,24,3866,13,0,0.003362648732540093,1.0,0.0,13,0.0
30,Haiti,,2020-06-19,4688,82,24,4600,18,0,0.00391304347826087,1.0,0.0,18,0.0
31,Haiti,,2020-06-24,5216,88,512,5110,6,488,0.09667318982387475,0.012145748987854251,0.9878542510121457,494,0.9878542510121457
32,Haiti,,2020-06-29,5722,98,839,5122,10,327,0.06579461147989067,0.02967359050445104,0.9703264094955489,337,-0.01752784151659681
33,Haiti,,2020-07-04,6101,110,1408,5164,12,569,0.11250968241673122,0.020654044750430294,0.9793459552495697,581,0.009019545754020752
34,Haiti,,2020-07-09,6432,117,2181,4914,7,773,0.15873015873015872,0.008974358974358974,0.9910256410256411,780,0.011679685776071369
35,Haiti,,2020-07-14,6727,139,3022,4429,22,841,0.19485211108602393,0.02549246813441483,0.9745075318655851,863,-0.016518109160055916
36,Haiti,,2020-07-19,6975,146,3877,3814,7,855,0.2260094389092816,0.008120649651972157,0.9918793503480279,862,0.017371818482442736
37,Haiti,,2020-07-24,7167,154,4236,3144,8,359,0.11673027989821882,0.021798365122615803,0.9782016348773842,367,-0.01367771547064367
38,Haiti,,2020-07-29,7340,158,4467,2950,4,231,0.07966101694915254,0.01702127659574468,0.9829787234042553,235,0.004777088526871087
39,Haiti,,2020-08-03,7468,165,4832,2843,7,365,0.1308476960956736,0.01881720430107527,0.9811827956989247,372,-0.0017959277053305467
40,Haiti,,2020-08-08,7582,171,4893,2585,6,61,0.025918762088974853,0.08955223880597014,0.9104477611940298,67,-0.07073503450489493
41,Haiti,,2020-08-13,7743,187,5123,2679,16,230,0.09182530795072788,0.06504065040650407,0.9349593495934959,246,0.0245115883994661
42,Haiti,,2020-08-18,7897,196,5235,2587,9,112,0.0467723231542327,0.0743801652892562,0.9256198347107438,121,-0.009339514882752087
43,Haiti,,2020-08-23,8050,196,5624,2619,0,389,0.14852997327224132,0.0,1.0,389,0.07438016528925617
44,Haiti,,2020-08-28,8151,200,5743,2331,4,119,0.05276705276705277,0.032520325203252036,0.967479674796748,123,-0.03252032520325199
45,Haiti,,2020-09-02,8224,201,5870,2281,1,127,0.05611573871109163,0.0078125,0.9921875,128,0.024707825203251987
46,Haiti,,2020-09-07,8360,214,5991,2289,13,121,0.05854084753167322,0.09701492537313433,0.9029850746268657,134,-0.08920242537313428
47,Haiti,,2020-09-12,8457,216,6120,2252,2,129,0.058170515097690945,0.015267175572519083,0.9847328244274809,131,0.08174774980061517
48,Haiti,,2020-09-17,8530,220,6315,2194,4,195,0.09070191431175935,0.020100502512562814,0.9798994974874372,199,-0.004833326940043681
49,Haiti,,2020-09-22,8624,221,6482,2089,1,167,0.08042125418860699,0.005952380952380952,0.9940476190476191,168,0.014148121560181859
50,Haiti,,2020-09-27,8684,227,6688,1981,6,206,0.10701665825340737,0.02830188679245283,0.9716981132075472,212,-0.022349505840071893
51,Haiti,,2020-10-02,8766,229,6949,1851,2,261,0.14208535926526203,0.0076045627376425855,0.9923954372623575,263,0.020697324054810284
52,Haiti,,2020-10-07,8819,229,7013,1641,0,64,0.039000609384521635,0.0,1.0,64,0.0076045627376425395
53,Haiti,,2020-10-12,8882,230,7104,1640,1,91,0.05609756097560976,0.010869565217391304,0.9891304347826086,92,-0.010869565217391353
