Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
23,Italy,Basilicata,2020-05-15,389,27,242,389,27,242,0.6915167095115681,0.10037174721189591,0.8996282527881041,269,
24,Italy,Basilicata,2020-05-20,393,27,293,124,0,51,0.4112903225806452,0.0,1.0,51,0.1003717472118959
25,Italy,Basilicata,2020-05-25,399,27,336,79,0,43,0.5443037974683544,0.0,1.0,43,0.0
26,Italy,Basilicata,2020-05-30,399,27,341,36,0,5,0.1388888888888889,0.0,1.0,5,0.0
27,Italy,Basilicata,2020-06-04,399,27,352,31,0,11,0.3548387096774194,0.0,1.0,11,0.0
28,Italy,Basilicata,2020-06-09,400,27,359,21,0,7,0.3333333333333333,0.0,1.0,7,0.0
29,Italy,Basilicata,2020-06-14,401,27,363,15,0,4,0.26666666666666666,0.0,1.0,4,0.0
30,Italy,Basilicata,2020-06-19,401,27,366,11,0,3,0.2727272727272727,0.0,1.0,3,0.0
31,Italy,Basilicata,2020-06-24,401,27,367,8,0,1,0.125,0.0,1.0,1,0.0
32,Italy,Basilicata,2020-06-29,402,27,372,8,0,5,0.625,0.0,1.0,5,0.0
33,Italy,Basilicata,2020-07-04,404,27,373,5,0,1,0.2,0.0,1.0,1,0.0
34,Italy,Basilicata,2020-07-09,405,27,373,5,0,0,0.0,,,0,
35,Italy,Basilicata,2020-07-14,406,27,374,6,0,1,0.16666666666666666,0.0,1.0,1,
36,Italy,Basilicata,2020-07-19,408,28,373,7,1,-1,0.0,,,0,
37,Italy,Basilicata,2020-07-24,447,28,373,46,0,0,0.0,,,0,
38,Italy,Basilicata,2020-07-29,449,28,374,48,0,1,0.020833333333333332,0.0,1.0,1,
39,Italy,Basilicata,2020-08-03,453,28,374,51,0,0,0.0,,,0,
40,Italy,Basilicata,2020-08-08,476,28,373,74,0,-1,-0.013513513513513514,-0.0,1.0,-1,
41,Italy,Basilicata,2020-08-13,478,28,377,77,0,4,0.05194805194805195,0.0,1.0,4,0.0
42,Italy,Basilicata,2020-08-18,491,28,393,86,0,16,0.18604651162790697,0.0,1.0,16,0.0
43,Italy,Basilicata,2020-08-23,502,28,403,81,0,10,0.12345679012345678,0.0,1.0,10,0.0
44,Italy,Basilicata,2020-08-28,518,28,407,87,0,4,0.04597701149425287,0.0,1.0,4,0.0
45,Italy,Basilicata,2020-09-02,526,28,408,91,0,1,0.01098901098901099,0.0,1.0,1,0.0
46,Italy,Basilicata,2020-09-07,565,28,418,129,0,10,0.07751937984496124,0.0,1.0,10,0.0
47,Italy,Basilicata,2020-09-12,610,28,427,164,0,9,0.054878048780487805,0.0,1.0,9,0.0
48,Italy,Basilicata,2020-09-17,628,28,434,173,0,7,0.04046242774566474,0.0,1.0,7,0.0
49,Italy,Basilicata,2020-09-22,652,28,447,190,0,13,0.06842105263157895,0.0,1.0,13,0.0
50,Italy,Basilicata,2020-09-27,763,29,468,288,1,21,0.0763888888888889,0.045454545454545456,0.9545454545454546,22,-0.045454545454545414
51,Italy,Basilicata,2020-10-02,857,30,482,360,1,14,0.041666666666666664,0.06666666666666667,0.9333333333333333,15,-0.021212121212121238
52,Italy,Basilicata,2020-10-07,953,35,504,441,5,22,0.061224489795918366,0.18518518518518517,0.8148148148148148,27,-0.11851851851851858
53,Italy,Basilicata,2020-10-12,1058,35,528,519,0,24,0.046242774566473986,0.0,1.0,24,0.18518518518518523
54,Italy,Basilicata,2020-10-17,1226,38,550,663,3,22,0.03770739064856712,0.12,0.88,25,-0.12
55,Italy,Basilicata,2020-10-22,1481,42,611,893,4,61,0.07278835386338185,0.06153846153846154,0.9384615384615385,65,0.058461538461538454
56,Italy,Basilicata,2020-10-27,1781,44,661,1128,2,50,0.04609929078014184,0.038461538461538464,0.9615384615384616,52,0.023076923076923106
57,Italy,Basilicata,2020-11-01,2349,49,705,1644,5,44,0.029805352798053526,0.10204081632653061,0.8979591836734694,49,-0.06357927786499218
