Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
26,Japan,Nara,2020-05-30,92,2,88,92,2,88,0.9782608695652174,0.022222222222222223,0.9777777777777777,90,
27,Japan,Nara,2020-06-04,92,2,89,2,0,1,0.5,0.0,1.0,1,0.022222222222222254
28,Japan,Nara,2020-06-09,92,2,89,1,0,0,0.0,,,0,
29,Japan,Nara,2020-06-14,92,2,90,1,0,1,1.0,0.0,1.0,1,
30,Japan,Nara,2020-06-19,92,2,90,0,0,0,,,,0,
31,Japan,Nara,2020-06-24,92,2,90,0,0,0,,,,0,
32,Japan,Nara,2020-06-29,92,2,90,0,0,0,,,,0,
33,Japan,Nara,2020-07-04,93,2,90,1,0,0,0.0,,,0,
34,Japan,Nara,2020-07-09,102,2,90,10,0,0,0.0,,,0,
35,Japan,Nara,2020-07-14,126,2,91,34,0,1,0.029411764705882353,0.0,1.0,1,
36,Japan,Nara,2020-07-19,154,2,100,61,0,9,0.14754098360655737,0.0,1.0,9,0.0
37,Japan,Nara,2020-07-24,195,2,124,93,0,24,0.25806451612903225,0.0,1.0,24,0.0
38,Japan,Nara,2020-07-29,221,2,146,95,0,22,0.23157894736842105,0.0,1.0,22,0.0
39,Japan,Nara,2020-08-03,272,2,181,124,0,35,0.28225806451612906,0.0,1.0,35,0.0
40,Japan,Nara,2020-08-08,318,2,223,135,0,42,0.3111111111111111,0.0,1.0,42,0.0
41,Japan,Nara,2020-08-13,351,3,260,126,1,37,0.30158730158730157,0.02631578947368421,0.9736842105263158,38,-0.02631578947368418
42,Japan,Nara,2020-08-18,440,3,298,177,0,38,0.21468926553672316,0.0,1.0,38,0.02631578947368418
43,Japan,Nara,2020-08-23,490,3,342,189,0,44,0.2328042328042328,0.0,1.0,44,0.0
44,Japan,Nara,2020-08-28,508,5,403,163,2,61,0.38650306748466257,0.031746031746031744,0.9682539682539683,63,-0.031746031746031744
45,Japan,Nara,2020-09-02,524,7,473,116,2,70,0.6206896551724138,0.027777777777777776,0.9722222222222222,72,0.003968253968253954
