Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
26,Japan,Tottori,2020-05-30,3,0,3,3,0,3,1.0,0.0,1.0,3,
27,Japan,Tottori,2020-06-04,3,0,3,0,0,0,,,,0,
28,Japan,Tottori,2020-06-09,3,0,3,0,0,0,,,,0,
29,Japan,Tottori,2020-06-14,3,0,3,0,0,0,,,,0,
30,Japan,Tottori,2020-06-19,3,0,3,0,0,0,,,,0,
31,Japan,Tottori,2020-06-24,3,0,3,0,0,0,,,,0,
32,Japan,Tottori,2020-06-29,3,0,3,0,0,0,,,,0,
33,Japan,Tottori,2020-07-04,4,0,3,1,0,0,0.0,,,0,
34,Japan,Tottori,2020-07-09,4,0,3,1,0,0,0.0,,,0,
35,Japan,Tottori,2020-07-14,5,0,3,2,0,0,0.0,,,0,
36,Japan,Tottori,2020-07-19,5,0,3,2,0,0,0.0,,,0,
37,Japan,Tottori,2020-07-24,5,0,4,2,0,1,0.5,0.0,1.0,1,
38,Japan,Tottori,2020-07-29,10,0,4,6,0,0,0.0,,,0,
39,Japan,Tottori,2020-08-03,18,0,5,14,0,1,0.07142857142857142,0.0,1.0,1,
40,Japan,Tottori,2020-08-08,21,0,5,16,0,0,0.0,,,0,
41,Japan,Tottori,2020-08-13,21,0,5,16,0,0,0.0,,,0,
42,Japan,Tottori,2020-08-18,21,0,10,16,0,5,0.3125,0.0,1.0,5,
43,Japan,Tottori,2020-08-23,22,0,14,12,0,4,0.3333333333333333,0.0,1.0,4,0.0
44,Japan,Tottori,2020-08-28,22,0,20,8,0,6,0.75,0.0,1.0,6,0.0
45,Japan,Tottori,2020-09-02,22,0,22,2,0,2,1.0,0.0,1.0,2,0.0
46,Japan,Tottori,2020-09-07,22,0,22,0,0,0,,,,0,
47,Japan,Tottori,2020-09-12,31,0,22,9,0,0,0.0,,,0,
48,Japan,Tottori,2020-09-17,35,0,22,13,0,0,0.0,,,0,
49,Japan,Tottori,2020-09-22,36,0,23,14,0,1,0.07142857142857142,0.0,1.0,1,
50,Japan,Tottori,2020-09-27,36,0,25,13,0,2,0.15384615384615385,0.0,1.0,2,0.0
51,Japan,Tottori,2020-10-02,36,0,31,11,0,6,0.5454545454545454,0.0,1.0,6,0.0
52,Japan,Tottori,2020-10-07,36,0,31,5,0,0,0.0,,,0,
53,Japan,Tottori,2020-10-12,36,0,34,5,0,3,0.6,0.0,1.0,3,
54,Japan,Tottori,2020-10-17,36,0,36,2,0,2,1.0,0.0,1.0,2,0.0
55,Japan,Tottori,2020-10-22,35,0,36,-1,0,0,-0.0,,,0,
56,Japan,Tottori,2020-10-27,38,0,35,2,0,-1,-0.5,-0.0,1.0,-1,
57,Japan,Tottori,2020-11-01,38,0,35,3,0,0,0.0,,,0,
58,Japan,Tottori,2020-11-06,41,0,36,6,0,1,0.16666666666666666,0.0,1.0,1,
59,Japan,Tottori,2020-11-11,51,0,37,15,0,1,0.06666666666666667,0.0,1.0,1,0.0
60,Japan,Tottori,2020-11-16,52,0,41,15,0,4,0.26666666666666666,0.0,1.0,4,0.0
61,Japan,Tottori,2020-11-21,53,0,43,12,0,2,0.16666666666666666,0.0,1.0,2,0.0
62,Japan,Tottori,2020-11-26,58,0,48,15,0,5,0.3333333333333333,0.0,1.0,5,0.0
63,Japan,Tottori,2020-12-01,59,0,52,11,0,4,0.36363636363636365,0.0,1.0,4,0.0
64,Japan,Tottori,2020-12-06,63,0,52,11,0,0,0.0,,,0,
65,Japan,Tottori,2020-12-11,67,0,56,15,0,4,0.26666666666666666,0.0,1.0,4,
66,Japan,Tottori,2020-12-16,68,0,58,12,0,2,0.16666666666666666,0.0,1.0,2,0.0
67,Japan,Tottori,2020-12-21,70,0,61,12,0,3,0.25,0.0,1.0,3,0.0
68,Japan,Tottori,2020-12-26,84,0,65,23,0,4,0.17391304347826086,0.0,1.0,4,0.0
69,Japan,Tottori,2020-12-31,122,0,66,57,0,1,0.017543859649122806,0.0,1.0,1,0.0
70,Japan,Tottori,2021-01-05,150,0,72,84,0,6,0.07142857142857142,0.0,1.0,6,0.0
71,Japan,Tottori,2021-01-10,166,1,86,94,1,14,0.1595744680851064,0.06666666666666667,0.9333333333333333,15,-0.06666666666666665
72,Japan,Tottori,2021-01-15,176,2,115,89,1,29,0.33707865168539325,0.03333333333333333,0.9666666666666667,30,0.033333333333333326
73,Japan,Tottori,2021-01-20,187,2,128,70,0,13,0.18571428571428572,0.0,1.0,13,0.033333333333333326
74,Japan,Tottori,2021-01-25,198,2,149,68,0,21,0.3088235294117647,0.0,1.0,21,0.0
75,Japan,Tottori,2021-01-30,199,2,161,48,0,12,0.25,0.0,1.0,12,0.0
76,Japan,Tottori,2021-02-04,207,2,175,44,0,14,0.3181818181818182,0.0,1.0,14,0.0
77,Japan,Tottori,2021-02-09,208,2,183,31,0,8,0.25806451612903225,0.0,1.0,8,0.0
78,Japan,Tottori,2021-02-14,208,2,189,23,0,6,0.2608695652173913,0.0,1.0,6,0.0
79,Japan,Tottori,2021-02-19,209,2,200,18,0,11,0.6111111111111112,0.0,1.0,11,0.0
80,Japan,Tottori,2021-02-24,209,2,200,7,0,0,0.0,,,0,
81,Japan,Tottori,2021-03-01,211,2,202,9,0,2,0.2222222222222222,0.0,1.0,2,
82,Japan,Tottori,2021-03-06,211,2,202,7,0,0,0.0,,,0,
