Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
26,Japan,Yamanashi,2020-05-30,64,1,57,64,1,57,0.90625,0.017241379310344827,0.9827586206896551,58,
27,Japan,Yamanashi,2020-06-04,65,1,59,7,0,2,0.2857142857142857,0.0,1.0,2,0.017241379310344862
28,Japan,Yamanashi,2020-06-09,68,1,63,8,0,4,0.5,0.0,1.0,4,0.0
29,Japan,Yamanashi,2020-06-14,71,1,67,7,0,4,0.5714285714285714,0.0,1.0,4,0.0
30,Japan,Yamanashi,2020-06-19,72,1,69,4,0,2,0.5,0.0,1.0,2,0.0
31,Japan,Yamanashi,2020-06-24,72,1,69,2,0,0,0.0,,,0,
32,Japan,Yamanashi,2020-06-29,74,1,71,4,0,2,0.5,0.0,1.0,2,
33,Japan,Yamanashi,2020-07-04,75,1,72,3,0,1,0.3333333333333333,0.0,1.0,1,0.0
34,Japan,Yamanashi,2020-07-09,75,1,74,2,0,2,1.0,0.0,1.0,2,0.0
35,Japan,Yamanashi,2020-07-14,76,1,74,1,0,0,0.0,,,0,
36,Japan,Yamanashi,2020-07-19,78,1,74,3,0,0,0.0,,,0,
37,Japan,Yamanashi,2020-07-24,86,1,75,11,0,1,0.09090909090909091,0.0,1.0,1,
38,Japan,Yamanashi,2020-07-29,90,1,77,14,0,2,0.14285714285714285,0.0,1.0,2,0.0
39,Japan,Yamanashi,2020-08-03,107,1,79,29,0,2,0.06896551724137931,0.0,1.0,2,0.0
40,Japan,Yamanashi,2020-08-08,129,1,92,49,0,13,0.2653061224489796,0.0,1.0,13,0.0
41,Japan,Yamanashi,2020-08-13,136,1,102,43,0,10,0.23255813953488372,0.0,1.0,10,0.0
42,Japan,Yamanashi,2020-08-18,149,1,117,46,0,15,0.32608695652173914,0.0,1.0,15,0.0
43,Japan,Yamanashi,2020-08-23,167,1,125,49,0,8,0.16326530612244897,0.0,1.0,8,0.0
44,Japan,Yamanashi,2020-08-28,175,3,135,49,2,10,0.24489795918367346,0.16666666666666666,0.8333333333333334,12,-0.16666666666666663
45,Japan,Yamanashi,2020-09-02,173,4,154,35,1,19,0.5714285714285714,0.05,0.95,20,0.11666666666666659
46,Japan,Yamanashi,2020-09-07,182,5,158,24,1,4,0.20833333333333334,0.2,0.8,5,-0.1499999999999999
47,Japan,Yamanashi,2020-09-12,179,5,164,16,0,6,0.375,0.0,1.0,6,0.19999999999999996
48,Japan,Yamanashi,2020-09-17,180,5,165,11,0,1,0.09090909090909091,0.0,1.0,1,0.0
49,Japan,Yamanashi,2020-09-22,180,6,168,10,1,3,0.4,0.25,0.75,4,-0.25
50,Japan,Yamanashi,2020-09-27,182,6,171,8,0,3,0.375,0.0,1.0,3,0.25
51,Japan,Yamanashi,2020-10-02,193,6,172,16,0,1,0.0625,0.0,1.0,1,0.0
52,Japan,Yamanashi,2020-10-07,196,6,176,18,0,4,0.2222222222222222,0.0,1.0,4,0.0
53,Japan,Yamanashi,2020-10-12,197,6,182,15,0,6,0.4,0.0,1.0,6,0.0
54,Japan,Yamanashi,2020-10-17,199,6,191,11,0,9,0.8181818181818182,0.0,1.0,9,0.0
55,Japan,Yamanashi,2020-10-22,202,6,193,5,0,2,0.4,0.0,1.0,2,0.0
56,Japan,Yamanashi,2020-10-27,209,6,194,10,0,1,0.1,0.0,1.0,1,0.0
57,Japan,Yamanashi,2020-11-01,216,6,196,16,0,2,0.125,0.0,1.0,2,0.0
58,Japan,Yamanashi,2020-11-06,229,6,198,27,0,2,0.07407407407407407,0.0,1.0,2,0.0
59,Japan,Yamanashi,2020-11-11,267,6,210,63,0,12,0.19047619047619047,0.0,1.0,12,0.0
60,Japan,Yamanashi,2020-11-16,288,6,220,72,0,10,0.1388888888888889,0.0,1.0,10,0.0
61,Japan,Yamanashi,2020-11-21,316,6,241,90,0,21,0.23333333333333334,0.0,1.0,21,0.0
62,Japan,Yamanashi,2020-11-26,336,6,273,89,0,32,0.3595505617977528,0.0,1.0,32,0.0
63,Japan,Yamanashi,2020-12-01,353,8,294,74,2,21,0.3108108108108108,0.08695652173913043,0.9130434782608695,23,-0.08695652173913049
64,Japan,Yamanashi,2020-12-06,422,8,311,120,0,17,0.14166666666666666,0.0,1.0,17,0.08695652173913049
65,Japan,Yamanashi,2020-12-11,446,8,341,127,0,30,0.23622047244094488,0.0,1.0,30,0.0
66,Japan,Yamanashi,2020-12-16,463,8,406,114,0,65,0.5701754385964912,0.0,1.0,65,0.0
67,Japan,Yamanashi,2020-12-21,488,9,422,74,1,16,0.22972972972972974,0.058823529411764705,0.9411764705882353,17,-0.05882352941176472
68,Japan,Yamanashi,2020-12-26,518,11,453,87,2,31,0.3793103448275862,0.06060606060606061,0.9393939393939394,33,-0.0017825311942958333
69,Japan,Yamanashi,2020-12-31,568,11,465,104,0,12,0.11538461538461539,0.0,1.0,12,0.06060606060606055
70,Japan,Yamanashi,2021-01-05,622,11,503,146,0,38,0.2602739726027397,0.0,1.0,38,0.0
71,Japan,Yamanashi,2021-01-10,748,11,546,234,0,43,0.18376068376068377,0.0,1.0,43,0.0
72,Japan,Yamanashi,2021-01-15,830,11,620,273,0,74,0.27106227106227104,0.0,1.0,74,0.0
73,Japan,Yamanashi,2021-01-17,848,11,650,217,0,30,0.1382488479262673,0.0,1.0,30,0.0
