Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
13,Mozambique,,2020-03-26,7,0,0,7,0,0,0.0,,,0,
14,Mozambique,,2020-03-31,8,0,0,8,0,0,0.0,,,0,
15,Mozambique,,2020-04-05,10,0,1,10,0,1,0.1,0.0,1.0,1,
16,Mozambique,,2020-04-10,20,0,2,19,0,1,0.05263157894736842,0.0,1.0,1,0.0
17,Mozambique,,2020-04-15,29,0,2,27,0,0,0.0,,,0,
18,Mozambique,,2020-04-20,39,0,8,37,0,6,0.16216216216216217,0.0,1.0,6,
19,Mozambique,,2020-04-25,70,0,12,62,0,4,0.06451612903225806,0.0,1.0,4,0.0
20,Mozambique,,2020-04-30,76,0,12,64,0,0,0.0,,,0,
21,Mozambique,,2020-05-05,81,0,19,69,0,7,0.10144927536231885,0.0,1.0,7,
22,Mozambique,,2020-05-10,91,0,34,72,0,15,0.20833333333333334,0.0,1.0,15,0.0
23,Mozambique,,2020-05-15,119,0,42,85,0,8,0.09411764705882353,0.0,1.0,8,0.0
24,Mozambique,,2020-05-20,156,0,48,114,0,6,0.05263157894736842,0.0,1.0,6,0.0
25,Mozambique,,2020-05-25,209,1,71,161,1,23,0.14906832298136646,0.041666666666666664,0.9583333333333334,24,-0.04166666666666663
26,Mozambique,,2020-05-30,244,2,90,172,1,19,0.11627906976744186,0.05,0.95,20,-0.008333333333333415
27,Mozambique,,2020-06-04,352,2,114,260,0,24,0.09230769230769231,0.0,1.0,24,0.050000000000000044
28,Mozambique,,2020-06-09,453,2,136,337,0,22,0.06528189910979229,0.0,1.0,22,0.0
29,Mozambique,,2020-06-14,583,3,151,445,1,15,0.035955056179775284,0.0625,0.9375,16,-0.0625
30,Mozambique,,2020-06-19,668,4,177,514,1,26,0.05252918287937743,0.037037037037037035,0.9629629629629629,27,0.02546296296296291
31,Mozambique,,2020-06-24,762,5,220,581,1,43,0.0757314974182444,0.022727272727272728,0.9772727272727273,44,0.014309764309764383
32,Mozambique,,2020-06-29,883,6,229,658,1,9,0.015197568389057751,0.1,0.9,10,-0.07727272727272727
33,Mozambique,,2020-07-04,969,7,256,734,1,27,0.03814713896457766,0.03571428571428571,0.9642857142857143,28,0.06428571428571428
34,Mozambique,,2020-07-09,1092,9,340,829,2,84,0.1037394451145959,0.023255813953488372,0.9767441860465116,86,0.012458471760797285
35,Mozambique,,2020-07-14,1268,9,373,919,0,33,0.035908596300326445,0.0,1.0,33,0.023255813953488413
36,Mozambique,,2020-07-19,1491,10,472,1109,1,99,0.09017132551848513,0.01,0.99,100,-0.010000000000000009
37,Mozambique,,2020-07-24,1590,11,532,1108,1,60,0.055054151624548735,0.01639344262295082,0.9836065573770492,61,-0.006393442622950829
38,Mozambique,,2020-07-29,1748,11,616,1205,0,84,0.06970954356846473,0.0,1.0,84,0.016393442622950838
39,Mozambique,,2020-08-03,1973,14,676,1346,3,60,0.046805349182763745,0.047619047619047616,0.9523809523809523,63,-0.04761904761904767
40,Mozambique,,2020-08-08,2241,16,832,1551,2,156,0.10186976144422953,0.012658227848101266,0.9873417721518988,158,0.03496081977094645
41,Mozambique,,2020-08-13,2638,19,1015,1790,3,183,0.10391061452513967,0.016129032258064516,0.9838709677419355,186,-0.0034708044099632795
42,Mozambique,,2020-08-18,2991,19,1245,1957,0,230,0.11752682677567705,0.0,1.0,230,0.016129032258064502
43,Mozambique,,2020-08-23,3395,20,1503,2131,1,258,0.12153918348193336,0.003861003861003861,0.9961389961389961,259,-0.0038610038610038533
44,Mozambique,,2020-08-28,3697,21,2055,2174,1,552,0.2543698252069917,0.0018083182640144665,0.9981916817359855,553,0.0020526855969893454
45,Mozambique,,2020-09-02,4117,25,2170,2041,4,115,0.0583047525722685,0.03361344537815126,0.9663865546218487,119,-0.031805127114136744
46,Mozambique,,2020-09-07,4557,27,2697,2362,2,527,0.2239627434377646,0.003780718336483932,0.996219281663516,529,0.029832727041667284
47,Mozambique,,2020-09-12,5040,35,2905,2316,8,208,0.09326424870466321,0.037037037037037035,0.9629629629629629,216,-0.03325631870055312
48,Mozambique,,2020-09-17,6161,39,3393,3221,4,488,0.15274759391493326,0.008130081300813009,0.991869918699187,492,0.028906955736224038
49,Mozambique,,2020-09-22,7114,45,4064,3682,6,671,0.18386746333514395,0.008862629246676515,0.9911373707533235,677,-0.0007325479458634154
50,Mozambique,,2020-09-27,7983,58,4807,3874,13,743,0.19514713474445017,0.017195767195767195,0.9828042328042328,756,-0.008333137949090741
51,Mozambique,,2020-10-02,8979,64,5595,4114,6,788,0.19299951385512884,0.007556675062972292,0.9924433249370277,794,0.009639092132794902
52,Mozambique,,2020-10-07,9494,68,6812,3835,4,1217,0.3183833116036506,0.003276003276003276,0.9967239967239967,1221,0.004280671786969004
